name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Adamant arrow,49,48,49,50,50,50,50,50,50,51,51,51,51,51,51,50,51,51,51,50,50,50,51,51,50,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,48,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,50,50,50,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,50,50,51,51,50,50,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,50,50,50,50,50,50,50,50,51,50,50,50,50,50,50,50,50,50,50,50,50,51,51,50,50,50,51,51,50,51,51,51,50,50,50,50,50,50,50,50,50,50,51,51,50,49,50,50,51,51,50,50,51,50,50,50,50,50,51,51,50,50,50,50,51,51,50,49,50,51,51
Adamant fire arrows,344,344,344,344,344,344,344,344,344,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
Araxyte arrow,182,182,181,180,181,181,180,179,177,178,180,180,179,179,179,180,181,181,180,180,182,182,181,181,180,181,180,181,182,181,183,183,182,182,180,179,179,181,180,180,182,181,182,181,181,181,181,181,181,180,181,183,180,182,182,181,181,182,182,182,179,175,178,178,181,181,181,183,182,182,181,179,178,179,179,180,181,181,180,181,180,180,180,180,179,177,180,180,181,177,177,180,180,179,180,179,179,180,180,181,180,181,182,182,183,183,182,181,180,180,180,181,181,180,180,181,181,182,180,180,180,180,181,180,180,181,181,182,181,180,180,180,181,181,180,181,181,181,182,182,182,180,182,182,181,182,182,180,180,181,182,181,181,181,180,181,179,179,179,181,181,180,181,181,181,181,180,179,179,181,182,182,181,179,181,181,181,181,182,181
Black stone arrows,2983,2983,3133,3284,3284,3431,3502,3502,3502,3658,3658,3841,3841,4006,4006,3993,3993,3993,3797,3797,3797,3959,3959,4104,4104,4104,4104,4298,4298,4298,4298,4499,4499,4499,4499,4499,4553,4553,4553,4553,4553,4725,4725,4725,4725,4725,4725,4591,4591,4591,4591,4591,4591,4366,4366,4366,4366,4366,4366,4156,4156,4156,4156,4156,4156,4156,3972,3972,3972,3972,3972,3972,3972,3773,3773,3773,3773,3773,3773,3773,3594,3594,3594,3594,3594,3594,3594,3594,3415,3415,3415,3415,3415,3415,3415,3415,3245,3245,3245,3245,3245,3245,3245,3245,3084,3084,3084,3084,3084,3084,3084,3084,2935,2935,2935,2935,2935,2935,2935,2790,2790,2790,2790,2790,2790,2790,2790,2656,2656,2656,2656,2656,2656,2656,2656,2656,2656,2525,2525,2525,2525,2525,2525,2525,2525,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2314,2314,2314,2314,2314,2314,2314,2314,2314,2203,2203,2203,2203,2203,2203,2203,2203,2095,2095,2095,2095,2095,2095,2095,2095
Bronze arrow,23,24,24,24,24,24,23,23,23,23,23,23,23,23,22,22,22,21,21,22,22,22,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,23,23,24,25,25,24,25,25,25,24,22,22,23,24,24,25,27,27,26,27,27,28,28,28,28,27,27,27,28,28,28,27,27,27,26,26,26,26,26,27,27,28,28,28,28,28,28,27,26,25,25,25,25,26,27,26,26,26,26,27,27,27,27,27,28,30,30,29,29,29,29,28,28,28,28,30,30,30,31,31,30,30,28,28,29,29,29,29,28,28,29,29,29,30,30,31,31,31,31,32,32,34,34,34,33,33,31,30,30,30,31,31,33,33,33,32,31,30,30,30,30,30,28,28,26,25,25,23,23,21,19,19,18,17,17,16,16,16,16,16,16,16,16
Bronze fire arrows,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
Dark arrow,31,29,28,28,30,30,30,30,30,30,30,30,29,29,29,29,28,28,29,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,33,33,32,31,30,30,31,31,31,31,31,31,30,30,30,30,30,30,30,31,31,30,30,30,30,30,31,31,31,30,30,30,30,31,31,32,32,32,32,32,33,33,33,33,32,32,31,31,30,30,30,30,30,30,30,30,31,31,31,31,31,29,29,29,29,31,31,31,32,32,31,31,31,30,30,30,30,30,31,31,31,32,32,32,32,32,32,31,31,31,32,32,32,32,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33
Dragon arrow,222,216,216,225,225,235,235,235,235,237,237,237,238,238,238,238,238,238,234,234,232,232,232,238,238,238,239,239,238,238,238,239,239,239,239,239,239,236,236,236,236,236,236,225,225,225,228,228,228,239,239,239,238,238,238,237,237,237,236,236,236,239,239,239,238,238,238,237,237,237,237,237,237,238,238,238,239,239,238,238,238,238,238,238,239,239,238,238,238,237,237,237,238,238,238,238,238,236,236,236,235,235,235,233,233,233,238,238,238,239,239,239,238,238,238,239,239,239,239,236,236,236,237,237,237,237,237,239,239,239,239,238,238,238,239,239,239,239,236,236,236,237,237,237,237,237,237,237,237,238,238,238,238,232,225,221,221,221,221,231,231,231,238,238,238,237,237,237,234,234,232,232,232,238,238,238,239,239,239,239
Dragon fire arrows,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188
