name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Adamant bolts,146,144,140,136,135,135,135,137,137,137,135,139,139,139,138,141,141,145,148,146,150,147,143,137,137,134,134,134,133,132,132,131,129,129,129,127,127,124,124,123,125,125,124,120,119,119,118,117,117,120,118,118,117,117,117,119,119,123,127,130,130,131,130,130,127,128,128,125,124,123,123,124,125,125,126,126,125,130,128,128,125,125,124,124,123,122,121,121,123,123,119,117,114,114,113,113,111,106,106,103,103,103,103,103,101,101,100,100,99,99,99,99,102,102,103,102,102,99,99,101,100,104,104,108,108,113,113,118,118,121,124,124,125,125,126,126,129,129,128,128,129,129,128,128,128,126,126,128,128,132,136,136,139,139,143,149,149,150,150,147,147,151,153,153,156,156,156,156,156,154,153,153,154,153,153,153,157,157,157,157
Ascendri bolts,9763,9763,9763,9763,9763,9763,9763,9763,9763,9768,9768,9768,9768,9768,9768,9768,9768,9768,9768,9768,9768,9711,9711,9711,9711,9711,9711,9711,9711,9711,9711,9711,9711,9711,9711,9698,9698,9698,9698,9698,9698,9698,9698,9698,9698,9698,9698,9698,9698,9698,9698,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9704,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9745,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9758,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735,9735
Ascendri bolts (e),9986,9931,9931,9970,9970,10025,10025,10009,10009,9984,9984,10015,10015,9932,9932,9810,9810,9820,9820,9872,9872,9853,9853,9832,9832,9898,9898,9880,9880,9957,9957,9877,9877,9872,9872,9855,9855,9872,9872,9896,9896,9940,9940,9918,9918,9902,9902,9882,9882,9869,9869,9814,9814,9875,9875,9879,9879,9894,9894,9936,9936,9936,9926,9926,9926,9938,9938,9992,9992,9989,9989,9993,9993,9993,9981,9981,9915,9915,9860,9860,9912,9912,9930,9930,9960,9960,9946,9946,9918,9918,9918,9921,9921,9926,9926,9926,9936,9936,9936,9940,9940,9942,9942,9975,9975,9988,9988,9986,9986,9990,9990,9973,9973,9947,9947,9954,9954,9918,9918,9918,9900,9900,9911,9911,9911,9925,9925,9925,9925,9894,9894,9890,9890,9897,9897,9889,9889,9889,9869,9869,9898,9898,9910,9910,9910,9899,9899,9863,9863,9863,9864,9864,9893,9893,9893,9880,9880,9880,9873,9873,9873,9881,9881,9885,9885,9892,9892,9869,9869,9814,9814,9817,9817,9754,9754,9839,9839,9842,9842,9762
Ascension bolts,66,62,58,56,56,56,58,60,61,63,64,66,66,66,68,70,70,71,71,73,73,73,73,74,74,73,73,73,71,70,70,71,73,73,75,77,77,79,79,79,78,78,79,81,82,82,81,79,79,79,82,82,84,84,84,86,86,87,87,88,88,88,90,90,93,93,94,94,96,96,97,94,94,94,94,94,94,94,94,94,94,94,91,91,87,84,84,82,83,83,83,83,82,82,85,85,87,86,86,83,79,79,80,80,81,81,83,83,85,85,87,87,91,91,92,94,94,93,93,94,97,97,96,96,96,96,96,98,98,100,100,102,102,105,105,105,103,103,103,103,108,108,111,111,115,115,114,111,111,112,112,114,114,112,106,100,96,92,92,87,87,84,80,80,77,77,76,76,75,78,80,80,83,87,87,88,88,91,93,93
Bakriminel bolts,2112,2073,2073,2069,2069,2085,2068,2068,2013,2013,1993,1993,2010,2010,2010,1995,1995,2014,2014,2040,2040,2059,2059,2059,2059,2059,2070,2070,2088,2088,2112,2112,2106,2106,2110,2110,2111,2111,2062,2062,2062,2062,2073,2073,2044,2044,2008,2008,1985,1985,1926,1926,1918,1918,1918,1918,1904,1904,1904,1904,1886,1886,1853,1853,1853,1788,1788,1788,1708,1708,1637,1637,1565,1565,1565,1494,1494,1494,1456,1456,1456,1433,1433,1433,1431,1431,1431,1454,1454,1454,1479,1479,1472,1472,1472,1463,1463,1463,1482,1482,1513,1513,1513,1575,1575,1575,1587,1587,1587,1635,1635,1635,1625,1625,1625,1617,1617,1617,1631,1631,1631,1628,1628,1628,1627,1627,1627,1658,1658,1658,1659,1659,1659,1659,1674,1674,1674,1674,1688,1688,1688,1683,1683,1683,1687,1687,1687,1690,1690,1690,1675,1675,1675,1676,1676,1676,1669,1669,1669,1669,1669,1669,1652,1652,1652,1648,1648,1648,1641,1641,1644,1644,1644,1644,1644,1644,1700,1700,1691,1691
Barbed bolts,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Black bolts,54,54,54,54,56,56,56,56,56,56,58,58,58,58,58,59,59,59,59,59,60,60,60,60,60,60,62,62,62,62,62,62,62,62,62,62,62,62,61,61,61,61,61,61,62,62,62,62,62,62,62,61,61,61,61,61,61,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,65,65,65,65,65,65,65,65,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,71,71,71,71,71,71,71,71,71,71,74,74,74,74,74,74,74,74,77,77,77,77,77,77,77,77,80,80,80,80,80,80,80,80,80,80,80,82,82,82,82,82,82,82,86,86,86,86,86,86,86,91,91,91,91,91
Blight bolts,602,619,619,619,627,627,627,619,619,619,620,620,643,643,643,672,672,672,701,701,735,735,735,767,767,767,805,805,836,836,836,807,807,807,806,806,806,769,769,769,790,790,790,797,797,797,814,814,814,848,848,848,851,851,851,833,833,833,812,812,812,826,826,826,806,806,806,825,825,825,831,831,831,868,868,868,866,866,864,864,864,852,852,852,827,827,829,829,829,866,866,866,870,870,870,853,853,841,841,841,819,819,819,818,818,818,791,791,791,774,774,774,766,766,766,764,764,764,775,775,775,782,782,782,760,760,760,767,767,767,791,791,791,782,782,791,791,776,776,769,769,781,781,781,762,762,762,768,768,768,758,758,758,735,735,713,713,691,691,691,676,676,657,657,631,631,611,611,611,592,592,569,562,551,551,557,557,541,541,522
Broad-tipped bolts,49,46,46,43,43,40,40,41,41,41,43,43,43,45,45,47,47,47,47,47,47,48,48,48,47,47,47,47,47,47,47,48,48,48,47,47,47,47,49,49,49,49,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,53,53,53,54,54,54,54,56,56,56,58,58,58,61,61,61,61,64,64,64,64,64,64,64,64,64,64,64,64,66,66,66,66,66,66,68,68,68,68,66,66,66,66,66,66,66,66,64,64,64,64,64,61,61,61,61,61,62,62,62,62,62,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,64,64,64,64,64,66,66,66,66,66,66,66,66,66,64,64,64,64,60,60,60,60,60,58,58,58,58,58,59,59,59,59,60,60,60,60,61,61,61,61
