name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Adamant nails,80,80,80,83,83,83,83,83,83,83,83,83,87,87,87,87,87,87,87,87,87,90,90,90,90,90,90,90,90,90,90,92,92,92,92,92,92,95,95,95,95,95,95,95,95,95,95,95,92,92,92,92,92,92,92,92,92,92,92,94,94,94,94,94,94,94,94,94,94,94,94,96,96,96,96,96,96,96,96,96,96,96,96,96,95,95,95,95,95,95,95,95,95,95,98,98,98,98,98,98,98,98,98,98,96,96,96,96,96,96,96,96,96,96,96,93,93,93,93,93,93,93,93,93,93,93,93,93,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,88,88,88,88,88,88,88,88,85,85,85,85,85,85,85,85,81,81,81,81,81,81,81,81,81,81,81,81,81
Black nails,244,244,244,244,244,244,244,244,244,244,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,310,310,310,310,310,310,310,310,310,310,310
Bolt of cloth,1241,1267,1267,1254,1254,1281,1281,1317,1317,1331,1331,1285,1285,1269,1269,1274,1274,1283,1283,1298,1298,1334,1334,1351,1351,1351,1343,1343,1337,1337,1326,1326,1336,1336,1318,1318,1318,1326,1326,1326,1346,1346,1346,1331,1331,1331,1314,1314,1314,1286,1286,1276,1276,1282,1282,1282,1286,1286,1286,1286,1286,1259,1259,1259,1257,1257,1257,1239,1239,1231,1231,1240,1240,1240,1240,1240,1258,1258,1282,1282,1282,1299,1299,1299,1324,1324,1334,1334,1334,1338,1338,1338,1330,1330,1330,1319,1319,1325,1325,1325,1304,1304,1301,1301,1301,1312,1312,1312,1326,1326,1329,1329,1329,1322,1322,1297,1297,1297,1270,1270,1270,1252,1252,1252,1259,1259,1259,1248,1248,1248,1211,1211,1211,1211,1201,1201,1201,1181,1181,1181,1159,1159,1159,1141,1141,1090,1090,1090,1079,1079,1079,1090,1090,1092,1121,1151,1151,1151,1151,1113,1113,1113,1098,1098,1098,1097,1097,1097,1085,1085,1092,1092,1092,1085,1085,1085,1070,1070,1070,1068
Bronze nails,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
Gold leaf,130352,133714,133714,137241,137241,135094,135962,135962,136182,136182,135325,135325,135052,135052,135052,135181,135181,133200,133200,130438,130438,129004,129004,129015,129015,129015,129241,129241,129944,129944,129911,129911,130969,130969,130873,130873,128596,128596,126123,126123,125811,125811,125153,125153,127576,127576,127576,128638,128638,128638,131059,131059,131059,133073,133073,133073,134153,134153,134153,133836,133836,133836,132639,132639,132639,133226,133226,133226,133691,133691,133691,132998,132998,132998,132011,132011,132011,131704,131704,131704,132295,132295,132295,131999,131999,133537,133537,133537,132800,132800,132800,132449,132449,132676,132676,132676,131440,131440,131440,130371,130371,130108,130108,130108,130236,130236,130236,131611,131611,131611,131168,131168,131168,130569,130569,131355,131355,131355,131159,131159,131159,130860,130860,130860,132106,132106,132106,131763,131763,131763,132672,132672,132672,132574,132574,131878,131878,131878,130575,130575,130791,130791,131072,131072,131072,130427,130427,131194,131194,131194,130765,130765,130765,131911,131911,135714,135714,135714,135714,135131,135131,135131,133969,133969,133969,134857,134857,134857,134259,134259,133837,133837,133837,132360,132360,132360,132760,132760,132760,132111
Iron nails,30,31,31,31,31,30,28,28,26,26,25,25,24,24,24,23,23,23,23,23,23,23,23,22,22,22,21,21,21,21,21,21,21,21,21,21,22,22,23,23,23,23,22,22,22,22,22,22,22,22,21,21,21,19,19,19,19,19,19,20,20,20,20,20,20,21,21,21,22,22,22,21,21,21,23,23,23,24,24,24,25,25,25,26,26,25,25,24,24,24,23,23,21,21,21,20,20,19,19,19,18,18,19,19,19,20,20,20,21,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,16,16,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,19,19,19,20,20,20,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,23,23,23,22,22
Magic stone,981985,983038,983038,983038,983038,983038,983038,983038,983038,983038,983038,983038,983038,983038,983038,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,982953,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,981592,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,976465,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977876,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,977054,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,974644,973576,973576,973576,973576,973576,973576,973576,973576,973576,973576,973576,973576,973576,973576,973576,973576,980094,980094,980094,980094,980094,980094,980094,980094,980094,980094,980094,980094
Mahogany plank,894,855,812,795,808,802,800,794,789,801,796,796,804,819,828,824,804,813,804,806,787,779,770,777,795,800,801,799,783,784,785,779,783,780,785,780,773,781,786,785,780,794,798,793,803,805,800,799,790,799,812,809,803,804,797,812,804,801,800,793,783,786,787,793,794,807,811,813,815,817,810,810,807,810,815,818,824,821,824,810,806,824,831,845,845,847,831,841,855,856,860,856,847,829,823,821,832,832,816,817,820,822,808,804,826,835,835,843,833,840,854,859,837,843,863,857,856,857,846,837,831,834,832,830,826,828,829,825,827,856,895,926,933,927,911,900,893,894,897,891,880,876,878,891,889,873,867,882,889,900,898,914,912,897,863,821,781,769,756,744,768,768,777,780,789,791,798,795,789,791,783,775,777,775,775,777,775,773,773,773
Marble block,309726,318094,318094,324972,324972,324972,323926,323926,323926,322118,322118,316030,316030,316030,313654,313654,315396,315396,315396,312066,312066,312066,309515,309515,309515,308729,308729,308729,311276,311276,311276,312058,312058,312058,310406,310406,310406,310317,310317,310317,319052,319052,319052,317513,317513,317513,313819,313819,313819,311396,311396,311938,311938,311938,313036,313036,313036,314178,314178,314178,313054,313054,313054,310035,310035,310035,310313,310313,310313,309206,309206,309206,307951,307951,307951,307951,312060,312060,312060,312186,312186,312186,312540,312540,312540,313996,313996,313996,313318,313318,313318,314921,314921,314921,313957,313957,313957,310500,310500,310500,309920,309920,309920,311314,311314,311314,308798,308798,308798,310623,310623,310623,309336,309336,309336,317290,317290,317290,316584,316584,316584,317586,317586,317586,321001,321001,321001,322811,322811,322811,328250,328250,328250,328250,327422,327422,327422,325926,325926,325926,325483,325483,325483,325483,327207,327207,327207,321811,321811,321811,321811,321633,321633,321633,325996,325996,330668,330668,330668,330668,331204,331204,331204,330804,330804,330804,331133,331133,331133,330901,330901,330901,330901,329751,329751,329751,330627,330627,330627,330627
Message in a bottle,122,122,122,126,126,126,126,132,132,132,135,135,135,135,140,140,140,139,139,139,137,137,137,137,139,139,139,139,140,140,140,140,145,145,145,145,150,150,150,150,149,149,149,149,151,151,151,151,151,154,154,154,154,153,153,153,153,153,153,153,153,153,156,156,156,156,156,158,158,158,158,155,155,155,155,155,151,151,151,151,156,156,156,156,156,159,159,159,159,159,159,159,159,159,156,156,156,156,156,152,152,152,152,145,145,145,145,139,139,139,139,138,138,138,138,138,139,139,139,139,139,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,142,142,142,142,142,139,139,139,138,138,138,138,138,138,141,141,141,141
Mithril nails,67,67,67,68,68,69,69,69,68,68,68,68,68,68,67,67,67,67,67,66,66,64,64,62,62,62,63,63,64,64,67,67,70,70,74,74,78,82,82,86,86,83,83,84,84,84,84,84,83,83,81,81,79,79,79,79,79,80,80,77,77,77,74,74,74,73,73,73,73,74,74,75,75,75,76,76,76,76,76,78,78,78,77,77,77,77,77,79,79,80,80,80,80,80,80,80,80,79,79,81,81,80,80,79,79,81,81,81,82,82,82,82,82,80,80,80,80,76,76,76,77,77,78,78,76,76,76,76,78,78,79,79,79,81,81,79,79,79,79,80,79,79,80,80,82,82,82,84,84,84,85,85,88,88,88,91,91,91,93,93,93,92,92,92,94,94,90,90,88,88,87,87,83,83,82,82,80,80,80,80
