name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Abyssal lurker pouch,5571,5361,5361,5361,5129,5129,5129,5129,5010,5010,5010,5010,5003,5003,5003,5003,4899,4899,4899,4899,4920,4920,4920,4920,5025,5025,5025,5025,5030,5030,5030,5030,4952,4952,4952,4952,4952,4981,4981,4981,4981,4981,5142,5142,5142,5142,5142,5272,5272,5272,5272,5272,5272,5427,5427,5427,5427,5427,5427,5640,5640,5640,5640,5640,5640,5885,5885,5885,5885,5885,5913,5913,5913,5913,5913,5913,6196,6196,6196,6196,5984,5984,5984,5984,5984,5706,5706,5706,5706,5706,5706,5572,5572,5572,5572,5572,5797,5797,5797,5797,5797,5797,5831,5831,5831,5831,5831,5831,5924,5924,5924,5924,5924,5924,6038,6038,6038,6038,6038,6038,6191,6191,6191,6191,6191,6191,6191,6127,6127,6127,6127,6127,6127,6122,6122,6122,6122,6122,6122,6057,6057,6057,6057,6057,5910,5910,5910,5910,5910,5910,5841,5841,5841,5841,5645,5645,5645,5418,5418,5418,5418,5418,5418,5245,5245,5245,5245,5245,5245,5160,5160,5160,5160,5160,5160,5112,5112,5112,5112,5112
Abyssal parasite pouch,3761,3761,3761,3761,3761,3761,3761,3761,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692
Abyssal titan pouch,8187,7777,7777,7523,7523,7523,7146,7146,7146,6986,6986,6986,7002,7002,7002,6766,6766,6766,6544,6544,6547,6547,6547,6666,6666,6666,6666,6718,6718,6718,6595,6595,6595,6717,6717,6717,6551,6551,6551,6548,6548,6548,6420,6420,6420,6420,6492,6492,6492,6492,6551,6551,6551,6605,6605,6605,6605,6674,6674,6674,6674,7005,7005,7005,7024,7024,7024,7024,6935,6935,6935,6869,6869,6869,6869,6869,6877,6877,6877,6644,6644,6644,6644,6678,6678,6678,6571,6571,6571,6571,6493,6493,6493,6444,6444,6444,6444,6563,6563,6563,6563,6616,6616,6616,6616,6554,6554,6554,6554,6554,6411,6411,6411,6411,6411,6388,6388,6388,6388,6609,6609,6609,6609,6908,6908,6908,6908,6908,6728,6728,6728,6728,6728,6644,6644,6644,6644,6644,6723,6723,6723,6723,6847,6847,6847,6847,6847,6746,6746,6746,6746,6746,6505,6505,6257,6194,6194,6194,6194,6264,6264,6264,6460,6460,6460,6556,6556,6556,6556,6724,6724,6724,6724,6650,6650,6650,6650,6694,6694,6694
Adamant minotaur pouch,2738,2738,2711,2711,2711,2711,2711,2711,2711,2711,2711,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2741,2741,2741,2741,2741,2741,2741,2741,2741,2741,2741,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2797,2797,2797,2797,2797,2797,2797,2797,2797,2797,2797,2797,2797,2797,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2741,2741,2741,2741,2741,2741,2685,2685,2685,2685,2685,2685,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2732,2732,2732,2732,2732,2732,2732
Albino rat pouch,2382,2382,2382,2382,2382,2382,2382,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488,2488,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2518,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496
Arctic bear pouch,2318,2202,2202,2202,2106,2106,2106,2106,2093,2093,2093,2093,2093,2091,2091,2091,2091,2102,2102,2102,2102,2102,2173,2173,2173,2173,2173,2196,2196,2196,2196,2196,2282,2282,2282,2282,2282,2282,2175,2175,2175,2175,2175,2118,2118,2118,2118,2118,2118,2118,2072,2072,2072,2072,2072,2072,2023,2023,2023,2023,2023,2023,2061,2061,2061,2061,2061,2061,2086,2086,2086,2086,2086,2138,2138,2242,2354,2470,2470,2470,2592,2592,2592,2592,2722,2722,2722,2853,2853,2853,2853,2859,2859,2859,2859,2804,2804,2804,2804,2833,2833,2833,2833,2965,2965,2965,2965,2974,2974,2974,2974,2956,2956,2956,2956,2857,2857,2857,2857,2857,2720,2720,2720,2720,2720,2683,2683,2683,2683,2683,2676,2676,2676,2676,2676,2542,2542,2542,2542,2542,2479,2479,2479,2479,2479,2483,2483,2483,2483,2483,2483,2539,2539,2456,2333,2246,2246,2246,2246,2154,2154,2154,2055,2055,2055,2024,2024,2024,2024,2056,2056,2056,2056,2056,2056,2086,2086,2086,2086,2086
Barker toad pouch,1971,1872,1819,1819,1757,1757,1757,1768,1768,1768,1768,1768,1812,1812,1812,1812,1812,1812,1812,1881,1881,1881,1881,1881,1881,1881,1881,1941,1941,1941,1941,1941,1941,1941,1990,1990,1990,1990,1990,1990,1990,1990,1990,2013,2013,2013,2013,2013,2013,2013,2013,2013,1951,1951,1951,1951,1951,1951,1951,1951,2025,2025,2025,2025,2025,2025,2025,2025,2025,2045,2045,2045,2045,2045,2045,2045,2045,1975,1975,1975,1975,1975,1894,1894,1894,1894,1894,1894,1894,1830,1830,1830,1830,1830,1830,1830,1830,1782,1782,1782,1782,1782,1782,1782,1782,1782,1734,1734,1734,1734,1734,1734,1734,1734,1734,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1611,1611,1611,1611,1611,1611,1611,1611,1611,1612,1612,1612,1612,1612,1612,1612,1612,1612,1576,1508,1432,1432,1386,1386,1386,1386,1408,1408,1408,1408,1460,1460,1460,1460,1460,1460,1510,1510,1510,1510,1510,1510,1538,1538,1538
Beaver pouch,1478,1427,1427,1427,1408,1408,1408,1408,1461,1461,1461,1448,1448,1448,1448,1445,1445,1445,1445,1421,1421,1421,1421,1410,1410,1410,1410,1373,1373,1373,1373,1386,1386,1386,1386,1419,1419,1419,1419,1419,1448,1448,1448,1448,1452,1452,1452,1452,1452,1460,1460,1460,1460,1453,1453,1453,1453,1453,1434,1434,1434,1434,1425,1425,1425,1425,1425,1445,1445,1445,1445,1450,1450,1450,1450,1450,1446,1446,1446,1402,1402,1402,1402,1402,1451,1451,1451,1451,1492,1492,1492,1492,1492,1500,1500,1500,1500,1479,1479,1479,1479,1479,1489,1489,1489,1489,1489,1520,1520,1520,1520,1520,1479,1479,1479,1479,1479,1497,1497,1497,1497,1462,1462,1462,1462,1462,1453,1453,1453,1453,1426,1426,1426,1426,1426,1426,1406,1406,1406,1406,1406,1413,1413,1413,1413,1413,1404,1404,1404,1404,1404,1394,1394,1394,1371,1371,1371,1344,1344,1344,1344,1344,1327,1327,1327,1327,1370,1370,1370,1370,1395,1395,1395,1395,1395,1417,1417,1417,1417,1417
Bloated leech pouch,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2196,2196,2196,2196,2196,2196,2196,2196,2196,2196,2196,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2189,2189,2189,2189,2189,2189,2189,2189,2189,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2205,2205,2205,2205,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239,2219,2219,2219,2219,2219,2219,2219,2219,2219
