name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Cadava berries,765,765,765,765,765,765,765,773,773,773,773,773,773,773,773,753,753,753,753,753,753,753,753,753,761,761,761,761,761,761,761,761,761,761,772,772,772,772,772,772,772,772,772,772,772,764,764,764,764,764,764,764,791,791,791,791,791,800,800,800,800,800,800,800,813,813,813,813,813,813,813,813,813,813,818,818,818,818,818,818,818,818,818,818,818,818,817,817,817,817,817,817,817,817,817,817,836,836,836,836,836,836,836,836,836,836,836,851,851,851,851,851,851,851,851,851,851,849,849,849,849,849,849,849,849,849,849,849,849,825,825,825,825,825,825,825,825,825,825,825,829,829,829,829,829,829,829,829,829,829,829,829,829,847,847,847,847,847,847,847,847,847,847,847,847,832,832,832,832,832,832,832,832,832,832,832,832,833,833,833
Coconut,3911,3882,3984,4133,4108,4125,4235,4285,4245,4186,4134,4219,4317,4347,4307,4360,4431,4419,4431,4476,4576,4416,4278,4139,4087,4159,4133,4108,4128,4105,4118,4129,4094,4149,4178,4127,4082,4025,4065,4101,4097,3989,3976,4022,4075,4035,4039,4078,4045,4008,4028,4011,3957,3931,3931,3955,3945,3966,3952,3892,3826,3825,3905,3905,3978,4012,3927,3963,3905,3904,3883,3988,4094,4111,4081,3990,3917,3850,3878,3826,3798,3780,3699,3674,3698,3747,3842,3876,3853,3884,3892,3805,3763,3744,3747,3715,3751,3748,3770,3769,3839,3787,3727,3682,3702,3723,3762,3799,3848,3838,3791,3703,3645,3647,3740,3701,3582,3575,3498,3442,3320,3204,3170,3155,3078,3048,2957,2870,2768,2642,2510,2410,2310,2217,2203,2188,2217,2208,2160,2151,2193,2179,2135,2121,2066,2019,2039,2092,2140,2188,2140,2195,2233,2277,2327,2362,2367,2460,2569,2697,2824,2949,3004,3015,2997,2943,2968,3041,2987,3048,3098,3091,2958,2882,2813,2767,2709,2613,2519,2438
Coconut shell,56,56,56,56,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,52,52,52,52,52,52,52,52,49,49,49,49,49,49,49,49,49,49,49,49,49,49,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
Evil turnip,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537,3537
Jute fibre,668,668,668,668,692,692,692,692,692,692,692,692,692,692,705,705,705,705,705,705,705,705,705,705,700,700,700,700,700,700,700,700,700,700,700,724,724,724,724,724,724,724,724,724,724,724,724,724,733,733,733,733,733,733,733,733,733,733,733,733,733,740,740,740,740,740,740,740,740,740,740,740,740,740,752,752,752,752,752,752,752,752,752,752,752,752,752,752,735,735,735,735,735,735,735,735,735,735,735,735,735,719,719,719,719,719,719,719,719,719,719,719,719,719,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,705,705,705
Leaves,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Maple roots,260,260,260,260,260,260,260,260,260,260,260,260,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264
Marigolds,7524,7882,7882,8277,7992,7838,7910,7524,7358,7138,6852,6531,6490,6490,6624,6849,6849,6724,6864,6520,6194,5988,5726,5795,5795,6063,6293,6404,6397,6269,6170,6094,5968,5968,6036,5881,5667,5383,5116,5050,5084,5084,5091,5158,5271,5271,5519,5454,5281,5281,5403,5417,5201,5152,5152,5091,5091,5162,5162,5036,5036,4859,5009,5009,5140,5140,5212,5212,5254,5254,5197,5197,5294,5294,5294,5348,5348,5458,5458,5716,5618,5402,5167,4998,4817,4632,4632,4506,4604,4604,4625,4680,4680,4753,4753,4761,4761,4801,4801,4954,4954,4886,4886,4920,4920,5116,5116,5116,5114,5114,5182,5182,5182,5440,5217,5059,5059,5041,5041,5041,5125,5125,5335,5335,5335,5602,5481,5206,5036,5036,4813,4813,4680,4680,4724,4724,4853,4853,5030,5030,5224,5224,5239,5239,5336,5336,5336,5351,5351,5351,5368,5368,5368,5541,5541,5745,5745,5745,5745,5805,5745,5521,5287,5287,5214,5214,5252,5066,5066,4904,4904,4801,4801,4858,4858,4858,5033,4895,4651,4520
Nasturtiums,609,609,609,609,637,637,637,637,637,637,637,637,637,637,637,637,637,666,666,666,666,666,666,666,666,666,666,666,666,666,666,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,948,948,948,948,948,948
Oak roots,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346
