name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Adamant arrowheads,115,117,117,117,115,115,115,114,114,114,114,114,114,114,114,115,115,115,115,115,113,113,113,111,111,111,111,111,111,111,108,108,108,107,107,107,107,107,108,108,108,106,106,106,106,106,106,102,102,102,99,99,99,99,99,99,98,98,98,98,98,98,97,97,97,97,97,97,95,95,95,93,93,93,93,93,93,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,91,91,91,90,90,90,91,91,91,91,89,89,89,89,88,88,88,87,87,87,87,87,87,87,87,86,86,86,86,87,87,87,87,87,88,88,88,88,89,89,89,89,89,90,90,90,90,90,90,90,90,91,91,91,91,90,90,90,90,92,92,95,95,95,95,95,98,98,98,101,101,101,106,106,106,109,109,109,108,108,108,108,108,108,108,108
Adamant bolts (unf),183,181,181,172,172,167,167,164,164,158,158,157,157,153,153,150,150,151,151,147,147,146,146,149,149,149,148,148,140,140,136,136,135,135,132,132,131,131,130,130,131,131,133,133,130,130,130,129,129,129,128,128,128,127,127,127,127,127,127,127,127,127,128,128,128,132,132,132,130,130,130,129,129,129,124,124,123,123,123,123,123,126,126,126,128,128,128,128,133,133,133,134,134,133,133,133,130,130,130,131,131,131,129,129,129,131,131,131,131,131,131,133,133,133,133,131,131,131,129,129,125,125,125,123,123,123,123,123,123,127,127,127,131,131,131,138,138,138,138,138,138,138,134,134,134,131,131,132,132,132,132,132,132,135,135,138,138,138,138,139,139,139,140,140,144,144,144,151,151,154,154,152,152,155,155,155,155,153,153,153
Adamant crossbow (u),4328,4328,4328,4328,4328,4328,4328,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4754,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5142,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347,5347
Adamant dart tip,222,222,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,225,225,225,225,225,225,225
Adamant limbs,2324,2324,2324,2324,2324,2324,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2519,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602
Arrow shaft,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,11,11,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,15,15,15,14,14,15,15,16,16,16,16,16,16,16,15,14,14,14,14,14,13,12,11,11,11,11,11,11,11,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,13,13,13,13,13,12,12,11,10,10,9,9,9,9,9,9,9,9,8,8,8,9,9,9,9,9,9,9,9,10,11,11,11
Barb bolttips,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
Black stone heart,120000,126000,132300,138915,145861,153155,160001,168002,171705,179371,183428,175000,166250,158669,150735,143198,136669,129835,123893,117893,112373,107215,103162,102611,102611,97893,97893,98509,99555,100746,100746,103288,103288,102588,106642,111794,111794,117384,123254,129161,135620,135620,141965,141965,149064,149064,156518,156518,164344,164344,172555,181183,190243,199756,199756,208797,208797,201173,201173,191305,191305,182195,173684,173684,166147,166147,158511,151388,151388,144043,144043,136840,136840,131998,131998,125946,125946,120189,120189,114521,114521,109410,109410,104088,104088,99837,99837,99837,100253,100253,100253,99221,99221,101682,101682,103131,103131,99407,99407,99760,99760,99359,99359,100158,100158,100516,100516,100516,101339,101339,99256,99256,99256,99054,99054,99684,99684,98644,98644,98644,98311,98311,97408,97408,98347,98347,98347,97890,97890,97890,97177,97177,97177,96123,96123,94918,94918,94918,95290,95290,98248,98248,97712,97712,97712,94325,94325,94325,94092,94092,94092,94058,94058,94058,94058,95451,95451,95451,95451,94772,94772,94772,94327,94327,97985,97985,102769,102769,102769,105297,105297,105297,101568,101568,101568,100439,100439,102113,105450,110571
Bowstring,348,332,315,299,289,289,288,288,282,283,285,284,289,295,301,313,321,329,333,329,324,321,313,305,297,291,281,273,267,258,252,243,240,242,246,246,244,247,250,252,256,257,254,257,259,264,269,274,271,274,274,279,279,281,281,282,285,289,291,290,284,278,276,278,277,273,271,268,262,255,252,255,256,258,261,263,264,263,259,256,255,256,261,265,269,276,278,280,279,277,278,279,288,291,301,302,296,305,315,322,315,312,313,321,332,349,367,382,400,408,409,417,426,436,436,430,417,399,387,373,363,354,343,342,350,361,361,356,351,344,345,344,352,350,350,356,359,364,370,367,366,369,375,372,371,362,353,343,337,329,318,315,312,304,296,291,287,282,278,273,273,271,270,277,284,284,286,289,286,282,279,279,283,281,276,270,275,283,285,290
