name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Admiral pie,2393,2512,2512,2512,2512,2636,2636,2636,2695,2695,2695,2695,2762,2762,2762,2762,2887,2887,2887,2887,2988,2988,2988,2988,3128,3128,3128,3128,3269,3269,3269,3269,3239,3239,3239,3239,3117,3117,3117,3117,3057,3057,3057,3057,3075,3075,3075,3075,3075,3075,3046,3046,3046,3046,3046,3054,3054,3054,3054,3054,3098,3098,3098,3098,3098,2984,2984,2984,2984,3120,3120,3120,3120,3120,3123,3123,3123,3123,3123,3039,3039,3039,3039,3039,3045,3045,3045,3045,3166,3166,3166,3166,3166,3299,3299,3299,3299,3464,3464,3464,3464,3634,3634,3634,3634,3634,3808,3808,3808,3808,3808,3971,3971,3971,3971,3971,4073,4073,4073,4073,4073,4164,4164,4164,4164,4164,4164,4334,4334,4334,4334,4334,4334,4439,4439,4439,4439,4439,4542,4542,4542,4542,4396,4396,4396,4396,4396,4226,4226,4226,4226,4226,4062,4062,4062,4016,4016,4016,4016,4016,4016,3869,3869,3869,3869,3946,3946,3946,3946,3946,4115,4115,4115,4115,4115,4170,4170,4170,4170,4170
Anchovies,97,97,97,97,100,100,100,100,100,101,101,101,101,101,98,98,98,98,98,99,99,99,99,99,96,96,96,96,96,94,94,94,94,94,94,94,94,94,94,94,98,98,98,98,98,98,100,100,100,100,100,100,103,103,103,103,103,103,106,106,106,106,106,106,109,109,109,109,109,109,108,108,108,108,108,108,108,108,108,108,108,108,107,107,107,107,107,107,102,102,102,102,102,102,106,106,106,106,106,106,107,107,107,107,107,107,103,103,103,103,103,97,97,97,97,97,93,93,93,93,93,96,96,96,96,96,96,96,95,95,95,95,95,95,95,95,95,95,95,95,95,95,99,99,99,99,99,99,95,95,95,95,95,95,90,90,90,90,90,85,85,85,85,85,81,81,81,81,81,77,77,77,77,77,77,75,75,75,75,75
Anchovy pizza,570,570,570,570,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,599,599,599,599,599,599,599,599,599,599,599,599,599,599,598,598,598,598,598,598,598,598,598,598,598,598,598,598,598,598,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,567,567,567,567,567,567,567,567,567,567,567,567,567,567,554,554,554,554,554,554,554,554,554,554,554,554,554,554,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,558,558,558,558,558,558
Apple pie,332,332,332,332,332,332,332,332,332,332,332,332,331,331,331,331,331,331,331,331,331,331,331,320,320,320,320,320,320,320,320,320,320,320,320,309,309,309,309,309,309,309,309,309,309,309,309,306,306,306,306,301,301,297,297,297,297,297,288,288,288,288,288,288,280,280,280,280,280,280,280,280,280,280,280,280,277,277,277,277,277,277,277,277,277,277,277,277,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
Apples (5),3890,3941,3941,3941,3941,3941,3941,3941,3941,3946,3946,3946,3946,3946,3946,3946,3817,3817,3817,3817,3817,3817,3817,3736,3736,3736,3736,3736,3736,3736,3736,3736,3693,3693,3693,3693,3693,3693,3693,3693,3693,3775,3775,3775,3775,3775,3775,3775,3775,3775,3759,3759,3759,3759,3759,3759,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3801,3801,3801,3801,3801,3801,3801,3801,3801,3801,3801,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3922,3922,3922,3922,3922,3922,3922,3922,3922,3922,3922,3926,3926,3926,3926,3926,3926,3926,3926,3926,3926,3896,3896,3896,3896,3896,3896,3896,3896,3896,3896,3896,3949,3949,3949,3949,3949,3949,3949,3949,3949,3949,3949,3949,3949,3949,3884,3884,3884,3884,3884,3884,3884,3884,3884,3884,3884,3736,3736,3736,3736,3736,3736,3736,3736,3736,3736,3736,3603,3603,3603,3603,3603,3603,3603,3603,3603,3603,3603,3603,3603,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576
Arcane apoterrasaur meat,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4115,4115,4115,4115,4115,4115,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274
Asciatops meat,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
Asgarnian ale,633,633,633,633,633,633,633,633,633,633,633,633,656,656,656,656,656,656,656,656,656,656,656,656,656,658,658,658,658,658,658,658,658,658,658,658,658,658,658,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,768,768,768,768,768,768,768,768,768,768,768,768,768
Asgarnian ale (1),3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704
