name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Alchemical onyx necklace,24315885,24315885,24315885,24315885,24315885,24315885,24315885,24315885,24315885,24315885,25325156,25325156,25325156,25325156,25325156,25325156,25325156,25325156,25325156,25325156,25325156,25325156,25325156,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,26367550,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,27441054,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,28449020,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,29374944,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452,30399452
Alchemical onyx ring,28564149,28564149,28564149,28564149,28564149,28564149,28564149,28564149,28564149,28564149,28564149,28564149,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,29728340,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,30788506,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31532790,31185762,31185762,31185762,31185762,31185762,31185762,31185762,31185762,31185762,31185762,31185762
Amulet of accuracy,3235,3235,3368,3368,3368,3368,3368,3424,3424,3424,3424,3424,3452,3452,3452,3452,3452,3310,3310,3310,3310,3310,3207,3207,3207,3207,3207,3081,3081,3081,3081,3081,3010,3010,3010,3010,3010,2947,2947,2947,2947,2947,2906,2906,2906,2906,2906,2906,2801,2801,2801,2801,2801,2867,2867,2867,2867,2867,2867,3008,3008,3008,3008,3008,3008,3013,3013,3013,3013,3013,3013,3082,3082,3082,3082,3082,3082,2956,2956,2956,2956,2956,2818,2818,2818,2818,2818,2722,2722,2722,2722,2722,2691,2691,2691,2691,2691,2758,2758,2758,2758,2758,2758,2832,2832,2832,2832,2832,2832,2964,2964,2964,2964,2964,2964,3045,3045,3045,3045,3045,3045,3063,3063,3063,3063,3063,3063,3063,3105,3105,3105,3105,3105,3105,3105,3097,3097,3097,3097,3097,3097,3118,3118,3118,3118,3118,3118,3118,3141,3141,3141,3141,3141,3141,3125,3125,3125,3125,3125,3125,3125,3125,3026,3026,3026,3026,3026,3026,3093,3093,3093,3093,3093,3093,2958,2958,2958,2958,2958,2958
Amulet of bountiful harvest,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
Amulet of defence,5851,5647,5647,5470,5470,5560,5560,5661,5661,5665,5665,5493,5493,5279,5279,5040,5040,4858,4858,4713,4713,4523,4523,4392,4392,4248,4248,4235,4235,4248,4248,4262,4262,4262,4301,4301,4301,4376,4376,4376,4455,4455,4455,4514,4514,4514,4633,4633,4633,4738,4738,4738,4692,4692,4692,4616,4616,4616,4742,4742,4742,4782,4782,4782,4863,4863,4863,4843,4843,4730,4730,4730,4661,4661,4661,4624,4624,4624,4560,4560,4560,4581,4581,4581,4515,4515,4515,4458,4458,4458,4413,4413,4343,4343,4343,4278,4278,4275,4275,4275,4369,4369,4369,4372,4372,4372,4373,4373,4373,4385,4385,4385,4414,4414,4414,4447,4447,4447,4502,4502,4502,4499,4499,4499,4499,4553,4553,4553,4553,4620,4620,4620,4647,4647,4647,4606,4606,4606,4606,4459,4459,4459,4400,4400,4400,4400,4403,4403,4403,4403,4432,4432,4432,4432,4372,4372,4372,4349,4349,4349,4349,4391,4391,4391,4496,4496,4496,4582,4582,4582,4635,4635,4635,4702,4702,4702,4812,4812,4812,4771
Amulet of farming (1),336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351
Amulet of fury,1194232,1171347,1171347,1220944,1276765,1276765,1234979,1234979,1174482,1174482,1117389,1117389,1061619,1061619,1009516,995058,995058,1044811,1044811,1092565,1092565,1131031,1131031,1126220,1126220,1151215,1151215,1153935,1153935,1147324,1147324,1168227,1168227,1156664,1156664,1183338,1183338,1239437,1239437,1267633,1267633,1307906,1346391,1346391,1294888,1294888,1237700,1237700,1227432,1227432,1235034,1235034,1233059,1233059,1286088,1286088,1292513,1292513,1314150,1314150,1370567,1370567,1339093,1339093,1339093,1296456,1296456,1271321,1271321,1261150,1261150,1271376,1271376,1271376,1274116,1274116,1267956,1267956,1263026,1263026,1247914,1247914,1249809,1249809,1296015,1296015,1335848,1335848,1282063,1282063,1282063,1265869,1265869,1262135,1262135,1263320,1263320,1268911,1268911,1295343,1295343,1271724,1271724,1269956,1269956,1305319,1305319,1291493,1291493,1281592,1281592,1277614,1277614,1289857,1289857,1286432,1286432,1288140,1288140,1288140,1277429,1277429,1287195,1287195,1287195,1307771,1307771,1283269,1283269,1283269,1269247,1269247,1269247,1261679,1261679,1268797,1268797,1299747,1299747,1281609,1281609,1277259,1277259,1277259,1278375,1278375,1278375,1267236,1267236,1267236,1271825,1271825,1271825,1287585,1287585,1276246,1276246,1276246,1242802,1242802,1242802,1248367,1248367,1252004,1252004,1278623,1278623,1265836,1265836,1265529,1265529,1267182,1267182,1262361,1262361,1270048,1270048,1252202,1252202,1219078
Amulet of fury (t),1039016,1041646,1041646,1040653,1040653,1063981,1087631,1087631,1086806,1086806,1117993,1117993,1120266,1120266,1120266,1098679,1098679,1123272,1123272,1137504,1137504,1168241,1168241,1162306,1162306,1162306,1156618,1156618,1147805,1147805,1147805,1116319,1116319,1116319,1085601,1085601,1085601,1069185,1069185,1077404,1077404,1077404,1054905,1054905,1013006,1013006,1013006,964601,964601,964601,916721,916721,916721,904287,904287,904287,932707,932707,932707,923457,923457,923457,885548,885548,885548,868532,868532,848441,848441,832921,832921,833317,833317,833317,827121,827121,827121,795283,795283,795283,800265,800265,800265,807159,807159,821769,821769,821769,852812,852812,852812,847388,847388,850548,850548,850548,872176,872176,872176,891086,891086,891086,911696,911696,911696,936503,936503,936503,962510,962510,962510,972977,972977,972977,977184,977184,977184,970773,970773,970773,948119,948119,948119,915132,915132,915132,915132,873374,873374,873374,842346,842346,842346,842346,824130,824130,824130,815931,815931,815931,803665,803665,803665,807287,807287,807287,812628,812628,812628,791208,791208,777122,777122,777122,795567,795567,808915,808915,808915,804169,804169,804169,792679,792679,792679,775330,775330,775330,759219,759219,756986,756986,756986,740899,740899,740899,743594,743594,743594,748657
Amulet of glory,10947,10946,10946,10878,10878,10677,10586,10586,10316,10316,10245,10245,10004,10004,10471,10412,10412,10424,10424,10726,10726,10684,10684,10949,10949,10827,10827,10862,10862,10934,10934,10868,10868,10737,10737,10672,10672,10624,10624,10987,10987,10719,10816,10816,10858,10858,10894,10894,10949,10949,10810,10810,10941,10941,11408,11408,11377,11377,11288,11288,11108,11108,11028,11028,11331,11331,11527,11527,11545,11545,11151,11151,10910,10910,11088,11088,11241,11241,11178,11178,11148,11148,11089,11089,10908,10908,10851,10851,11065,11065,11065,11019,11180,11180,10762,10762,10223,10223,9911,9884,9884,9534,9534,9194,9194,9078,9078,9242,9242,9631,9631,10048,10048,10254,10254,10527,10527,10985,10985,10985,11019,11019,10567,10567,10068,10068,9583,9583,9103,9103,8970,8970,8956,8956,8967,8967,9324,9324,9749,9749,9941,9941,9942,9942,9954,9954,9471,9007,9007,8937,8937,8709,8709,8279,8227,8517,8517,8801,8801,9146,9146,9502,9793,9793,9885,9885,9898,9898,9960,9960,9945,9945,9818,9818,9727,9727,9771,9771,9681,9681
