name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Ahrim's hood,502699,502699,502699,502699,502699,502699,502699,513841,513841,513841,513841,513841,513841,513841,513841,513841,528662,528662,528662,528662,528662,528662,528662,528662,528662,551263,551263,551263,551263,551263,551263,551263,551263,551263,546370,546370,546370,546370,546370,546370,546370,546370,546370,546370,546370,544664,544664,544664,544664,544664,544664,544664,544664,544664,544664,544664,546215,546215,546215,546215,546215,546215,546215,546215,546215,546215,546215,546215,546215,543698,543698,543698,543698,543698,543698,543698,543698,543698,543698,543698,543698,543698,541385,541385,541385,541385,541385,541385,541385,541385,541385,541385,541385,541385,541385,546008,546008,546008,546008,546008,546008,546008,546008,546008,546008,546008,546008,549348,549348,549348,549348,549348,549348,549348,549348,549348,549348,549348,549348,538936,538936,538936,538936,538936,538936,538936,538936,538936,538936,538936,538689,538689,538689,538689,538689,538689,538689,538689,538689,538689,538689,538689,538689,533392,533392,533392,533392,533392,533392,533392,533392,533392,533392,533392,533392,527074,527074,527074,527074,527074,527074,527074,527074,527074,527074,527074,527074,509139,509139,509139,509139,509139,509139,509139,509139,509139,509139,509139,518350,518350
Ahrim's hood (broken),68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402
Ahrim's robe skirt,778180,793376,793376,793376,793376,793376,793376,793376,793376,814455,814455,814455,814455,814455,814455,814455,814455,840698,840698,840698,840698,840698,840698,840698,840698,869128,869128,869128,869128,869128,869128,869128,869128,877844,877844,877844,877844,877844,877844,877844,877844,877844,880714,880714,880714,880714,880714,880714,880714,880714,880714,880714,893832,893832,893832,893832,893832,893832,893832,893832,893832,893832,885835,885835,885835,885835,885835,885835,885835,885835,885835,885835,885835,885835,881603,881603,881603,881603,881603,881603,881603,881603,881603,881603,881603,885161,885161,885161,885161,885161,885161,885161,885161,885161,885161,885161,901677,901677,901677,901677,901677,901677,901677,901677,901677,901677,901677,890546,890546,890546,890546,890546,890546,890546,890546,890546,890546,879251,879251,879251,879251,879251,879251,879251,879251,879251,879251,867688,867688,867688,867688,867688,867688,867688,867688,867688,867688,867688,869789,869789,869789,869789,869789,869789,869789,869789,869789,869789,869789,893088,893088,893088,893088,893088,893088,893088,893088,893088,893088,893088,909815,909815,909815,909815,909815,909815,909815,909815,909815,926592,926592,926592,926592,926592,926592,926592,926592,926592,926592,965218
Ahrim's robe skirt (broken),581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894,594894
Ahrim's robe top,1611432,1622146,1622146,1622146,1622146,1622146,1622146,1622146,1622146,1663802,1663802,1663802,1663802,1663802,1663802,1663802,1663802,1687386,1687386,1687386,1687386,1687386,1687386,1687386,1687386,1687386,1752808,1752808,1752808,1752808,1752808,1752808,1752808,1752808,1740150,1740150,1740150,1740150,1740150,1740150,1740150,1740150,1740150,1740150,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1745176,1745176,1745176,1745176,1745176,1745176,1745176,1745176,1745176,1745176,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1708845,1708845,1708845,1708845,1708845,1708845,1708845,1708845,1708845,1708845,1708845,1672515,1672515,1672515,1672515,1672515,1672515,1672515,1672515,1672515,1672515,1607861,1607861,1607861,1607861,1607861,1607861,1607861,1607861,1607861,1607861,1530351,1530351,1530351,1530351,1530351,1530351,1530351,1530351,1530351,1530351,1478568,1478568,1478568,1478568,1478568,1478568,1478568,1478568,1478568,1478568,1478568,1465697,1465697,1465697,1465697,1465697,1465697,1465697,1465697,1465697,1465697,1488406,1488406,1488406,1488406,1488406,1488406,1488406,1488406,1488406,1488406,1519105,1519105,1519105,1519105,1519105,1519105,1519105,1519105,1519105
Ahrim's robe top (broken),1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935,1836935
Anima Core body of Seren,19070921,19070921,19070921,19066144,19066144,19066144,19066144,19066144,19485389,19485389,19485389,19485389,19485389,19485389,19917860,19917860,19917860,19917860,19917860,19917860,20242743,20242743,20242743,20242743,20242743,20242743,20242743,20187243,20187243,20187243,20187243,20187243,20187243,20187243,19937962,19937962,19937962,19937962,19937962,19937962,19937962,19937962,19563709,19563709,19563709,19563709,19563709,19563709,19563709,18954226,18954226,18954226,18954226,18954226,18954226,18490264,18490264,18490264,18490264,18490264,18490264,18490264,18412693,18412693,18412693,18412693,18412693,18412693,18412693,18598301,18598301,18598301,18598301,18598301,18598301,18598301,18968359,18968359,18968359,18968359,18968359,18968359,18968359,19385697,19385697,19385697,19385697,19385697,19385697,19385697,19607414,19607414,19607414,19607414,19607414,19607414,19801237,19801237,19801237,19801237,19801237,19801237,19801237,19991395,19991395,19991395,19991395,19991395,19991395,19991395,20069949,20069949,20069949,20069949,20069949,20069949,20069949,20383590,20383590,20383590,20383590,20383590,20383590,20383590,20383590,20446897,20446897,20446897,20446897,20446897,20446897,20446897,20446897,20318154,20318154,20318154,20318154,20318154,20318154,20318154,20269092,20269092,20269092,20269092,20269092,20269092,20269092,20444751,20444751,20444751,20444751,20444751,20444751,20444751,20251186,20251186,20251186,20251186,20251186,20251186,20251186,20296242,20296242,20296242,20296242,20296242,20296242,20653993,20653993,20653993,20653993,20653993,20653993,20952355,20952355,20952355,20952355,20952355,20952355,20952355
Anima Core body of Sliske,6666319,6666319,6666319,6666319,6666319,6666319,6728650,6728650,6728650,6728650,6728650,6728650,6728650,6728650,6903160,6903160,6903160,6903160,6903160,6903160,6903160,6903160,7066116,7066116,7066116,7066116,7066116,7066116,7066116,7066116,7066116,7212315,7212315,7212315,7212315,7212315,7212315,7212315,7212315,7212315,7503138,7503138,7503138,7503138,7503138,7503138,7503138,7503138,7503138,7711560,7711560,7711560,7711560,7711560,7711560,7711560,7711560,7711560,7780156,7780156,7780156,7780156,7780156,7780156,7780156,7780156,7780156,7780156,8052329,8052329,8052329,8052329,8052329,8052329,8052329,8052329,8052329,8312556,8312556,8312556,8312556,8312556,8312556,8312556,8312556,8312556,8312556,8653002,8653002,8653002,8653002,8653002,8653002,8653002,9033273,9033273,9033273,9033273,9033273,9033273,9033273,9033273,9435847,9435847,9435847,9435847,9435847,9435847,9435847,9435847,9435847,9863768,9863768,9863768,9863768,9863768,9863768,9863768,9863768,9863768,10305216,10305216,10305216,10305216,10305216,10305216,10305216,10305216,10305216,10763425,10763425,10763425,10763425,10763425,10763425,10763425,10763425,10763425,10763425,10884259,10884259,10884259,10884259,10884259,10884259,10884259,10884259,10884259,10884259,10898537,10898537,10898537,10898537,10898537,10898537,10898537,10898537,10898537,10898537,10898537,10898537,10867289,10867289,10867289,10867289,10867289,10867289,10867289,10867289,10867289,11275822,11275822,11275822,11275822,11275822,11275822,11275822,11275822,11275822,11603923
Anima Core helm of Seren,18930091,18930091,18930091,18930091,18930091,18930091,19152432,19152432,19152432,19152432,19152432,19152432,19152432,19152432,19152432,19152432,19661510,19661510,19661510,19661510,19661510,19661510,19661510,19661510,19661510,19661510,19661510,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,19395158,19395158,19395158,19395158,19395158,19395158,19395158,19395158,19395158,19395158,19395158,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19610280,19610280,19610280,19610280,19610280,19610280,19610280,19610280,19610280,19610280,19610280,19610280,19779161,19779161,19779161,19779161,19779161,19779161,19779161,19779161,19779161,19779161,19779161,19779161,20408452,20408452,20408452,20408452,20408452,20408452,20408452,20408452,20408452,20408452,20408452,20408452,20408452,20408452,20563122,20563122,20563122,20563122,20563122,20563122,20563122,20563122,20563122,20563122,20563122,20563122,20563122,20290465,20290465,20290465,20290465,20290465,20290465,20290465,20290465,20290465,20290465,20290465,20290465,20290465,20207332,20207332,20207332,20207332,20207332,20207332,20207332,20207332,20207332,20207332,20207332,20763959,20763959,20763959,20763959,20763959,20763959,20763959,20763959,20763959
