name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Abyssal orb,92730,93751,93751,96224,96224,96224,97943,97943,97943,98851,98851,100049,100049,100049,100089,100089,102000,102000,103228,103228,105328,105328,105328,105826,105826,105826,105857,105857,105815,105815,105815,106790,106790,106790,105433,105433,105433,104186,104186,104186,103411,103411,103411,99782,99782,99782,96453,96453,96453,93641,93641,93641,94032,94032,94032,93624,93624,93624,91555,91555,91555,90741,90741,90741,89194,89194,89194,87033,87033,87033,85297,85297,85297,84879,84879,84879,83372,83372,81521,81521,81521,81521,80071,80071,80071,78864,78864,78864,78477,78477,78477,79453,79453,79453,79473,79473,79473,79791,79791,79791,79852,79852,79852,79331,79331,79331,80684,80684,80684,81973,81973,81973,83424,83424,83424,84553,84553,84553,86898,86898,86898,88210,88210,88210,88210,89387,89387,89387,91271,91271,91271,91271,93625,93625,93625,94938,94938,94938,96526,96526,96526,97908,97908,97908,100455,100455,100455,101278,101278,101278,101118,101118,101118,100611,100611,99481,99481,99481,99481,99106,99106,99106,99259,99259,99259,99672,99672,99672,99752,99752,100005,100005,99245,99245,99245,97536,97536,97536,95829,95829
Abyssal wand,99334,99920,99920,100155,100155,100403,100403,97330,97330,97734,97734,98723,98723,97449,97449,97582,97582,97743,97743,97567,97567,97366,97366,96989,96989,96989,97074,97074,96823,96823,96823,96109,96109,96109,94832,94832,94832,92826,92826,92826,91483,91483,91483,89662,89662,89662,88665,88665,88665,87339,87339,86098,86098,86979,86979,86979,88612,88612,88612,89455,89455,89455,89829,89829,89829,91511,91511,91511,92646,92646,92646,93944,93944,93944,93907,93907,93907,92931,92931,92931,91890,91890,91890,91235,91235,89539,89539,89539,89867,89867,89867,89388,89388,89681,89681,89681,90120,90120,90120,90271,90271,91411,91411,91411,94816,94816,94816,97899,97899,97899,99010,99010,99010,99339,99339,99980,99980,99980,99582,99582,99582,99093,99093,99093,96248,96248,96248,95012,95012,95012,93914,93914,93914,93914,93300,93300,93300,92994,92994,92994,93885,93885,94197,94197,94197,95761,95761,95761,95778,95778,95778,94588,94588,94588,95407,95407,98217,98217,98217,99593,99593,99593,97153,97153,97153,100848,100848,100848,102032,102032,101502,101502,99578,99578,98155,98155,95411,95411,94234,94234
Ahrim's book of magic,700411,700411,700411,700411,700411,700411,700411,724353,724353,724353,724353,724353,724353,724353,724353,724353,724353,724353,742302,742302,742302,742302,742302,742302,742302,742302,742302,742302,742302,765409,765409,765409,765409,765409,765409,765409,765409,765409,765409,765409,765409,770884,770884,770884,770884,770884,770884,770884,770884,770884,770884,770884,770884,769143,769143,769143,769143,769143,769143,769143,769143,769143,769143,769143,769143,769143,759284,759284,759284,759284,759284,759284,759284,759284,759284,759284,759284,759284,759284,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,786647,786647,786647,786647,786647,786647,786647,786647,786647,786647,786647,786647,786647,786647,786647,808540,808540,808540,808540,808540,808540,808540,808540,808540,808540,808540,808540,808540,826658,826658,826658,826658,826658,826658,826658,826658,826658,826658,826658,826658,826658,831837,831837,831837,831837,831837,831837,831837,831837,831837,831837,831837,831837,831837,831837,867406,867406,867406,867406,867406,867406,867406,867406,867406,867406,867406,867406,867406,867406,905739,905739,905739,905739,905739,905739,905739,905739,905739,905739,905739,905739,905739,941628,941628,941628,941628,941628
Ahrim's book of magic (broken),166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169
Ahrim's staff,1486607,1486607,1486607,1486607,1486607,1506797,1506797,1506797,1506797,1506797,1506797,1564944,1564944,1564944,1564944,1564944,1564944,1630958,1630958,1630958,1630958,1630958,1630958,1630958,1702304,1702304,1702304,1702304,1702304,1702304,1702304,1778299,1778299,1778299,1778299,1778299,1778299,1778299,1778299,1843239,1843239,1843239,1843239,1843239,1843239,1843239,1843239,1912274,1912274,1912274,1912274,1912274,1912274,1912274,1912274,1992996,1992996,1992996,1992996,1992996,1992996,1992996,1992996,1992996,2072183,2072183,2072183,2072183,2072183,2072183,2072183,2072183,2072183,2072183,2167695,2167695,2167695,2167695,2167695,2167695,2167695,2167695,2167695,2167695,2264923,2264923,2264923,2264923,2264923,2264923,2264923,2264923,2264923,2264923,2369118,2369118,2369118,2369118,2369118,2369118,2369118,2369118,2369118,2369118,2475269,2475269,2475269,2475269,2475269,2475269,2475269,2475269,2475269,2475269,2578394,2578394,2578394,2578394,2578394,2578394,2578394,2578394,2578394,2578394,2654935,2654935,2654935,2654935,2654935,2654935,2654935,2654935,2654935,2654935,2750487,2750487,2750487,2750487,2750487,2750487,2750487,2750487,2750487,2750487,2750487,2826678,2826678,2826678,2826678,2826678,2826678,2826678,2826678,2826678,2826678,2876511,2876511,2876511,2876511,2876511,2876511,2876511,2876511,2876511,2876511,2876511,2876511,3002534,3002534,3002534,3002534,3002534,3002534,3002534,3002534,3002534,3131981,3131981,3131981,3131981
Ahrim's staff (broken),1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789
Ahrim's wand,652198,652198,652198,652198,652198,652198,673975,673975,673975,673975,673975,673975,673975,673975,673975,673975,673975,690908,690908,690908,690908,690908,690908,690908,690908,690908,690908,690908,690908,711888,711888,711888,711888,711888,711888,711888,711888,711888,711888,711888,711888,711888,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,703034,703034,703034,703034,703034,703034,703034,703034,703034,703034,703034,703034,703034,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,715224,715224,715224,715224,715224,715224,715224,715224,715224,715224,715224,715224,715224,715224,715224,734905,734905,734905,734905,734905,734905,734905,734905,734905,734905,734905,734905,734905,734905,745206,745206,745206,745206,745206,745206,745206,745206,745206,745206,745206,745206,745206,745206,745206,738391,738391,738391,738391,738391,738391,738391,738391,738391,738391,738391,738391,738391,738391,738391,739062,739062,739062,739062,739062,739062,739062,739062,739062,739062,739062,739062,739062,739062,764478,764478,764478,764478,764478,764478,764478,764478,764478
Ahrim's wand (broken),52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472
Air battlestaff,8182,8224,8347,8384,8448,8447,8441,8460,8430,8414,8445,8432,8428,8428,8390,8373,8403,8409,8399,8382,8396,8407,8399,8412,8370,8371,8334,8295,8283,8267,8264,8282,8289,8297,8181,8300,8300,8336,8360,8398,8382,8395,8326,8306,8343,8343,8373,8358,8363,8379,8369,8362,8341,8337,8337,8374,8409,8373,8353,8342,8353,8370,8362,8362,8335,8356,8355,8345,8348,8383,8315,8360,8366,8366,8368,8356,8355,8341,8361,8249,8326,8372,8390,8390,8413,8413,8453,8451,8472,8426,8426,8442,8419,8401,8403,8410,8400,8396,8396,8402,8405,8424,8396,8432,8430,8430,8460,8438,8419,8369,8381,8362,8366,8377,8380,8389,8355,8354,8371,8376,8355,8379,8379,8374,8361,8401,8377,8388,8377,8374,8413,8413,8412,8412,8458,8420,8421,8463,8463,8441,8436,8444,8446,8446,8444,8452,8452,8503,8555,8700,8621,8669,8543,8281,8180,8233,8295,8359,8359,8376,8376,8375,8367,8369,8379,8367,8370,8368,8368,8364,8392,8375,8389,8375,8384,8376,8351,8302,8339,8289
