name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Abyssal bane square shield,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034,1948034
Ancient ceremonial boots,5630,5630,5650,5650,5650,5650,5650,5650,5650,5650,5543,5543,5543,5543,5543,5543,5543,5543,5543,5748,5748,5748,5748,5748,5748,5748,5875,5875,5875,6098,6098,6098,6098,6098,6199,6199,6199,6199,6199,6199,6199,6264,6264,6264,6264,6264,6264,6264,6312,6312,6312,6312,6312,6312,6312,6312,6419,6419,6419,6419,6419,6419,6419,6419,6419,6419,6419,6486,6486,6486,6486,6486,6486,6486,6486,6486,6486,6486,6486,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6441,6441,6441,6441,6441,6441,6441,6441,6441,6441,6441,6176,6176,6176,6176,6176,6176,6176,6176,6176,6176,6176,6176,6135,6135,6135,6135,6135,6135,6135,6135,6135,6135,6135,6135,6135,5987,5987,5987,5987,5987,5987,5987,5987,5987,5987,5987,5987,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5446,5446,5446,5446,5446,5446,5446,5446,5446,5446,5191,5191,5191,5191,5191,5191
Ancient ceremonial gloves,6557,6557,6557,6567,6567,6567,6567,6567,6567,6567,6567,6567,6273,6273,6273,6273,6273,6273,6273,6273,6273,6273,6411,6411,6411,6411,6411,6411,6606,6606,6606,6606,6606,6847,6847,6847,6847,6847,6847,6847,6847,7038,7038,7038,7038,7038,7038,7038,7038,7038,7239,7239,7239,7239,7239,7239,7239,7239,7239,7239,7239,7239,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7673,7673,7673,7673,7673,7673,7673,7673,7673,7673,7673,7673,7673,7565,7565,7565,7565,7565,7565,7565,7565,7565,7565,7565,7565,7565,7256,7256,7256,7256,7256,7256,7256,7256,7256,7256,7256,7256,7256,7256,7256,7204,7204,7204,7204,7204,7204,7204,7204,7204,7204,7204,7204,7204,7204,6908,6908,6908,6908,6908,6908,6908,6908,6908,6908,6908,6908,6908,6908,6908,6598,6598,6598,6598,6598,6598,6598,6598,6598,6598,6598,6285,6285,6285,6285,6285,6285,6285,6285
Ancient ceremonial legs,44197,44197,44197,44197,44197,44365,44365,44365,44365,44365,44365,44356,44356,44356,44356,44356,44356,44676,44676,44676,44676,44676,44676,45444,45444,45444,45444,45444,45055,45055,45055,45055,45226,45226,45226,45226,45226,45226,44986,44986,44986,44986,44986,45005,45005,45005,45005,45005,45005,45005,45599,45599,45599,45599,45599,45599,45599,45599,45826,45826,45826,45826,45826,45826,45826,45826,45826,45639,45639,45639,45639,45639,45639,45639,45639,45639,46128,46128,46128,46128,46128,46128,46128,46128,46128,45843,45843,45843,45843,45843,45843,45843,45843,45843,45843,45743,45743,45743,45743,45743,45743,45743,45743,45743,45505,45505,45505,45505,45505,45505,45505,45505,45505,45360,45360,45360,45360,45360,45360,45360,45360,45439,45439,45439,45439,45439,45439,45439,45439,45439,45439,45439,45016,45016,45016,45016,45016,45016,45016,45016,45016,44368,44368,44368,44368,44368,44368,44368,44368,44368,44414,44414,44414,44414,44414,44414,44414,44414,44414,44414,44414,43917,43917,43917,43917,43917,43917,43917,43917,44296,44296,44296,44296,44296,44296,44296,44088,44088,44088,44088
Ancient ceremonial mask,6880,6880,6880,6907,6907,6907,6907,6907,6907,6907,6907,6766,6766,6766,6766,6766,6766,6766,6766,6766,6917,6917,6917,6917,6917,6917,6917,7114,7114,7114,7114,7286,7286,7286,7286,7286,7286,7286,7410,7410,7410,7410,7410,7410,7410,7410,7385,7385,7385,7385,7385,7385,7385,7385,7385,7521,7521,7521,7521,7521,7521,7521,7521,7521,7521,7521,7566,7566,7566,7566,7566,7566,7566,7566,7566,7566,7566,7651,7651,7651,7651,7651,7651,7651,7651,7651,7651,7651,7651,7776,7776,7776,7776,7776,7776,7776,7776,7776,7776,7776,7776,7783,7783,7783,7783,7783,7783,7783,7783,7783,7783,7783,7783,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7869,7869,7869,7869,7869,7869,7869,7869,7869,7869,7869,7869,7869,7673,7673,7673,7673,7673,7673,7673,7673,7673,7673,7673,7673,7331,7331,7331,7331,7331,7331,7331,7331,7331,7331,7331,7331,7015,7015,7015,7015,7015,7015,7015,7015,7015,7015,6937,6937,6937,6937,6937,6937,6937,6937
Ancient ceremonial robes set,292696,292696,292696,292696,290691,290691,290691,290691,290691,290691,290691,290691,286030,286030,286030,286030,286030,286030,286030,286030,284315,284315,284315,292694,292694,292694,292694,291370,291370,301699,301699,301699,311306,311306,311306,311306,314064,314064,314064,314064,314064,317605,317605,317605,317605,317605,317605,321223,321223,321223,321223,321223,321223,323521,323521,323521,323521,323521,323521,323521,323521,323521,312328,312328,312328,312328,312328,312328,312328,312328,312328,312328,312328,302130,302130,302130,302130,302130,302130,302130,302130,302130,302130,302130,302130,291634,291634,291634,291634,291634,291634,291634,291634,291634,291634,291634,277427,277427,277427,277427,277427,277427,277427,277427,277427,277427,272394,272394,272394,272394,272394,272394,272394,272394,272394,268696,268696,268696,268696,268696,268696,268696,268696,268696,268696,255841,255841,255841,255841,255841,255841,255841,255841,255841,255841,255841,243470,243470,243470,243470,243470,243470,243470,243470,243470,234629,234629,234629,234629,234629,234629,234629,234629,234629,234629,234629,223696,223696,223696,223696,223696,223696,223696,223696,223696,214713,214713,214713,214713,214713,214713,214713,214713,214713,212785,212785,212785,212785,212785,212785
Ancient ceremonial top,66719,66719,66719,66719,67043,67043,67043,67043,67043,67043,66560,66560,66560,66560,66560,67300,67300,67300,67300,67300,67300,67970,67970,67970,67970,67970,68110,68110,68110,68791,68791,68791,68791,67839,67839,67839,67839,67839,67629,67629,67629,67629,67629,67575,67575,67575,67575,67575,67575,68066,68066,68066,68066,68066,68066,68694,68694,68694,68694,68694,68694,68694,68249,68249,68249,68249,68249,68249,68249,68249,68339,68339,68339,68339,68339,68339,68339,68339,68059,68059,68059,68059,68059,68059,68059,68059,67631,67631,67631,67631,67631,67631,67631,67631,68170,68170,68170,68170,68170,68170,68170,68132,68132,68132,68132,68132,68132,68132,68132,67936,67936,67936,67936,67936,67936,67936,68261,68261,68261,68261,68261,68261,68261,68261,68466,68466,68466,68466,68466,68466,68466,68466,68466,68657,68657,68657,68657,68657,68657,68657,68657,68024,68024,68024,68024,68024,68024,68024,68024,68024,67957,67957,67957,67957,67957,67957,67957,67957,67957,67159,67159,67159,67159,67159,67159,67159,68233,68233,68233,68233,68233,68233,68233,67862,67862,67862,67862,67862,67862,67862
Anima Core Body of Zaros,20699366,20699366,20699366,21471723,21471723,21471723,22401958,22401958,22401958,23386412,23386412,23386412,24314977,24314977,24314977,24314977,25061257,25061257,25061257,25061257,24574075,24574075,24574075,24574075,23661146,23661146,23661146,23661146,22876733,22876733,22876733,22097981,22097981,22097981,22097981,21515089,21515089,21515089,21515089,21515089,21323748,21323748,21323748,21323748,20920171,20920171,20920171,20920171,20920171,20463286,20463286,20463286,20463286,20280394,20280394,20280394,20280394,20096882,20096882,20096882,20096882,20606725,20606725,20606725,20606725,21067093,21067093,21067093,21067093,21963567,21963567,21963567,21963567,22925235,22925235,22925235,22925235,23368013,23368013,23368013,23368013,23368013,23883421,23883421,23883421,23883421,24681281,24681281,24681281,24681281,24681281,25016176,25016176,25016176,25016176,25016176,25303921,25303921,25303921,25303921,25303921,25135222,25135222,25135222,25135222,25135222,25674722,25674722,25674722,25674722,25855476,25855476,25855476,25855476,25855476,25913778,25913778,25913778,25913778,25913778,25893352,25893352,25893352,25893352,25893352,25893352,25483070,25483070,25483070,25483070,25395998,25395998,25395998,25395998,25395998,24739991,24739991,24739991,24739991,24739991,23702595,23702595,23702595,23702595,23702595,23316938,23316938,23316938,23316938,23316938,23514396,23514396,23514396,23514396,23514396,23140490,23140490,23140490,23140490,23140490,23140490,23579982,23579982,23579982,23579982,24178804,24178804,24178804,24178804,24585719,24585719,24585719,24585719,24743223,24743223,24743223,24743223,25237274,25237274,25237274
Anima Core helm of Zaros,18392136,19091425,19091425,19091425,19091425,19091425,19091425,19091425,19926577,19926577,19926577,19926577,19926577,19926577,19926577,19926577,20814088,20814088,20814088,20814088,20814088,20814088,20814088,20814088,20814088,21754184,21754184,21754184,21754184,21754184,21754184,21754184,21754184,21754184,22313228,22313228,22313228,22313228,22313228,22313228,22313228,22313228,22313228,22313228,22313228,21510742,21510742,21510742,21510742,21510742,21510742,21510742,21510742,21510742,21510742,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,21872732,21872732,21872732,21872732,21872732,21872732,21872732,21872732,21872732,21872732,21872732,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123,23872625,23872625,23872625,23872625,23872625,23872625,23872625,23872625,23872625,23872625,23872625,23872625,24920638,24920638,24920638,24920638,24920638,24920638,24920638,24920638,24920638,24920638,24920638,24920638,25877682,25877682,25877682,25877682,25877682,25877682,25877682,25877682,25877682,25877682,25877682,25877682,25877682,25877682,25877682,25065913,25065913,25065913,25065913,25065913,25065913,25065913,25065913,25065913,25065913,25065913,25065913,25065913,23869128,23869128,23869128,23869128,23869128,23869128,23869128,23869128,23869128,23869128,23869128,23277870,23277870,23277870,23277870,23277870,23277870,23277870,23277870,23277870,23277870,23277870,23862511,23862511,23862511,23862511,23862511
