name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Adamant armour set (lg),34966,34966,34966,34966,34966,34966,35903,35903,35903,35903,35903,35903,35903,36991,36991,36991,36991,36991,36991,37551,37551,37551,37551,37551,37551,37551,37551,38210,38210,38210,38210,38210,38210,38210,38210,38718,38718,38718,38718,38718,38718,38718,38718,40058,40058,40058,40058,40058,40058,40058,40058,40764,40764,40764,40764,40764,40764,40764,40764,42026,42026,42026,42026,42026,42026,42026,42026,42026,43148,43148,43148,43148,43148,43148,43148,43148,43148,42275,42275,42275,42275,42275,42275,42275,42275,42458,42458,42458,42458,42458,42458,42458,42458,43199,43199,43199,43199,43199,43199,43199,43199,44243,44243,44243,44243,44243,44243,44243,44243,44243,44243,45436,45436,45436,45436,45436,45436,45436,45436,45436,45438,45438,45438,45438,45438,45438,45438,45438,45438,45438,45967,45967,45967,45967,45967,45967,45967,45967,45967,45967,47568,47568,47568,47568,47568,47568,47568,47568,47568,48698,48698,48698,48698,48698,48698,48698,48133,48133,48133,48133,48133,48133,48133,48133,48133,49360,49360,49360,49360,49360,49360,49360,49360,49360,49360,50189,50189,50189,50189,50189
Adamant armour set (sk),32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,34940,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183,36183
Adamant armour set + 1 (lg),80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387,84387
Adamant armour set + 1 (sk),80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040
Adamant armour set + 2 (lg),161995,163543,163543,163543,163543,163543,163543,163543,163543,163543,163543,163543,163543,165009,165009,165009,165009,165009,165009,165009,165009,165009,165009,165009,165009,165009,163966,163966,163966,163966,163966,163966,163966,163966,163966,163966,163966,163966,161210,161210,161210,161210,161210,161210,161210,161210,161210,161210,161210,161210,164451,164451,164451,164451,164451,164451,164451,164451,164451,164451,164451,164451,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,163228,163228,163228,163228,163228,163228,163228,163228,163228,163228,163228,163228,158267,158267,158267,158267,158267,158267,158267,158267,158267,158267,158267,157555,157555,157555,157555,157555,157555,157555,157555,157555,157555,157555,157555,155577,155577,155577,155577,155577,155577,155577,155577,155577,155577,155577,155577,155577,153321,153321,153321,153321,153321,153321,153321,153321,153321,153321,153321,153321,153321,153321,153321,151512,151512,151512,151512,151512,151512,151512,151512,151512,151512,151512,151512,151512,151512,149981,149981,149981,149981,149981,149981,149981,149981,149981,149981,149981,149981,149981,149981,150606,150606,150606,150606,150606,150606,150606,150606,150606,150606,150606,150606,150606
Adamant armour set + 2 (sk),164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,167313,171257,171257,171257,171257,171257,171257,171257,171257,171257,171257,171257,171257,171257,171257,171257,171257,171257
Adamant armoured boots,4410,4410,4410,4410,4410,4564,4564,4564,4564,4564,4755,4755,4755,4755,4755,4935,4935,4935,4935,4935,4935,4968,4968,4968,4968,4968,4968,4985,4985,4985,4985,4985,4985,5196,5196,5196,5196,5196,5196,5349,5349,5349,5349,5349,5349,5349,5584,5584,5584,5584,5584,5584,5584,5755,5755,5755,5755,5755,5755,5755,5979,5979,5979,5979,5979,5979,6223,6223,6223,6223,6223,6223,6471,6471,6471,6471,6471,6471,6471,6584,6584,6584,6584,6584,6584,6584,6705,6705,6705,6705,6705,6705,6705,6850,6850,6850,6850,6850,6850,6850,6950,6950,6950,6950,6950,6950,6950,7116,7116,7116,7116,7116,7116,7116,7116,7099,7099,7099,7099,7099,7099,7099,7099,7224,7224,7224,7224,7224,7224,7224,7224,7224,7326,7326,7326,7326,7326,7326,7326,7326,7138,7138,7138,7138,7138,7138,7138,7138,7206,7206,7206,7206,7206,7206,7206,7026,7026,7026,7026,7026,7026,7026,7026,7004,7004,7004,7004,7004,7004,7004,7048,7048,7048,7048,7048,7048,7048,7109,7109,7109
Adamant armoured boots + 1,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7515,7515,7515
Adamant armoured boots + 2,14608,14608,14697,14697,14697,14697,14697,14697,14624,14624,14624,14624,14624,14624,14789,14789,14789,14789,14789,14789,14896,14896,14896,14896,14896,14896,14896,15296,15296,15296,15296,15296,15296,15296,15572,15572,15572,15572,15572,15572,15572,15572,15280,15280,15280,15280,15280,14758,14758,14758,14758,14758,14758,15017,15017,15017,15017,15017,15017,15017,15017,14844,14844,14844,14844,14844,14844,14844,15002,15002,15002,15002,15002,15002,15002,14590,14590,14590,14590,14590,14590,14779,14779,14779,14779,14779,14779,14779,14860,14860,14860,14860,14860,14860,14860,14735,14735,14735,14735,14735,14735,14732,14732,14732,14732,14732,14732,14795,14795,14795,14795,14795,14795,14795,14778,14778,14778,14778,14778,14778,14778,14839,14839,14839,14839,14839,14839,14839,14839,14839,14446,14446,14446,14446,14446,14446,14446,14446,14231,14231,14231,14231,14231,14231,14231,13970,13970,13970,13970,13970,13970,13970,13970,13992,13992,13992,13992,13992,13992,13992,14071,14071,14071,14071,14071,14071,14071,14185,14185,14185,14185,14185,14185,14185,14185,14337,14337,14337,14337,14337
