name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Banite armour set,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521,703521
Banite armour set + 1,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080
Banite armour set + 2,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040
Banite armour set + 3,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080
Banite armour set + 4,8853984,8853984,8853984,8853984,8853984,8853984,8853984,8853984,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6724038,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6439597,6142849,6142849,6142849,6142849,6142849,6142849,6142849,6142849
Berserker helm,45826,45826,45826,45826,45826,45376,45376,45376,45376,45376,45376,45376,45838,45838,45838,45838,45838,45838,45838,44366,44366,44366,44366,44366,44366,45199,45199,45199,45199,45199,45199,45199,45615,45615,45615,45615,45615,45615,45615,45615,45819,45819,45819,45819,45819,45819,45819,45819,46063,46063,46063,46063,46063,46063,46063,46686,46686,46686,46686,46686,46686,46686,46686,45855,45855,45855,45855,45855,45855,45855,45855,44407,44407,44407,44407,44407,44407,44407,44595,44595,44595,44595,44595,44595,44595,44595,44882,44882,44882,44882,44882,44882,44882,45203,45203,45203,45203,45203,45203,45203,45203,45554,45554,45554,45554,45554,45554,45554,45678,45678,45678,45678,45678,45678,45678,45818,45818,45818,45818,45818,45818,45818,45818,45818,45818,45894,45894,45894,45894,45894,45894,45894,45894,45894,45893,45893,45893,45893,45893,45893,45893,45893,45228,45228,45228,45228,45228,45228,45228,45228,45379,45379,45379,45379,45379,45379,45379,45379,45379,45739,45739,45739,45739,45739,45739,45739,45739,45739,45553,45553,45553,45553,45553,45553,45553,45553,45214,45214,45214,45214
Corrupt dragon chainbody,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,91010,91010,91010,91010,91010,91010,91010,91010,91010,91010,91010,91010,91010,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,82282,79432,79432,79432,79432,79432,79432,79432,79432,79432,79432,79432,79432,79432,79432,79432,79432,79432,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,76753,75860,75860,75860,75860,75860,75860,75860,75860,75860,75860,75860,75860,75860,75860,75860
Corrupt dragon helm,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,48289,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,49067,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,48479,49923,49923,49923
Corrupt dragon platelegs,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,74232,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,72524,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,70488,71620,71620,71620,71620,71620,71620,71620,71620,71620,71620
