name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Abyssal bane longsword,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1288503,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1229824,1174808,1174808,1174808,1174808,1174808,1174808,1174808,1174808,1174808,1174808,1174808,1174808,1174808,1174808
Abyssal bane off hand longsword,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060,1784060
Abyssal bane two hand sword,2959255,2959255,2959255,2959255,2959255,2959255,2827743,2827743,2827743,2827743,2827743,2827743,2827743,2827743,2827743,2827743,2697261,2697261,2697261,2697261,2697261,2697261,2697261,2697261,2581319,2581319,2581319,2581319,2581319,2581319,2581319,2581319,2581319,2581319,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,2049936,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1957832,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1868796,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754,1817754
Abyssal whip,71075,69508,70177,71380,71376,71441,71230,70858,70759,70909,71542,71652,71898,71898,71766,70673,70296,70296,70414,69884,70634,70687,70854,70787,70516,70648,71290,71390,70742,69161,70498,70674,70592,70368,71090,70077,68232,69834,71083,70859,70393,70426,71184,70937,70596,70596,70409,71070,70940,70990,71343,71744,70740,70718,70718,69933,70278,70692,71011,71348,70086,70647,71012,71012,70768,70829,70716,70861,70813,71085,70874,70521,70730,70730,70475,71126,70543,70916,70836,71477,71740,71740,71729,71729,70643,70498,71534,69842,70340,70725,70725,71166,71413,71748,71346,71203,70869,70865,70865,71023,71026,71129,70842,70466,71287,70798,70427,71269,71612,70794,71199,71724,71634,70856,70454,71106,71198,71290,70485,70537,70534,71320,71387,70238,70228,70281,71231,71248,70774,70391,70677,70677,70972,70972,71164,71612,71403,70098,70980,71107,70916,70628,71012,71012,71594,71301,71301,70945,71095,70657,70221,69811,70168,70955,70421,70179,70959,71063,71063,71509,71509,71663,71030,70725,71296,70714,70836,71010,71010,71195,71158,70737,70605,70984,70741,70681,70299,70702,71134,70958
Annihilation,20987224,20987224,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,23604831,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046,24647046
Armadyl godsword,2865387,2856803,2856803,2856803,2918843,2918843,2918843,3010511,3010511,3010511,3121985,3121985,3121985,3121985,3201709,3201709,3201709,3250716,3250716,3250716,3288517,3288517,3288517,3210218,3210218,3210218,3210218,3173142,3173142,3173142,3127525,3127525,3127525,3028891,3028891,3028891,3028891,2977092,2977092,2977092,2977092,2939870,2939870,2939870,2862803,2862803,2862803,2862803,2798141,2798141,2798141,2798141,2802271,2802271,2802271,2802271,2932612,2932612,2932612,2932612,3008837,3008837,3008837,3008837,2995314,2995314,2995314,2995314,3077042,3077042,3077042,3077042,3108449,3108449,3108449,3108449,3108449,3060588,3060588,3060588,3060588,3060588,3123425,3123425,3123425,3123425,3175698,3175698,3175698,3175698,3175698,3164272,3164272,3164272,3164272,3221752,3221752,3221752,3221752,3242508,3242508,3242508,3242508,3284887,3284887,3284887,3284887,3284887,3375152,3375152,3375152,3375152,3506039,3506039,3506039,3506039,3500117,3500117,3500117,3500117,3500117,3641602,3641602,3641602,3641602,3641602,3641602,3542384,3542384,3542384,3542384,3542384,3482045,3482045,3482045,3482045,3482045,3367779,3367779,3367779,3367779,3257123,3257123,3257123,3257123,3257123,3219619,3219619,3219619,3219619,3219619,3205238,3205238,3205238,3205238,3200234,3200234,3200234,3200234,3200234,3200234,3176885,3176885,3176885,3176885,3203909,3203909,3203909,3203909,3203909,3202405,3202405,3202405,3202405,3143178,3143178,3143178,3143178,3139920,3139920
Armadyl hilt,2185131,2185131,2185131,2185131,2185131,2185131,2191151,2191151,2191151,2191151,2191151,2191151,2191151,2281507,2281507,2281507,2281507,2281507,2281507,2281507,2369376,2369376,2369376,2369376,2369376,2369376,2369376,2438594,2438594,2438594,2438594,2438594,2438594,2438594,2438558,2438558,2438558,2438558,2438558,2438558,2438558,2438558,2380106,2380106,2380106,2380106,2380106,2380106,2380106,2380106,2380106,2281023,2281023,2281023,2281023,2281023,2281023,2281023,2281023,2209143,2209143,2209143,2209143,2209143,2209143,2209143,2209143,2209143,2215911,2215911,2215911,2215911,2215911,2215911,2215911,2215911,2215911,2242728,2242728,2242728,2242728,2242728,2242728,2242728,2242728,2242728,2242728,2289452,2289452,2289452,2289452,2289452,2289452,2289452,2289452,2289452,2289452,2355219,2355219,2355219,2355219,2355219,2355219,2355219,2355219,2355219,2355219,2436823,2436823,2436823,2436823,2436823,2436823,2436823,2436823,2436823,2543433,2543433,2543433,2543433,2543433,2543433,2543433,2543433,2543433,2543433,2640099,2640099,2640099,2640099,2640099,2640099,2640099,2640099,2640099,2640099,2690519,2690519,2690519,2690519,2690519,2690519,2690519,2690519,2690519,2690519,2690519,2617297,2617297,2617297,2617297,2617297,2617297,2617297,2617297,2617297,2552219,2552219,2552219,2552219,2552219,2552219,2552219,2552219,2552219,2552219,2552219,2538248,2538248,2538248,2538248,2538248,2538248,2538248,2544149,2544149,2544149,2544149,2544149,2544149
Bandos godsword,800869,798836,798836,798836,810503,810503,810503,811702,811702,811702,824550,824550,824550,825854,825854,825854,851228,851228,851228,872796,872796,872796,894938,894938,894938,894938,894287,894287,894287,882277,882277,882277,884585,884585,884585,884585,889250,889250,889250,889250,889887,889887,889887,889887,888141,888141,888141,888141,888141,884178,884178,884178,884178,887075,887075,887075,887075,887075,880352,880352,880352,880352,879091,879091,879091,879091,879091,909964,909964,909964,909964,929496,929496,929496,929496,929496,924582,924582,924582,924582,930475,930475,930475,930475,930475,954276,954276,954276,954276,952389,952389,952389,952389,952389,941716,941716,941716,941716,941716,926814,926814,926814,926814,922028,922028,922028,922028,920260,920260,920260,920260,915967,915967,915967,915967,901776,901776,901776,901776,901776,883014,883014,883014,883014,883014,871076,871076,871076,871076,871076,858493,858493,858493,858493,858493,839305,839305,839305,839305,839305,856706,856706,856706,856706,868592,868592,868592,868592,868592,862700,862700,862700,862700,862700,855956,855956,855956,855956,855956,888411,888411,888411,888411,888411,896027,896027,896027,896027,896027,913651,913651,913651,913651,910725,910725,910725,910725,910725,890832,890832
Bandos hilt,298645,298645,298645,296447,296447,296447,296447,296447,296447,296447,296447,296447,296447,298643,298643,298643,298643,298643,298643,298643,298643,298643,298643,302534,302534,302534,302534,302534,302534,302534,302534,302534,302534,302534,301876,301876,301876,301876,301876,301876,301876,301876,301876,301876,301876,301876,300574,300574,300574,300574,300574,300574,300574,300574,300574,300574,300574,302225,302225,302225,302225,302225,302225,302225,302225,302225,302225,302225,302225,302225,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,308124,308124,308124,308124,308124,308124,308124,308124,308124,308124,308124,308124,308124,319757,319757,319757,319757,319757,319757,319757,319757,319757,319757,319757,319757,319757,319757,328443,328443,328443,328443,328443,328443,328443,328443,328443,328443,328443,328443,328443,328443,328443,337691,337691,337691,337691,337691,337691,337691,337691,337691,337691,337691,337691,337691,337691,337691,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,321812,321812,321812,321812,321812,321812,321812,321812,321812,321812,321812,321812,321812,321812,321476,321476,321476,321476,321476,321476,321476,321476,321476,321476,321476
