name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Adamant 2h sword,16335,16711,16711,17389,17389,18120,18023,18023,17945,17945,17667,17667,16826,16826,16358,17176,17176,17873,17873,18717,18717,19336,19336,19852,19852,19852,20598,20598,20746,20746,21390,21390,21894,21894,21894,21949,21949,21949,22327,22327,22476,22476,23187,23187,23869,23869,23869,23929,23929,23929,23248,23248,22448,22448,22346,22346,21905,21905,21777,21777,21777,21772,21772,22057,22057,22465,22465,22465,21989,21989,21989,21979,21979,21979,21996,21996,21996,22198,22198,22198,22250,22250,22250,21981,21981,21220,21220,21220,21310,21310,21310,21018,21018,21001,21001,21001,21195,21195,21195,20673,20673,20416,20416,20416,20331,20331,20331,20630,20630,20630,20987,20987,20987,21548,21548,21548,21331,21331,21008,21008,20836,20836,20836,21077,21077,21077,21077,20909,20909,20909,21520,21520,21520,21520,21599,21599,21599,21764,21764,21764,21828,21828,22175,22175,22175,22892,22892,22892,23777,23777,23777,24146,24146,24146,23927,23927,23927,24060,24060,24060,24060,24193,24193,24193,24127,24127,24127,24090,24090,24090,24480,24480,24480,24118,24118,24118,24726,24726,24726,25015
Adamant 2h sword + 1,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,28705,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339,29339
Adamant 2h sword + 2,39249,39249,39249,39249,39082,39082,39082,39082,39082,39082,37980,37980,37980,37980,37980,37289,37289,37289,37289,37289,37289,36682,36682,36682,36682,36682,36682,35815,35815,35815,35815,35815,35815,35031,35031,35031,35031,35031,35031,35438,35438,35438,35438,35438,35438,36549,36549,36549,36549,36549,36549,37052,37052,37052,37052,37052,37052,36972,36972,36972,36972,36972,36972,36972,37026,37026,37026,37026,37026,37026,37026,37322,37322,37322,37322,37322,37322,36480,36480,36480,36480,36480,36480,36480,36200,36200,36200,36200,36200,36200,36655,36655,36655,36655,36655,36655,35881,35881,35881,35881,35881,35881,35612,35612,35612,35612,35612,35612,35612,35199,35199,35199,35199,35199,35199,35098,35098,35098,35098,35098,35098,36782,36782,36782,36782,36782,36782,36782,36782,37931,37931,37931,37931,37931,37931,37931,37931,37041,37041,37041,37041,37041,37041,37041,36723,36723,36723,36723,36723,36723,36723,36723,36526,36526,36526,36526,36526,36313,36313,36313,36313,36313,36313,36313,36458,36458,36458,36458,36458,36458,36458,35877,35877,35877,35877,35877,35877,35877,34891,34891
Adamant battleaxe,9039,9039,9039,9039,9039,9039,9441,9441,9441,9441,9441,9441,9441,9441,9858,9858,9858,9858,9858,9858,9858,9858,10302,10302,10302,10302,10302,10302,10302,10302,10302,10752,10752,10752,10752,10752,10752,10752,10752,10752,10752,10752,10752,11209,11209,11209,11209,11209,11209,11209,11209,11209,11209,11209,11209,11209,11651,11651,11651,11651,11651,11651,11651,11651,11651,11651,11651,11651,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,14345,14345,14345,14345,14345,14345,14345,14345,14345,14345,14345,14345,14345,14345,14345,14950,14950,14950,14950,14950,14950,14950,14950,14950,14950,14950,14950,14950,15575,15575,15575,15575,15575,15575,15575,15575,15575,15575,15575,15575,15575,16228,16228,16228,16228,16228,16228,16228,16228,16228,16228,16228,16228,16876,16876,16876,16876,16876
Adamant battleaxe + 1,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904
Adamant battleaxe + 2,27627,27627,27627,27627,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,31117,32243,32243,32243,32243,32243,32243,32243,32243,32243,32243,32243,32243,32243,32243,32243
Adamant cane,376295,376295,376295,376295,376295,376295,376295,376295,376295,376295,376295,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,471536,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,493121,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529,515529
Adamant claws,6450,6741,6741,6741,6741,6741,6992,6992,6992,6992,7286,7286,7286,7286,7286,7550,7550,7550,7550,7550,7817,7817,7817,7817,7817,7817,8026,8026,8026,8026,8026,8228,8228,8228,8228,8228,8228,8540,8540,8540,8540,8540,8540,8918,8918,8918,8918,8918,8918,8918,9253,9253,9253,9253,9253,9253,9253,8883,8883,8883,8883,8883,8883,8883,8445,8445,8445,8445,8445,8445,8445,8025,8025,8025,8025,8025,8025,8025,7632,7632,7632,7632,7632,7632,7632,7415,7415,7415,7415,7415,7415,7415,7415,7754,7754,7754,7754,7754,7754,7754,7754,8094,8094,8094,8094,8094,8094,8094,8094,8094,8435,8435,8435,8435,8435,8435,8435,8435,8435,8805,8805,8805,8805,8805,8805,8805,8805,8805,8805,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9490,9490,9490,9490,9490,9490,9490,9490,9490,9875,9875,9875,9875,9875,9875,9875,9875,10256,10256,10256,10256,10256,10256,10256,10256,10256,10256,10256,10570,10570,10570,10570,10570,10570,10570,10570,10570,10925,10925,10925,10925
Adamant claws + 1,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340
