name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Blade of Avaryss,639546,639546,639546,664234,664234,664234,664234,690860,690860,690860,690860,721133,721133,721133,721133,750651,750651,750651,750651,783348,783348,783348,783348,817794,817794,817794,817794,817794,830316,830316,830316,830316,838686,838686,838686,838686,838686,855036,855036,855036,855036,855036,865858,865858,865858,865858,865858,877188,877188,877188,877188,877188,872109,872109,872109,872109,872109,881827,881827,881827,881827,881827,869158,869158,869158,869158,869158,869158,867487,867487,867487,867487,867487,867487,870812,870812,870812,870812,870812,906137,906137,906137,906137,906137,906137,943157,943157,943157,943157,943157,988466,988466,988466,988466,988466,1033407,1033407,1033407,1033407,1033407,1078970,1078970,1078970,1078970,1078970,1128893,1128893,1128893,1128893,1128893,1128893,1180808,1180808,1180808,1180808,1180808,1180808,1196290,1196290,1196290,1196290,1196290,1196290,1182438,1182438,1182438,1182438,1182438,1182438,1145253,1145253,1145253,1145253,1145253,1093216,1093216,1093216,1093216,1093216,1093216,1085295,1085295,1085295,1085295,1085295,1095787,1095787,1095787,1095787,1095787,1095787,1087730,1087730,1087730,1087730,1087730,1087730,1086019,1086019,1086019,1086019,1086019,1108376,1108376,1108376,1108376,1108376,1108376,1125903,1125903,1125903,1125903,1125903,1137278,1137278,1137278,1137278,1137278,1161301,1161301
Blade of Nymora,741870,741870,741870,756402,756402,756402,756402,783099,783099,783099,783099,809422,809422,809422,809422,844101,844101,844101,844101,883826,883826,883826,883826,923665,923665,923665,923665,923665,938940,938940,938940,938940,951818,951818,951818,951818,951818,972308,972308,972308,972308,972308,996374,996374,996374,996374,996374,996374,1010707,1010707,1010707,1010707,1010707,1004299,1004299,1004299,1004299,1004299,1004299,991593,991593,991593,991593,991593,988212,988212,988212,988212,988212,998749,998749,998749,998749,998749,998749,1020494,1020494,1020494,1020494,1020494,1050064,1050064,1050064,1050064,1050064,1050064,1089176,1089176,1089176,1089176,1089176,1089176,1120275,1120275,1120275,1120275,1120275,1120275,1120275,1145726,1145726,1145726,1145726,1145726,1197763,1197763,1197763,1197763,1197763,1197763,1251479,1251479,1251479,1251479,1251479,1251479,1271462,1271462,1271462,1271462,1271462,1271462,1260701,1260701,1260701,1260701,1260701,1260701,1222712,1222712,1222712,1222712,1222712,1222712,1165382,1165382,1165382,1165382,1165382,1165382,1152079,1152079,1152079,1152079,1152079,1152079,1178105,1178105,1178105,1178105,1178105,1178105,1159580,1159580,1159580,1159580,1159580,1159580,1142208,1142208,1142208,1142208,1142208,1190714,1190714,1190714,1190714,1190714,1190714,1211800,1211800,1211800,1211800,1211800,1221682,1221682,1221682,1221682,1221682,1224859
Brackish blade,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,112035,107785,107785,107785,107785,107785,107785,107785
Brine sabre,107922,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,92006,88497,88497,88497,88497,88497,88497,88497,88497,88497,88497,88497
Cleaver,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366
Corrupt dragon battleaxe,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,77838,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,75849,74744,74744,74744,74744,74744,74744,74744,74744,74744
Corrupt dragon dagger,68388,68388,68388,68388,68388,68388,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,54388,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,51927,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544,49544
Corrupt dragon longsword,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,63054,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,61362,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126,60126
Corrupt dragon mace,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,64439,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,61716,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971,58971
