name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Casket-salvaging scrimshaw,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824,341824
Energy-gathering scrimshaw,286864,299548,299548,299548,299548,299548,299548,299548,299548,299548,299548,299548,299548,299548,312775,312775,312775,312775,312775,312775,312775,312775,312775,312775,312775,312775,312775,328088,328088,328088,328088,328088,328088,328088,328088,328088,328088,328088,328088,328088,343829,343829,343829,343829,343829,343829,343829,343829,343829,343829,343829,343829,343829,360420,360420,360420,360420,360420,360420,360420,360420,360420,360420,360420,360420,360420,378047,378047,378047,378047,378047,378047,378047,378047,378047,378047,378047,378047,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,414981,414981,414981,414981,414981,414981,414981,414981,414981,414981,414981,414981,414981,414981,414981,414981,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,434169,452422,452422,452422,452422,452422,452422,452422,452422,452422,452422,452422,452422,452422,452422,452422,464388,464388,464388,464388,464388,464388,464388,464388,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685,454685
Gem-finding scrimshaw,357975,357975,357975,357975,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715,339715
Log-splitting scrimshaw,640176,640176,640176,640176,640176,640176,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,669780,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009,689009
Memory-crushing scrimshaw,595491,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,654961,682915,682915,682915,682915,682915,682915,682915,682915,682915,682915,682915,682915,682915
Rock-crushing scrimshaw,697869,697869,697869,697869,697869,697869,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,753757,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,783179,784938,784938,784938,784938,784938,784938,784938,784938
Scrimshaw of attack,1221827,1221827,1221827,1221827,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1106531,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396,1126396
Scrimshaw of cruelty,1947582,1871499,1813425,1757512,1696390,1696390,1650312,1650312,1637936,1637936,1672087,1672087,1737780,1737780,1798392,1856546,1856546,1856546,1942007,1942007,2028311,2028311,2123379,2123379,2221169,2221169,2326205,2326205,2434785,2434785,2533715,2533715,2633783,2633783,2633715,2633715,2633715,2698989,2698989,2791374,2791374,2763778,2763778,2747542,2747542,2747542,2833812,2833812,2833812,2945768,2945768,3045308,3045308,2989223,2989223,2989223,2919951,2919951,2919951,2949009,2949009,2949009,3050618,3050618,3050618,3058518,3058518,2985679,2985679,2985679,2961803,2961803,2961803,3034159,3034159,3034159,3122433,3122433,2973378,2973378,2973378,2851247,2851247,2851247,2845432,2845432,2845432,2946155,2946155,2876507,2876507,2876507,2841638,2841638,2841638,2841638,2919567,2919567,2919567,2884879,2884879,2884879,2943171,2943171,2943171,3027519,3027519,3027519,2992524,2992524,2992524,3029641,3029641,3029641,3018122,3018122,2904532,2904532,2904532,2876587,2876587,2898342,2898342,2898342,2919153,2919153,2919153,2867122,2867122,2867122,2865604,2865604,2865604,2857143,2857143,2857143,2788482,2788482,2788482,2736310,2736310,2736310,2834443,2834443,2834443,2948680,2948680,2908102,2908102,2908102,2834473,2834473,2834473,2778108,2778108,2683012,2683012,2608709,2608709,2531277,2531277,2477931,2477931,2477931,2490908,2490908,2490908,2579938,2579938,2579938,2673327,2673327,2673327,2768163,2768163,2768163,2867215,2867215,2867215,2997715
Scrimshaw of magic,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1590094,1651958,1651958,1651958,1651958,1651958,1651958,1651958,1651958,1651958,1651958,1651958,1651958,1651958,1651958,1651958,1651958
