name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Acne potion,683,683,683,683,683,660,660,660,660,660,660,652,652,652,652,652,652,669,669,669,669,669,669,696,696,696,696,696,696,696,731,731,731,731,731,768,768,768,768,768,768,797,797,797,797,797,837,837,837,837,837,879,879,879,879,879,921,921,921,921,968,968,968,968,968,980,980,980,980,1025,1025,1025,1025,1025,1018,1018,1018,1018,1005,1005,1005,1005,1034,1034,1034,1034,1034,1059,1059,1059,1059,1059,1037,1037,1037,1037,1037,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1076,1076,1076,1076,1076,1076,1126,1126,1126,1126,1126,1150,1150,1150,1150,1150,1185,1185,1185,1185,1185,1185,1185,1239,1239,1239,1239,1239,1239,1300,1300,1300,1300,1300,1297,1297,1297,1297,1297,1297,1317,1317,1317,1317,1317,1317,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1349,1349,1349,1349,1349,1349,1339,1339,1339,1339,1339,1316,1316,1316,1316
Aggression flask (1),10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023
Aggression flask (2),8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,9865,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10251,10617,10617,10617,10617,10617,10617,10617,10617,10617,10617,10617,10617,10617,10617,10617,10617
Aggression flask (3),12291,12291,12291,12291,12291,12291,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15113,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,15720,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16974,16974,16974,16974,16974,16974,16974,16974,16974,16974,16974,16974,16974
Aggression flask (4),19639,19639,20530,20530,20530,20530,20530,20530,20530,20530,20530,20530,20530,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757,26663,26663,26663,26663,26663,26663,26663,26663,26663,26663,26663,26663,26663,26663,26663,26663,27841,27841,27841,27841,27841,27841,27841,27841,27841,27841,27841,27841,27841,27841,27841,27841,27841,28979,28979,28979,28979,28979,28979,28979,28979,28979,28979,28979,28979,28979,28979,28979,30101,30101,30101,30101,30101,30101,30101,30101,30101,30101,30101,30101,30101,30101,30101,31391,31391,31391,31391,31391,31391,31391,31391
Aggression flask (5),93215,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88023,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694,88694
Aggression flask (6),104346,106288,106098,106489,108723,113229,116154,115766,115381,113448,111908,112276,111480,111480,111325,108478,107831,105983,105517,107662,108342,109678,107435,105638,105062,104486,103862,102601,103141,107075,107516,105793,104752,105123,105044,106051,106018,105847,105634,105172,105033,106951,108632,105694,104924,104924,104006,103118,102955,103847,102828,102200,102127,102081,102081,103932,105194,104917,103466,103134,103750,108005,105566,105566,106443,105491,104554,104394,103703,103936,103318,102650,101798,101513,101581,101475,101973,102596,103694,101780,101206,101148,100866,100866,100736,100850,101356,102271,102815,103308,103308,104973,106348,107498,106871,106544,105462,103824,103824,104222,103731,103037,102635,102236,101056,103220,103322,102041,101294,101659,103982,105424,104722,103393,103185,103219,103188,104115,104009,103947,103848,103923,105023,104742,104588,104057,104725,105275,104085,105623,106366,106366,107235,109474,109813,108329,107430,107111,106879,106284,106307,105397,104229,104289,103907,103664,103834,104013,104873,104645,104503,103609,104086,103282,104764,108480,111870,109082,107420,107271,105924,105559,103636,104462,104972,104536,104435,104451,104749,104473,107081,106454,107441,106182,109860,113438,113331,112231,111459,110449
Aggression potion (1),15579,15579,15579,15579,15579,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,16927,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17275,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17518,17324,17324,17324,17324,17324,17324,17324,17324,17324,17324,17324,17324,17324,17324,17324
Aggression potion (2),30660,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,32733,33647,33647,33647,33647,33647,33647,33647,33647,33647,33647,33647,33647,33647,33647,33647,33647,33647,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577,33577
