name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Ancient cloak,452500,452500,452500,452500,452500,452500,452500,452500,472389,472389,472389,472389,472389,472389,472389,472389,495790,495790,495790,495790,495790,495790,495790,495790,520223,520223,520223,520223,520223,520223,520223,520223,520223,520223,545162,545162,545162,545162,545162,545162,545162,545162,545162,558308,558308,558308,558308,558308,558308,558308,558308,558308,558308,542970,542970,542970,542970,542970,542970,542970,542970,542970,542970,542970,543751,543751,543751,543751,543751,543751,543751,543751,543751,543751,528543,528543,528543,528543,528543,528543,528543,528543,528543,528543,528543,505972,505972,505972,505972,505972,505972,505972,505972,505972,505972,501018,501018,501018,501018,501018,501018,501018,501018,501018,501018,499234,499234,499234,499234,499234,499234,499234,499234,499234,499234,499234,499234,493514,493514,493514,493514,493514,493514,493514,493514,493514,493514,493514,493514,493514,504635,504635,504635,504635,504635,504635,504635,504635,504635,504635,504635,504635,504635,506007,506007,506007,506007,506007,506007,506007,506007,506007,506007,506007,506007,509924,509924,509924,509924,509924,509924,509924,509924,509924,509924,509924,509924,519111,519111,519111,519111,519111,519111,519111,519111,519111,519111,519111,532144,532144
Ancient crozier,461577,461577,461577,461577,461577,461577,461577,461577,484502,484502,484502,484502,484502,484502,484502,484502,484502,508112,508112,508112,508112,508112,508112,508112,508112,508112,527523,527523,527523,527523,527523,527523,527523,527523,527523,542869,542869,542869,542869,542869,542869,542869,542869,542869,542869,549461,549461,549461,549461,549461,549461,549461,549461,549461,549461,549461,538924,538924,538924,538924,538924,538924,538924,538924,538924,538924,538924,535009,535009,535009,535009,535009,535009,535009,535009,535009,535009,535009,520802,520802,520802,520802,520802,520802,520802,520802,520802,520802,520802,506979,506979,506979,506979,506979,506979,506979,506979,506979,506979,506979,498448,498448,498448,498448,498448,498448,498448,498448,498448,498448,498448,501945,501945,501945,501945,501945,501945,501945,501945,501945,501945,501945,501945,508630,508630,508630,508630,508630,508630,508630,508630,508630,508630,508630,508630,508630,521013,521013,521013,521013,521013,521013,521013,521013,521013,521013,521013,531984,531984,531984,531984,531984,531984,531984,531984,531984,531984,531984,531984,531984,531984,544067,544067,544067,544067,544067,544067,544067,544067,544067,544067,548477,548477,548477,548477,548477,548477,548477,548477,548477
Ancient mitre,389317,389317,389317,408068,408068,408068,408068,408068,408068,408068,408068,427668,427668,427668,427668,427668,427668,427668,427668,427668,448244,448244,448244,448244,448244,448244,448244,448244,448244,448244,448244,470201,470201,470201,470201,470201,470201,470201,470201,470201,470201,482462,482462,482462,482462,482462,482462,482462,482462,482462,482462,482462,496755,496755,496755,496755,496755,496755,496755,496755,496755,496755,496755,496755,515289,515289,515289,515289,515289,515289,515289,515289,515289,515289,515289,515289,506737,506737,506737,506737,506737,506737,506737,506737,506737,506737,506737,506737,506737,494005,494005,494005,494005,494005,494005,494005,494005,494005,494005,494005,489969,489969,489969,489969,489969,489969,489969,489969,489969,489969,489969,489969,489969,487015,487015,487015,487015,487015,487015,487015,487015,487015,487015,487015,487015,487015,487015,501927,501927,501927,501927,501927,501927,501927,501927,501927,501927,501927,501927,501927,514558,514558,514558,514558,514558,514558,514558,514558,514558,514558,514558,514558,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,534285,534285,534285,534285,534285,534285,534285,534285,534285,534285,534285,534285,550402,550402,550402
Ancient page 1,85355,82978,82978,82978,82978,82978,82978,82214,82214,82214,82214,82214,82171,82171,82171,82171,82171,82171,82171,81203,81203,81203,81203,81203,81203,81234,81234,81234,81234,81234,81234,83277,83277,83277,83277,83277,83277,83007,83007,83007,83007,83007,83007,83156,83156,83156,83156,83156,83156,85178,85178,85178,85178,85178,85178,87329,87329,87329,87329,87329,87329,89697,89697,89697,89697,89697,89697,92721,92721,92721,92721,92721,92721,92731,92731,92731,92731,92731,92731,92731,93915,93915,93915,93915,93915,93915,93915,97537,97537,97537,97537,97537,97537,97537,100521,100521,100521,100521,100521,100521,100521,98549,98549,98549,98549,98549,98549,98549,100037,100037,100037,100037,100037,100037,100037,102649,102649,102649,102649,102649,102649,102649,106137,106137,106137,106137,106137,106137,106137,106137,107777,107777,107777,107777,107777,107777,107777,107777,106225,106225,106225,106225,106225,106225,108882,108882,108882,108882,108882,108882,108882,108148,108148,108148,108148,108148,108148,108148,108148,108148,106670,106670,106670,106670,106670,106670,106670,103071,103071,103071,103071,103071,103071,101372,101372,101372,101372,101372,101372,101372
Ancient page 2,77915,77915,77915,76018,76018,76018,76018,76018,76018,74960,74960,74960,74960,74960,74960,74401,74401,74401,74401,74401,74401,74977,74977,74977,74977,74977,74977,75419,75419,75419,75419,75419,75419,76211,76211,76211,76211,76211,76211,76211,76211,76211,76211,76211,76211,78847,78847,78847,78847,78847,78847,78847,82144,82144,82144,82144,82144,82144,85358,85358,85358,85358,85358,85358,85358,85944,85944,85944,85944,85944,85944,85994,85994,85994,85994,85994,85994,85994,85994,86540,86540,86540,86540,86540,86540,90156,90156,90156,90156,90156,90156,90156,90156,88742,88742,88742,88742,88742,88742,88742,87708,87708,87708,87708,87708,87708,87708,86839,86839,86839,86839,86839,86839,86839,86839,87137,87137,87137,87137,87137,87137,87137,87137,89185,89185,89185,89185,89185,89185,89185,89185,89185,89419,89419,89419,89419,89419,89419,89419,89419,90919,90919,90919,90919,90919,90919,90919,90919,92095,92095,92095,92095,92095,92095,92095,92095,92095,92095,90646,90646,90646,90646,90646,90646,90646,90646,87387,87387,87387,87387,87387,87387,87387,85671,85671,85671,85671,85671,85671,85671
Ancient page 3,77915,77915,76517,76517,76517,76517,76517,75285,75285,75285,75285,75285,75285,76061,76061,76061,76061,76061,76061,75345,75345,75345,75345,75345,75345,74246,74246,74246,74246,74246,74246,75155,75155,75155,75155,75155,75155,75284,75284,75284,75284,75284,75284,75907,75907,75907,75907,75907,75907,75907,78170,78170,78170,78170,78170,78170,78170,81704,81704,81704,81704,81704,81704,81704,83535,83535,83535,83535,83535,83535,85639,85639,85639,85639,85639,85639,85639,85639,87211,87211,87211,87211,87211,87211,87211,89629,89629,89629,89629,89629,89629,89629,89629,87641,87641,87641,87641,87641,87641,87641,86053,86053,86053,86053,86053,86053,86053,85479,85479,85479,85479,85479,85479,85479,85940,85940,85940,85940,85940,85940,85940,88729,88729,88729,88729,88729,88729,88729,88729,88729,89016,89016,89016,89016,89016,89016,89016,89016,89016,88868,88868,88868,88868,88868,88868,90476,90476,90476,90476,90476,90476,90476,90476,88903,88903,88903,88903,88903,88903,88903,88903,88903,88659,88659,88659,88659,88659,88659,88659,85399,85399,85399,85399,85399,85399,85399,84286,84286,84286,84286
Ancient page 4,79379,79379,79379,79379,76644,76644,76644,76644,76644,76644,74332,74332,74332,74332,74332,72269,72269,72269,72269,72269,72269,72898,72898,72898,72898,72898,72898,74183,74183,74183,74183,74183,75907,75907,75907,75907,75907,75907,75907,79095,79095,79095,79095,79095,79095,82264,82264,82264,82264,82264,82264,82264,84865,84865,84865,84865,84865,84865,84865,87269,87269,87269,87269,87269,87269,87269,87471,87471,87471,87471,87471,87471,87471,87113,87113,87113,87113,87113,87113,87113,87113,88688,88688,88688,88688,88688,88688,88688,90715,90715,90715,90715,90715,90715,90715,90715,89417,89417,89417,89417,89417,89417,89417,89417,87280,87280,87280,87280,87280,87280,87280,87280,87156,87156,87156,87156,87156,87156,87156,87156,87561,87561,87561,87561,87561,87561,87561,87561,87561,90102,90102,90102,90102,90102,90102,90102,90102,90102,88028,88028,88028,88028,88028,88028,88028,91011,91011,91011,91011,91011,91011,91011,91011,91011,89560,89560,89560,89560,89560,89560,89560,89560,87636,87636,87636,87636,87636,87636,87636,86565,86565,86565,86565,86565,86565,86565,86565,84675,84675,84675
Ancient robe legs,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,447485,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802,467802
Ancient robe top,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,439014,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,458597,480096,480096,480096,480096,480096,480096
