name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Accursed ashes,270,257,246,237,237,237,242,242,237,233,229,228,233,233,226,217,217,224,224,232,236,238,238,245,245,249,249,262,276,274,270,267,264,256,253,254,254,251,252,256,254,254,244,247,249,249,248,242,237,234,225,225,218,215,215,209,215,214,218,223,223,224,232,232,228,222,216,218,221,221,221,224,216,216,213,213,208,205,205,205,205,205,208,208,209,210,212,212,215,214,214,216,215,215,210,210,213,213,213,210,206,210,219,219,220,220,219,219,222,222,227,227,232,231,231,227,227,220,220,224,221,218,218,216,216,216,216,210,213,213,213,213,213,213,207,207,209,209,203,203,197,195,190,190,191,187,187,185,185,182,182,173,174,174,176,174,174,174,174,174,174,176,176,176,182,186,186,187,187,193,193,189,196,205,205,216,216,225,230,230
Airut bones,5783,5797,5856,6104,6326,6334,6305,6250,6341,6228,6338,6353,6415,6672,6674,6751,6920,7011,7140,6879,7046,6882,6731,6689,6514,6498,6356,6244,6261,6339,6324,6284,6236,6121,5997,6020,6256,6109,6156,6015,6013,6143,6256,6196,6260,6271,6380,6446,6690,6979,7187,7425,7573,7304,6996,6734,6599,6330,6213,6411,6494,6592,6582,6466,6396,6408,6401,6368,6252,6186,6150,6254,6220,6345,6595,6743,6926,6747,6552,6391,6224,6135,6220,6267,6232,6035,5753,5634,5798,5938,5987,6165,6163,6147,6219,6191,6332,6410,6378,6409,6489,6670,6583,6542,6674,6742,6576,6475,6469,6523,6462,6441,6282,6175,6231,6169,6108,6043,5990,6074,6178,6062,5971,5834,5840,6042,5951,5767,5692,5831,5897,5843,5815,5876,5808,5837,5892,5838,5747,5527,5387,5267,5293,5397,5490,5495,5500,5405,5392,5474,5441,5240,5297,5288,5386,5583,5848,5940,5875,5834,5617,5609,5682,5704,5689,5675,5704,5542,5485,5646,5594,5398,5211,5258,5223,5063,5142,5189,5241,5146
Arctic pyre logs,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10127,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,10327,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9964,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511
Asyn remains,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297
Baby dragon bones,921,944,944,921,921,915,910,910,905,905,900,900,896,896,925,939,939,922,922,931,931,946,946,928,928,916,916,921,921,912,912,896,896,926,926,930,930,921,921,934,934,935,934,934,934,934,928,928,926,926,926,926,923,908,908,880,880,855,855,825,825,814,794,794,794,794,790,790,793,793,781,781,794,794,775,775,781,781,780,780,775,775,773,773,759,759,745,745,748,748,748,742,742,736,736,736,736,734,734,755,755,760,760,755,755,738,738,752,752,746,746,773,773,800,800,779,779,766,766,766,774,774,770,770,788,788,788,787,787,787,771,771,768,768,791,791,820,820,843,843,884,884,923,923,961,961,961,994,994,994,1019,1019,1027,1027,1018,1018,1012,1012,1012,990,990,1002,1002,985,985,977,977,954,954,936,936,936,915,915,899,899,879,879,876,876
Bat bones,730,730,730,759,759,759,779,779,779,779,808,808,808,808,827,827,827,846,846,846,846,839,839,839,839,837,837,837,837,827,827,827,827,811,811,811,811,835,835,835,835,835,866,866,866,866,866,898,898,898,898,929,929,929,929,929,935,935,935,935,949,949,949,949,995,995,995,995,997,997,997,997,1025,1025,1025,1025,1025,997,997,997,997,997,986,986,986,986,970,970,970,970,970,964,964,964,964,923,923,923,923,930,930,930,930,904,904,904,904,901,901,901,901,929,929,929,929,893,893,893,893,893,875,875,875,875,875,899,899,899,899,899,924,924,924,924,924,937,937,937,937,937,945,945,945,945,945,927,927,927,927,927,957,957,957,957,957,957,983,983,983,983,983,983,996,996,996,996,957,957,957,957,963,963,963,963,963,956,956,956,956,956
Big bones,195,195,194,199,198,199,203,201,200,196,201,201,205,206,200,197,197,199,197,194,195,197,194,193,187,189,191,184,186,187,191,191,190,189,188,183,181,185,187,185,185,182,180,177,179,177,178,175,181,181,183,180,180,179,171,168,169,169,174,177,176,176,177,177,178,179,178,178,175,173,173,175,179,172,176,175,177,180,181,181,180,181,180,175,173,171,172,172,174,175,172,168,166,164,161,158,157,157,156,155,156,161,165,167,169,170,171,171,166,169,169,168,169,169,169,170,171,169,170,170,170,169,170,167,169,170,168,170,169,169,167,171,171,168,167,167,168,170,171,171,170,168,170,171,170,171,171,170,167,169,172,174,174,175,172,171,168,163,158,159,166,168,167,170,174,173,172,171,165,161,163,158,156,159,160,161,159,159,162,162
Bones,240,243,246,248,247,247,248,247,246,251,243,230,219,210,204,203,204,204,202,201,201,203,202,201,198,194,188,181,182,188,196,197,198,194,190,185,183,184,182,182,181,178,180,183,186,185,188,188,187,185,186,186,190,197,199,199,194,198,200,203,203,203,206,208,208,204,199,203,201,206,209,210,212,212,206,205,203,200,205,205,205,205,208,208,211,207,202,195,197,203,203,198,200,197,197,197,201,204,204,204,205,198,192,192,185,183,186,185,190,190,190,193,193,196,194,198,198,196,196,198,196,196,196,194,194,197,197,193,189,189,187,187,192,192,192,195,191,196,191,191,186,184,184,184,187,186,186,192,192,198,196,192,192,187,189,192,192,191,191,190,190,193,191,194,196,190,190,185,185,184,184,188,180,175,175,175,179,179,172,172
Burnt bones,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1701
Dagannoth bones,5747,5747,5620,5620,5541,5541,5735,5735,5870,5870,5870,5898,5898,5935,5935,5935,5935,5935,6177,6177,6315,6315,6315,6365,6365,6365,6500,6500,6257,6257,6011,6011,5720,5720,5575,5575,5575,5590,5590,5590,5719,5719,5789,5789,5903,5903,5903,6063,6063,6063,6273,6273,6273,6406,6406,6406,6573,6573,6573,6528,6528,6528,6411,6411,6411,6279,6279,6279,6127,6127,6127,5943,5943,5943,5723,5723,5723,5790,5790,5790,5871,5871,5871,5895,5895,5890,5890,5890,5836,5836,5836,5607,5607,5729,5729,5729,5742,5742,5742,5855,5855,5855,5885,5885,5885,6013,6013,6013,6013,6013,5851,5851,5851,5727,5727,5863,5863,5863,5989,5989,5989,5872,5872,5872,5990,5990,5990,5957,5957,5957,5784,5784,5784,5780,5780,5780,5760,5760,5760,5760,5494,5494,5494,5336,5336,5336,5202,5202,5202,5159,5159,5159,5086,5086,5086,5186,5186,5186,5186,5217,5217,5217,5298,5298,5298,5309,5309,5309,5309,5170,5170,5170,5081,5081,5081,5056,5056,5056,4990,4990
Dragon bones,1942,1864,1835,1815,1818,1832,1844,1845,1848,1856,1883,1925,1935,1955,1970,1979,1965,1956,1947,1971,1978,1965,1951,1944,1932,1925,1911,1927,1937,1935,1959,1963,1977,1980,1994,1972,1972,1969,1965,1984,1990,1984,1975,1977,1971,1959,1953,1934,1930,1923,1915,1912,1939,1975,1989,1987,1986,1979,1976,1983,1963,1956,1968,1943,1952,1959,1956,1959,1959,1960,1951,1953,1934,1911,1907,1902,1932,1975,1974,1983,2005,1982,1959,1967,1939,1935,1938,1944,1939,1916,1915,1936,1934,1934,1940,1935,1932,1956,1976,1967,1959,1955,1940,1923,1914,1908,1922,1923,1926,1932,1933,1942,1946,1956,1952,1958,1972,1981,1970,1973,1963,1964,1966,1961,1955,1944,1938,1931,1921,1926,1984,2052,2020,2021,1999,1985,1977,1993,2013,2026,2021,1999,1984,1989,2016,2013,2009,2015,2013,1988,2010,2046,2051,2020,1972,1961,1962,1945,1949,1969,1973,1984,2027,2060,2041,2016,1992,1963,1941,1930,1904,1871,1835,1822,1806,1826,1840,1869,1884,1908
Elder pyre logs,17114,17114,17114,17114,17114,17114,17114,17114,17114,17114,17114,17114,17114,17114,17114,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17427,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,17497,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704,16704
Eucalyptus pyre logs,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138
Fayrg bones,6283,6283,6283,6283,6283,6283,6378,6378,6378,6378,6378,6378,6378,6378,6378,6337,6337,6337,6337,6337,6337,6337,6337,6309,6309,6309,6309,6309,6309,6309,6309,6309,6219,6219,6219,6219,6219,6219,6219,6219,6219,6219,6102,6102,6102,6102,6102,6102,6102,6102,6102,6102,6014,6014,6014,6014,6014,6014,6014,6014,6014,6014,5977,5977,5977,5977,5977,5977,5977,5977,5977,5977,5895,5895,5895,5895,5895,5895,5895,5895,5895,5895,5895,5895,5872,5872,5872,5872,5872,5872,5872,5872,5872,5872,5977,5977,5977,5977,5977,5977,5977,5977,5977,5977,6237,6237,6237,6237,6237,6237,6237,6237,6237,6237,6237,6518,6518,6518,6518,6518,6518,6518,6518,6518,6518,6518,6518,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629,6849,6849,6849,6849,6849,6849,6849,6849,6849,6849,6849,7178,7178,7178,7178,7178,7178,7178,7178,7178,7178,7178,7178,7178,7439,7439,7439,7439,7439,7439,7439,7439,7439,7439,7439,7439,7439,7795,7795,7795
Fiyr remains,3585,3585,3585,3585,3585,3585,3585,3598,3598,3598,3598,3598,3598,3598,3598,3598,3598,3598,3654,3654,3654,3654,3654,3654,3654,3654,3654,3654,3654,3638,3638,3638,3638,3638,3638,3638,3638,3638,3638,3638,3638,3638,3622,3622,3622,3622,3622,3622,3622,3622,3622,3622,3622,3622,3622,3622,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3659,3659,3659,3659,3659,3659,3659,3659,3659,3659,3659,3659,3659,3659,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3493,3493,3493,3493,3493,3493,3493,3493,3493,3493,3493,3493,3493,3493,3493,3493,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290
