name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Anima Core body of Zamorak,10094722,10212478,10212478,10212478,10212478,10438612,10438612,10438612,10438612,10801117,10801117,10801117,10801117,11174406,11174406,11174406,11174406,11576343,11576343,11576343,11576343,11576343,11785501,11785501,11785501,11785501,11785501,11708487,11708487,11708487,11708487,11708487,11583560,11583560,11583560,11583560,11583560,11583560,11346970,11346970,11346970,11346970,11346970,11096747,11096747,11096747,11096747,11096747,11096747,10938884,10938884,10938884,10938884,10938884,10848719,10848719,10848719,10848719,10848719,10688078,10688078,10688078,10688078,10688078,10688078,10596574,10596574,10596574,10596574,10596574,10521944,10521944,10521944,10521944,10521944,10521944,10646683,10646683,10646683,10646683,10646683,10646683,10958932,10958932,10958932,10958932,10958932,10958932,11307505,11307505,11307505,11307505,11307505,11307505,11618360,11618360,11618360,11618360,11618360,11594191,11594191,11594191,11594191,11594191,11594191,11636303,11636303,11636303,11636303,11636303,11636303,11462737,11462737,11462737,11462737,11462737,11462737,11381305,11381305,11381305,11381305,11381305,11381305,11352383,11352383,11352383,11352383,11352383,11352383,11352383,11408513,11408513,11408513,11408513,11408513,11408513,11408513,11267146,11267146,11267146,11267146,11267146,11267146,11267146,11093735,11093735,11093735,11093735,11093735,11093735,10926489,10926489,10926489,10926489,10926489,10829125,10829125,10829125,10829125,10829125,10829125,10948632,10948632,10948632,10948632,10948632,10972286,10972286,10972286,10972286,10972286,11296919,11296919,11296919,11296919,11611094,11611094,11611094,11611094,11611094
Anima Core helm of Zamorak,10211440,10409396,10409396,10409396,10409396,10409396,10409396,10727648,10727648,10727648,10727648,10727648,10727648,10727648,11035125,11035125,11035125,11035125,11035125,11035125,11035125,11446218,11446218,11446218,11446218,11446218,11446218,11446218,11446218,11564661,11564661,11564661,11564661,11564661,11564661,11564661,11564661,11419516,11419516,11419516,11419516,11419516,11419516,11419516,11153150,11153150,11153150,11153150,11153150,11153150,11153150,11153150,10945832,10945832,10945832,10945832,10945832,10945832,10945832,10945832,10945832,10776752,10776752,10776752,10776752,10776752,10776752,10776752,10776752,10835557,10835557,10835557,10835557,10835557,10835557,10835557,10835557,10835557,11141678,11141678,11141678,11141678,11141678,11141678,11141678,11141678,11539863,11539863,11539863,11539863,11539863,11539863,11539863,11539863,11539863,11539863,11534510,11534510,11534510,11534510,11534510,11534510,11534510,11534510,11534510,11670468,11670468,11670468,11670468,11670468,11670468,11670468,11670468,11670468,11670468,11830293,11830293,11830293,11830293,11830293,11830293,11830293,11830293,11830293,11830293,12023428,12023428,12023428,12023428,12023428,12023428,12023428,12023428,12023428,12023428,12023428,11742184,11742184,11742184,11742184,11742184,11742184,11742184,11742184,11742184,11228566,11228566,11228566,11228566,11228566,11228566,11228566,11228566,11228566,10863716,10863716,10863716,10863716,10863716,10863716,10863716,10863716,10723791,10723791,10723791,10723791,10723791,10723791,10723791,10723791,10877154,10877154,10877154,10877154,10877154,10877154,10877154,10877154,11308497,11308497
Anima Core legs of Zamorak,10127840,10269483,10269483,10269483,10269483,10589905,10589905,10589905,10589905,11025825,11025825,11025825,11025825,11025825,11381539,11381539,11381539,11381539,11381539,11724017,11724017,11724017,11724017,11724017,11734425,11734425,11734425,11734425,11734425,11738153,11738153,11738153,11738153,11738153,11738153,11582533,11582533,11582533,11582533,11582533,11582533,11582533,11195246,11195246,11195246,11195246,11195246,11195246,10926708,10926708,10926708,10926708,10926708,10707885,10707885,10707885,10707885,10707885,10707885,10637019,10637019,10637019,10637019,10637019,10637019,10869347,10869347,10869347,10869347,10869347,11151673,11151673,11151673,11151673,11151673,11151673,11274269,11274269,11274269,11274269,11274269,11274269,11288960,11288960,11288960,11288960,11288960,11288960,11503626,11503626,11503626,11503626,11503626,11503626,11577235,11577235,11577235,11577235,11577235,11577235,11512018,11512018,11512018,11512018,11512018,11512018,11512018,11400527,11400527,11400527,11400527,11400527,11400527,11326241,11326241,11326241,11326241,11326241,11326241,11331824,11331824,11331824,11331824,11331824,11331824,11505079,11505079,11505079,11505079,11505079,11505079,11505079,11451786,11451786,11451786,11451786,11451786,11451786,11451786,11451786,11212792,11212792,11212792,11212792,11212792,11212792,11212792,11012588,11012588,11012588,11012588,11012588,11012588,11012588,10889733,10889733,10889733,10889733,10889733,10889733,10751779,10751779,10751779,10751779,10751779,10843850,10843850,10843850,10843850,10843850,11100201,11100201,11100201,11100201,11100201,11490948,11490948,11490948,11490948,11490948
Archer helm,46201,46201,46201,46201,45654,45654,45654,45654,45654,46122,46122,46122,46122,46122,45261,45261,45261,45261,45671,45671,45671,45671,45671,45661,45661,45661,45661,45661,45661,45735,45735,45735,45735,45735,45735,45091,45091,45091,45091,45091,45091,45091,45236,45236,45236,45236,45236,45236,45702,45702,45702,45702,45702,45702,45876,45876,45876,45876,45876,45876,45876,45982,45982,45982,45982,45982,45982,45982,45022,45022,45022,45022,45022,45022,45236,45236,45236,45236,45236,45236,45519,45519,45519,45519,45519,45519,45519,45824,45824,45824,45824,45824,45824,45274,45274,45274,45274,45274,45274,46025,46025,46025,46025,46025,46025,46025,45354,45354,45354,45354,45354,45354,45667,45667,45667,45667,45667,45667,46264,46264,46264,46264,46264,46264,46264,46264,46129,46129,46129,46129,46129,46129,46129,45947,45947,45947,45947,45947,45947,45804,45804,45804,45804,45804,45804,46539,46539,46539,46539,46539,46539,45794,45794,45794,45794,45794,45794,45794,46006,46006,46006,46006,46006,46006,46006,45883,45883,45883,45883,45883,45883,45883,46251,46251,46251,46251,46251,46251,46251,45879
Armadyl armour set,15487529,15857130,15857130,15857130,16330009,16330009,16330009,16923432,16923432,16923432,17438675,17438675,17438675,17438675,17712230,17712230,17712230,17780237,17780237,17780237,17780237,17916342,17916342,17916342,17916342,17916342,17872769,17872769,17872769,17872769,17718592,17718592,17718592,17718592,17386541,17386541,17386541,17386541,17386541,16977958,16977958,16977958,16977958,16305087,16305087,16305087,16305087,16305087,15579323,15579323,15579323,15579323,15069000,15069000,15069000,15069000,14784763,14784763,14784763,14784763,14657228,14657228,14657228,14657228,14657228,14809300,14809300,14809300,14809300,15375170,15375170,15375170,15375170,15375170,15793990,15793990,15793990,15793990,16238248,16238248,16238248,16238248,16238248,16238248,16497062,16497062,16497062,16497062,16497062,17074925,17074925,17074925,17074925,17074925,17618426,17618426,17618426,17618426,17618426,17756774,17756774,17756774,17756774,17756774,18254736,18254736,18254736,18254736,18254736,18652797,18652797,18652797,18652797,18652797,18617996,18617996,18617996,18617996,18617996,18549139,18549139,18549139,18549139,18549139,18254012,18254012,18254012,18254012,18254012,17921797,17921797,17921797,17921797,17921797,17921797,17674893,17674893,17674893,17674893,17674893,17608817,17608817,17608817,17608817,17608817,17254641,17254641,17254641,17254641,17254641,17254641,17343375,17343375,17343375,17343375,17689309,17689309,17689309,17689309,17689309,17689309,18007107,18007107,18007107,18007107,17968604,17968604,17968604,17968604,17968604,18044485,18044485,18044485,18044485,18044485,18539278,18539278,18539278,18539278,18539278
Armadyl boots,2451493,2410123,2419538,2443636,2479276,2479276,2531345,2585316,2643653,2696325,2755261,2792596,2822536,2822536,2852180,2881976,2881976,2900943,2914806,2911207,2903012,2889402,2882144,2875246,2875246,2853049,2853049,2828869,2782771,2753145,2753145,2740545,2725085,2725085,2665877,2625541,2625541,2590808,2526177,2452848,2377073,2377073,2327446,2291137,2274309,2274309,2258913,2235952,2235952,2219787,2192184,2192184,2202120,2209673,2209673,2220950,2220950,2224195,2241418,2250752,2250752,2275270,2282329,2282329,2273703,2283714,2283714,2318617,2339890,2377218,2377218,2408585,2408585,2437494,2465615,2465615,2498529,2520450,2537211,2537211,2572425,2572425,2603305,2603305,2644370,2659729,2681345,2681345,2697240,2697240,2699591,2735606,2776731,2776731,2814936,2814936,2862331,2899561,2899561,2926067,2978123,2978123,3017604,3017604,3029928,3029928,3051008,3051008,3003623,3003623,2974875,2960743,2960743,2958276,2958276,2965286,2965286,2975483,2975483,2969552,2988767,3005584,3005584,3004339,3004339,3019181,3019181,3020414,3020414,3025457,2972164,2972164,2942015,2942015,2854055,2793015,2753066,2753066,2723074,2723074,2756948,2776474,2810120,2810120,2829132,2821654,2821654,2805848,2805848,2784938,2772835,2772835,2752538,2701032,2646548,2600970,2600970,2593400,2593400,2615848,2615848,2638067,2657879,2657879,2689071,2709018,2709018,2739508,2739508,2788109,2834390,2865767,2893575,2926863,2926863,2950802,2965188,2977326,2979461,2979461
Armadyl buckler,2120118,2083050,2083050,2108789,2108789,2119356,2133827,2133827,2164655,2164655,2182854,2182854,2211547,2211547,2211547,2239384,2239384,2276085,2276085,2294497,2294497,2319804,2319804,2331239,2331239,2331239,2336055,2336055,2337190,2337190,2346552,2346552,2324045,2324045,2280341,2280341,2280341,2248718,2248718,2208353,2208353,2208353,2143654,2143654,2104977,2104977,2104977,2090682,2090682,2090682,2078724,2078724,2078724,2081876,2081876,2081876,2072885,2072885,2072885,2063768,2063768,2063768,2064299,2064299,2064299,2032373,2032373,2032373,2053536,2053536,2053536,2047355,2047355,2047355,2057520,2057520,2057520,2074964,2074964,2074964,2088690,2088690,2088690,2118861,2118861,2128643,2128643,2128643,2151052,2151052,2151052,2163322,2163322,2180346,2180346,2180346,2202919,2202919,2202919,2228898,2228898,2228898,2259459,2259459,2259459,2256363,2256363,2256363,2241982,2241982,2156073,2156073,2156073,2067377,2067377,1978268,1978268,1941103,1941103,1941103,1891528,1891528,1881993,1881993,1881993,1920781,1920781,1960126,1960126,1960126,1997485,1997485,1997485,2029411,2029411,2034712,2034712,2034712,2071603,2071603,2122252,2122252,2173022,2173022,2173022,2205029,2205029,2208998,2208998,2208998,2216790,2216790,2216790,2229039,2229039,2219745,2219745,2219745,2255613,2255613,2255613,2307062,2307062,2355804,2355804,2355804,2377776,2377776,2377776,2402761,2402761,2402761,2433489,2433489,2452379,2452379,2464720,2464720,2486381,2486381
Armadyl chainskirt,2927784,2948079,2977189,3008644,3060389,3060389,3123142,3123142,3185675,3248864,3310880,3335914,3368293,3368293,3376735,3421901,3421901,3447407,3444584,3451655,3456562,3442364,3437576,3415087,3415087,3395181,3395181,3343211,3269849,3208567,3208567,3204839,3178291,3178291,3108939,3079409,3079409,3042976,2974166,2898975,2818572,2818572,2769249,2740695,2713656,2713656,2713986,2712116,2712116,2710369,2709052,2709052,2722814,2775889,2775889,2795161,2795161,2812349,2812349,2829853,2829853,2861461,2900417,2900417,2911038,2929409,2929409,2980497,3024070,3090255,3090255,3142486,3142486,3198626,3198626,3251152,3296728,3345784,3393751,3393751,3447842,3447842,3480474,3480474,3521222,3560822,3560822,3576840,3595395,3595395,3583828,3609242,3643124,3643124,3685121,3685121,3742002,3791375,3791375,3848912,3908368,3942152,3970433,3970433,3954676,3954676,3928770,3928770,3859528,3859528,3776157,3776157,3722429,3710428,3710428,3672651,3672651,3649746,3649746,3617355,3619625,3586354,3586354,3591370,3591370,3589505,3589505,3550316,3550316,3514094,3473840,3473840,3430609,3430609,3345491,3269429,3213624,3213624,3175702,3175702,3203398,3198952,3198952,3219098,3266657,3293034,3293034,3293547,3293547,3293777,3312132,3312132,3328306,3312567,3297669,3323025,3323025,3359778,3359778,3392974,3392974,3423406,3447091,3447091,3486263,3515745,3515745,3565372,3565372,3623976,3680718,3680718,3733146,3765087,3765087,3772034,3769878,3738333,3718653,3718653
Armadyl chestplate,2894404,2917015,2941728,2982558,3034951,3034951,3099609,3099609,3165274,3225430,3282796,3290674,3310642,3310642,3331073,3354101,3354101,3383164,3381740,3395137,3409017,3401739,3407745,3387625,3387625,3369150,3301037,3265752,3216606,3186249,3186249,3180044,3144719,3144719,3095978,3069381,3069381,3038991,3006445,2938255,2865750,2865750,2816782,2774893,2743639,2743639,2736783,2711157,2711157,2701897,2686823,2686823,2691207,2731490,2731490,2753316,2753316,2776126,2776126,2803141,2803141,2831341,2861970,2861970,2867142,2882586,2882586,2938065,2970575,3016805,3016805,3058929,3058929,3109801,3109801,3159300,3216417,3268472,3314139,3314139,3363741,3363741,3397750,3397750,3442141,3482633,3500164,3500164,3542270,3542270,3549997,3580439,3618484,3618484,3662806,3662806,3719990,3762151,3762151,3796343,3843995,3859174,3862298,3862298,3801886,3801886,3742110,3742110,3669337,3669337,3591069,3591069,3540460,3527421,3478695,3442147,3442147,3411827,3411827,3369458,3344151,3333990,3333990,3323105,3323105,3308351,3308351,3274206,3235910,3235910,3201174,3201174,3158301,3158301,3063782,2988734,2942437,2942437,2893131,2893131,2912330,2923984,2923984,2977932,3012114,3053225,3053225,3067058,3067058,3073769,3113763,3113763,3132207,3146495,3173229,3210082,3210082,3255219,3255219,3303126,3303126,3349483,3394665,3394665,3450569,3479966,3479966,3541138,3541138,3602731,3684994,3684994,3738760,3768363,3768363,3771920,3773879,3752663,3737082,3737082
