name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Adamant 2h crossbow,7850,7850,7850,7850,8194,8194,8194,8194,8194,8194,8194,8194,8194,8194,8194,8446,8446,8446,8446,8446,8446,8446,8446,8446,8446,8446,8669,8669,8669,8669,8669,8669,8669,8669,8669,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9365,9365,9365,9365,9365,9365,9365,9365,9365,9365,9365,9365,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10367,10367,10367,10367,10367,10367,10367,10367,10367,10367,10367,10367,10367,10367,10523,10523,10523,10523,10523,10523,10523,10523,10523,10523,10523,10523,10523,10523,10523,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,11324,11324,11324,11324,11324,11324,11324,11324,11324,11324,11324,11324,11324,11324,11551,11551,11551,11551,11551,11551,11551
Adamant crossbow,8000,8000,7960,7960,8007,8007,7989,7989,8187,8187,8187,8140,8140,8140,8014,8014,8309,8309,8309,8354,8354,8354,8389,8389,8382,8382,8382,8373,8373,8373,8268,8268,8502,8502,8502,8472,8472,8472,8516,8516,8516,8772,8772,8590,8590,8590,8417,8417,8417,8499,8499,8586,8586,8957,8957,8957,9072,9072,9072,9064,9064,9064,8906,8906,8906,8906,8905,8905,8905,8652,8652,8652,8451,8451,8451,8500,8500,8500,8503,8503,8503,8503,8416,8416,8416,8341,8341,8341,8042,8042,8042,8037,8037,8037,7707,7707,7707,8054,8054,8054,8133,8133,8133,8236,8236,8236,8388,8388,8388,8543,8543,8543,8733,8733,8733,8898,8898,8898,8898,9301,9301,9301,9535,9535,9535,9535,9535,9657,9657,9657,9740,9740,9740,9740,9676,9676,9676,9676,9563,9563,9563,9593,9593,9593,9709,9709,9709,9850,9850,9850,9850,9584,9584,9584,9979,9979,9979,9729,9729,9729,9729,10041,10041,10041,10125,10125,10125,10016,10016,10016,9757,9757,9757,9585,9585,9585,10002,10002,10002,10002
Armadyl crossbow,2968457,3030602,3030602,3103714,3103714,3103714,3166979,3166979,3227596,3227596,3294976,3294976,3327443,3327443,3327443,3348798,3348798,3348798,3376598,3376598,3378916,3378916,3378916,3364056,3364056,3364056,3334712,3334712,3265386,3265386,3265386,3263061,3263061,3263061,3253182,3253182,3253182,3251363,3251363,3251363,3204923,3204923,3167187,3167187,3167187,3119908,3119908,3119908,3091622,3091622,3063430,3063430,3063430,3056188,3056188,3056188,3060134,3060134,3060134,3067193,3067193,3067193,3051095,3051095,3051095,3075254,3075254,3075254,3114884,3114884,3114884,3171405,3171405,3171405,3235295,3235295,3235295,3291332,3291332,3291332,3363417,3363417,3363417,3427190,3427190,3459405,3459405,3459405,3459150,3459150,3459150,3439426,3439426,3464510,3464510,3464510,3496287,3496287,3496287,3520303,3520303,3520303,3575610,3575610,3575610,3599194,3599194,3599194,3621339,3621339,3621339,3650116,3650116,3650116,3671845,3671845,3671845,3700314,3700314,3700314,3680760,3680760,3680760,3678496,3678496,3678496,3678496,3698779,3698779,3698779,3678973,3678973,3678973,3678973,3633845,3633845,3633845,3588475,3588475,3588475,3561833,3561833,3561833,3547554,3547554,3572713,3572713,3572713,3566851,3566851,3566851,3580100,3580100,3580100,3569240,3569240,3611093,3611093,3611093,3611093,3654603,3654603,3640709,3640709,3640709,3655480,3655480,3655480,3656926,3656926,3702640,3702640,3702640,3760820,3760820,3760820,3848497,3848497,3848497,3920920
Ascension crossbow,82388544,82388544,82732731,82732731,85019244,85019244,85557470,85557470,86576495,86576495,88688704,88688704,90460083,90460083,90460083,90901023,90901023,90091090,90091090,89781021,89781021,89765105,89765105,89385672,89385672,89385672,89800954,89800954,90327709,90327709,89891872,89891872,89118547,89118547,88385342,88385342,87952350,87952350,87181264,87181264,86842306,86842306,87447013,87447013,87996489,87996489,87996489,88596238,88596238,88596238,89288828,89288828,89288828,89349431,89349431,89349431,89199438,89199438,89199438,88172029,88172029,88172029,87539601,87539601,87539601,86975661,86975661,86141750,86141750,86255684,86255684,86410837,86410837,86410837,86617721,86617721,85867068,85867068,85498125,85498125,85498125,85320150,85320150,85320150,85038689,85038689,86040190,86040190,85720658,85720658,85720658,85639238,85639238,85943697,85943697,85943697,86056081,86056081,86056081,85832376,85832376,86943330,86943330,86943330,87613491,87613491,87613491,88921913,88921913,89393001,89393001,89074740,89074740,89074740,88993959,88993959,89018094,89018094,89387621,89387621,89917753,89917753,91230948,91230948,91230948,91411770,91411770,91411770,90972423,90972423,90392664,90392664,90392664,89496115,89496115,88780277,88780277,88780277,88246300,88246300,87774219,87774219,87997422,87997422,87997422,88250889,88250889,88250889,88925419,88925419,88925419,88885700,88885700,88885700,88580703,88580703,88582038,88582038,88582038,89748252,89748252,89748252,91082383,91082383,91082383,91011595,91011595,91755880,91755880,92340136,92340136,94298839,94298839,94631484,94631484,94760526,94760526,94581313,94581313,92949961
Black 2h crossbow,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,14547,14547,14547,14547,14547,14547,14547,14547,14547,14547,14547,14547,14547,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13593,13593,13593,13593,13593,13593,13593,13593,13593,13593,13593,13593,13593,13593,13593,13593,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,13150,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12523,12086,12086,12086,12086,12086,12086,12086,12086,12086,12086,12086
Black crossbow,354721,371614,371614,371614,371614,371614,371614,371614,371614,371614,371614,378944,378944,378944,378944,378944,378944,378944,397026,397026,397026,397026,397026,397026,397026,397026,397026,416125,416125,416125,416125,416125,416125,416125,416125,416125,416125,435125,435125,435125,435125,435125,435125,435125,435125,435125,435125,435125,454718,454718,454718,454718,454718,454718,454718,454718,454718,454718,454718,475353,475353,475353,475353,475353,475353,475353,475353,475353,475353,475353,475353,475353,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,475775,475775,475775,475775,475775,475775,475775,475775,475775,475775,475775,475775,475775,488107,488107,488107,488107,488107,488107,488107,488107,488107,488107,488107,488107,488107,496128,496128,496128,496128,496128,496128,496128,496128,496128,496128,496128,496128,496128,496128,496128,496128,505524,505524,505524,505524,505524,505524,505524,505524,505524,505524,505524,505524,505524,510463,510463,510463,510463,510463,510463,510463,510463,510463,510463,510463,510463,510463,510463,511146,511146,511146,511146,511146,511146,511146,511146,511146,511146,511146,511146,511146,511146,520534,520534,520534,520534,520534,520534,520534,520534,520534,520534,520534
Blightbound crossbow,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,812901439,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,783795940,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083,748579083
Bolas,447,447,456,456,456,456,456,456,456,456,475,475,475,475,475,475,475,475,488,488,488,488,488,488,488,501,501,501,501,501,501,501,501,501,505,505,505,505,505,505,505,505,505,519,519,519,519,519,519,519,519,519,519,531,531,531,531,531,531,531,531,531,531,531,540,540,540,540,540,540,540,540,540,540,540,544,544,544,544,544,544,544,544,544,544,560,560,560,560,560,560,560,560,560,560,560,575,575,575,575,575,575,575,575,575,575,575,599,599,599,599,599,599,599,599,599,599,599,612,612,612,612,612,612,612,612,612,612,612,612,612,612,623,623,623,623,623,623,623,623,623,623,623,623,638,638,638,638,638,638,638,638,638,638,638,650,650,650,650,650,650,650,650,650,650,650,650,666,666,666,666,666,666,666,666,666,658,658,658,658
Bronze 2h crossbow,1141,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160
