name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Air talisman,378,380,380,390,388,388,384,384,380,380,388,388,406,406,403,395,395,398,398,397,396,396,405,413,413,429,429,439,436,436,429,416,416,420,428,428,410,410,400,400,400,400,399,414,411,411,411,411,410,410,425,425,443,466,466,490,490,474,474,457,457,442,437,437,440,440,440,440,438,441,441,431,431,412,393,380,363,345,335,335,342,342,340,340,338,333,331,331,337,337,333,333,348,348,354,354,360,360,350,345,345,354,370,370,375,375,385,385,375,375,367,367,367,367,381,389,389,387,387,383,383,378,378,359,359,349,349,340,340,343,343,358,358,364,364,359,359,342,325,325,309,309,310,310,300,300,285,270,270,258,246,233,233,221,210,200,200,194,194,194,194,199,199,199,199,199,199,199,198,198,198,198,205,205,216,216,218,218,224,224
Air tiara,434,434,434,434,441,441,441,441,441,459,459,459,459,459,479,479,479,479,498,498,498,498,498,495,495,495,495,495,495,495,495,495,495,495,519,519,519,519,519,519,542,542,542,542,566,566,566,566,566,566,578,578,578,578,578,549,549,549,549,523,523,523,523,523,523,504,504,504,504,504,504,492,492,492,492,492,492,484,484,484,484,484,484,507,507,507,507,507,499,499,499,499,499,499,503,503,503,503,503,503,503,526,526,526,526,526,526,552,552,552,552,552,552,574,574,574,574,574,574,574,566,566,566,566,566,566,566,566,558,558,558,558,558,558,558,558,564,564,564,564,564,564,592,592,592,592,592,592,592,598,598,598,598,598,598,598,604,604,604,604,604,604,603,603,603,603,603,625,625,625,625,625,633,633,633,633,658,658,658,658
Blood talisman,2132,2208,2208,2208,2208,2208,2319,2319,2319,2319,2401,2401,2401,2401,2511,2511,2511,2477,2477,2477,2477,2408,2408,2408,2408,2340,2340,2340,2340,2260,2260,2260,2260,2260,2228,2228,2228,2228,2228,2159,2159,2159,2159,2247,2247,2247,2247,2247,2288,2288,2288,2288,2288,2196,2196,2196,2196,2196,2209,2209,2209,2209,2318,2318,2318,2318,2318,2321,2321,2321,2321,2398,2398,2398,2398,2398,2398,2518,2518,2518,2518,2518,2633,2633,2633,2633,2721,2721,2721,2721,2721,2742,2742,2742,2742,2742,2852,2852,2852,2852,2852,2947,2947,2947,2947,2947,2947,3059,3059,3059,3059,3188,3188,3188,3188,3343,3343,3343,3343,3343,3510,3510,3510,3510,3510,3510,3510,3668,3668,3668,3668,3668,3668,3848,3848,3848,3848,3848,4035,4035,4035,4035,4225,4225,4225,4225,4225,4132,4132,4132,4132,4132,3993,3993,3993,3993,3993,3937,3937,3937,3937,3937,3937,3815,3815,3815,3815,3815,3695,3695,3695,3695,3695,3526,3526,3526,3526,3526,3526,3392
Blood tiara,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1843,1843,1843,1843,1843,1843,1843,1843,1843
Body talisman,334,334,329,329,334,334,347,347,347,359,359,368,368,368,380,380,375,375,375,394,394,406,406,406,406,406,406,406,405,405,405,401,401,401,404,404,404,390,390,383,383,383,403,403,396,396,396,406,406,406,424,424,424,430,430,430,442,442,442,429,429,429,410,410,410,416,416,416,431,431,431,435,435,435,429,429,429,412,412,398,398,398,398,418,418,434,434,427,427,414,414,415,415,430,430,430,431,431,431,424,424,430,430,430,432,432,432,430,430,431,431,431,430,430,430,432,432,432,431,431,431,430,430,430,430,430,430,430,430,430,430,430,430,430,418,418,418,398,398,398,383,383,381,381,381,387,387,387,386,386,386,384,384,384,384,384,384,386,386,386,386,385,385,385,384,384,384,384,384,384,374,374,374,362,362,362,352,352,352,362
Body tiara,184,184,184,184,184,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,216,216,216
Chaos talisman,1578,1578,1578,1530,1530,1530,1484,1484,1484,1473,1473,1473,1399,1399,1399,1329,1329,1329,1269,1269,1211,1211,1211,1150,1150,1150,1150,1106,1106,1106,1120,1120,1120,1120,1102,1102,1102,1102,1089,1089,1089,1089,1039,1039,1039,1039,1020,1020,1020,1020,1002,1002,1002,1002,1001,1001,1001,1029,1029,1029,1029,987,987,987,987,972,972,972,942,942,942,955,955,955,955,955,962,962,962,962,956,956,956,956,948,948,948,948,946,946,946,946,943,943,943,943,950,950,950,950,969,969,969,969,989,989,989,989,976,976,976,976,1013,1013,1013,1049,1049,1049,1085,1085,1085,1085,1070,1070,1070,1070,1070,1076,1076,1076,1076,1076,1124,1124,1124,1124,1126,1126,1126,1126,1069,1069,1069,1069,1015,1015,1015,972,972,972,972,980,980,980,980,1016,1016,1016,1016,1016,1044,1044,1044,1057,1057,1057,1088,1088,1088,1142,1142,1142,1142,1188,1188,1188,1188,1183,1183,1183
Chaos tiara,801,801,801,801,801,801,801,801,801,801,801,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,944,944,944,944,944,944,944,944,944,944,944,944,944,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1062,1062
Cosmic talisman,404,404,391,391,391,407,407,407,393,393,393,383,383,383,379,379,379,364,364,364,362,362,362,362,362,362,362,381,381,381,401,401,401,422,422,422,416,416,416,437,437,437,459,459,459,482,482,482,507,507,507,531,531,531,531,531,531,531,511,511,511,507,507,507,503,503,503,488,488,488,471,471,471,453,453,453,434,434,434,426,426,426,409,409,409,406,406,406,391,391,391,391,381,381,381,381,388,388,388,393,393,393,392,392,392,392,402,402,402,402,398,398,398,383,383,383,383,403,403,403,403,424,424,424,424,424,409,409,409,409,419,419,419,419,411,411,411,391,391,391,378,378,378,378,378,378,378,394,394,394,394,409,409,409,409,430,430,430,430,430,449,449,449,462,462,462,486,486,486,506,506,506,517,517,517,513,513,513,513,510
