name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Accursed urn (nr),1152,1152,1152,1152,1152,1152,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354
Adamant hatchet,5109,5363,5363,5363,5588,5588,5588,5588,5853,5853,5853,6119,6119,6119,6394,6394,6394,6696,6696,6696,6993,6993,6993,7320,7320,7320,7320,7643,7643,7643,7643,7913,7913,7913,7913,7841,7841,7841,7841,7841,8192,8192,8192,8192,8560,8560,8560,8560,8898,8898,8898,8898,8788,8788,8788,8788,8764,8764,8764,8764,8660,8660,8660,8660,8545,8545,8545,8545,8449,8449,8449,8449,8525,8525,8525,8525,8402,8402,8402,8677,8677,8677,8677,8583,8583,8583,8860,8860,8860,8860,8860,9128,9128,9128,9128,9158,9158,9158,9158,8816,8816,8816,8816,8559,8559,8559,8559,8595,8595,8595,8595,8875,8875,8875,8875,8885,8885,8885,8885,8885,9257,9257,9257,9257,9454,9454,9454,9454,9454,9688,9688,9688,9688,9688,9411,9411,9411,9411,8994,8994,8994,9069,9069,9069,9069,9282,9282,9282,9282,9282,9460,9460,9460,9460,9548,9548,9548,9548,9548,9531,9531,9531,9531,9531,9494,9494,9494,9494,9494,9571,9571,9571,9571,9571,9259,9259,9259,9259,9259,9260
Adamant pickaxe,10561,10669,10669,11010,11010,11010,11157,11157,11157,11566,11566,12048,12048,12048,12016,12016,12012,12012,12012,12332,12332,12585,12585,12983,12983,12983,12983,13482,13482,13482,13941,13941,14207,14207,14207,14150,14150,14150,14578,14578,14578,14867,14867,14684,14684,14684,14890,14890,14890,15360,15360,15360,15470,15470,15470,15425,15425,15425,15162,15162,15162,15009,15009,15009,14932,14932,14932,14855,14855,14855,14765,14765,14765,14758,14758,14758,14762,14762,14967,14967,14967,14967,14687,14687,14687,15014,15014,15014,15031,15031,15031,15221,15221,15221,15066,15066,15066,15119,15119,15119,15131,15131,14973,14973,14973,15103,15103,15103,15203,15203,15203,15759,15759,15759,16106,16106,16106,15777,15777,15777,16031,16031,16031,15904,15904,15904,15904,15931,15931,15931,16187,16187,16187,16187,16203,16203,16203,16328,16328,16328,16342,16342,16342,16719,16719,16719,16719,16459,16459,16459,16459,16494,16494,16494,16356,16356,16356,16344,16344,16344,16344,16520,16520,16520,16516,16516,16516,16893,16893,16893,16844,16844,16844,16757,16757,16757,16816,16816,16816,17345
Adamant pickaxe + 1,14366,14366,14366,14366,14366,14366,14366,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,16696,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142,17142
Adamant pickaxe + 2,19446,19446,19033,19033,19033,19046,19046,19046,18953,18953,18953,18686,18686,18686,18157,18157,18456,18456,18456,18283,18283,18283,18783,18783,18783,18423,18423,18423,18270,18270,18270,18079,18079,18079,18280,18280,18280,18280,18409,18409,18409,18409,18176,18176,18176,18176,18009,18009,18009,18009,18118,18118,18118,17890,17890,17890,17890,17858,17858,17858,18276,18276,18276,18276,18221,18221,18221,18435,18435,18435,18222,18222,18222,18222,18317,18317,18317,18189,18189,18189,18109,18109,18109,18109,18610,18610,18610,19150,19150,19150,19150,19540,19540,19540,19707,19707,19707,19670,19670,19670,19670,20252,20252,20252,20564,20564,20564,20564,21089,21089,21089,21089,21570,21570,21570,21872,21872,21872,21872,21823,21823,21823,21823,21855,21855,21855,21855,21855,21922,21922,21922,21922,21895,21895,21895,21895,21951,21951,21951,21951,22376,22376,22376,22376,22084,22084,22084,22084,22010,22010,22010,22010,22145,22145,22145,22577,22577,22577,22577,22577,23085,23085,23085,23085,22855,22855,22855,22855,22862,22862,22862,22862,23267,23267,23267,23267,24013,24013,24013,24013
Airtight pot,135,135,135,135,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
Amulet mould,109,109,109,109,109,109,109,109,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
Archery ticket,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Astronomy book,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302
