name,17951.0,17952.0,17953.0,17954.0,17955.0,17956.0,17957.0,17958.0,17959.0,17960.0,17961.0,17962.0,17963.0,17964.0,17965.0,17966.0,17967.0,17968.0,17969.0,17970.0,17971.0,17972.0,17973.0,17974.0,17975.0,17976.0,17977.0,17978.0,17979.0,17980.0,17981.0,17982.0,17983.0,17984.0,17985.0,17986.0,17987.0,17988.0,17989.0,17990.0,17991.0,17992.0,17993.0,17994.0,17995.0,17996.0,17997.0,17998.0,17999.0,18000.0,18001.0,18002.0,18003.0,18004.0,18005.0,18006.0,18007.0,18008.0,18009.0,18010.0,18011.0,18012.0,18013.0,18014.0,18015.0,18016.0,18017.0,18018.0,18019.0,18020.0,18021.0,18022.0,18023.0,18024.0,18025.0,18026.0,18027.0,18028.0,18029.0,18030.0,18031.0,18032.0,18033.0,18034.0,18035.0,18036.0,18037.0,18038.0,18039.0,18040.0,18041.0,18042.0,18043.0,18044.0,18045.0,18046.0,18047.0,18048.0,18049.0,18050.0,18051.0,18052.0,18053.0,18054.0,18055.0,18056.0,18057.0,18058.0,18059.0,18060.0,18061.0,18062.0,18063.0,18064.0,18065.0,18066.0,18067.0,18068.0,18069.0,18070.0,18071.0,18072.0,18073.0,18074.0,18075.0,18076.0,18077.0,18078.0,18079.0,18080.0,18081.0,18082.0,18083.0,18084.0,18085.0,18086.0,18087.0,18088.0,18089.0,18090.0,18091.0,18092.0,18093.0,18094.0,18095.0,18096.0,18097.0,18098.0,18099.0,18100.0,18101.0,18102.0,18103.0,18104.0,18105.0,18106.0,18107.0,18108.0,18109.0,18110.0,18111.0,18112.0,18113.0,18114.0,18115.0,18116.0,18117.0,18118.0,18119.0,18120.0,18121.0,18122.0,18123.0,18124.0,18125.0,18126.0,18127.0,18128.0,18129.0,18130.0
Acadia logs,417,407,407,411,411,416,418,418,413,413,420,420,423,423,426,427,427,427,427,423,423,422,422,418,418,410,410,407,407,409,426,432,434,434,424,424,419,419,423,423,427,427,414,414,420,420,420,420,427,427,424,424,424,424,417,417,404,404,399,399,411,411,401,401,401,386,386,377,377,382,382,389,389,389,388,388,392,392,397,397,401,401,408,408,404,404,409,409,399,399,399,403,403,407,407,399,399,405,405,405,415,415,417,417,422,422,440,440,445,445,446,446,434,434,420,420,418,418,410,410,409,409,414,414,421,421,421,423,423,442,442,442,446,446,446,446,446,435,435,419,422,422,407,407,401,401,396,396,381,381,382,382,382,380,380,363,363,369,369,369,382,382,387,387,385,385,396,396,406,395,395,389,389,394,394,394,394,403,403,404
Achey tree logs,515,515,527,527,527,527,527,527,553,553,553,553,553,553,553,576,576,576,576,576,576,604,604,604,604,604,604,604,624,624,624,624,624,624,624,638,638,638,638,638,638,638,638,652,652,652,652,652,652,652,652,677,677,677,677,677,677,677,677,698,698,698,698,698,698,698,698,724,724,724,724,724,724,724,724,724,745,745,745,745,745,745,745,745,745,775,775,775,775,775,775,775,793,793,793,793,793,793,793,793,801,801,801,801,801,801,801,801,826,826,826,826,826,826,826,853,853,853,853,853,853,853,853,853,888,888,888,888,888,888,888,888,888,888,932,932,932,932,932,932,932,932,932,978,978,978,978,978,978,978,978,998,998,998,998,998,998,998,998,998,998,957,957,957,957,957,957,957,970,970,970,970,970,970,970,970,992,992,992,992
Arctic pine logs,215,215,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216,216,216,216,216,212,212,212,212,212,212,212,212,212,212,212,218,218,218,218,218,218,218,218,218,218,218,218,217,217,217,217,217,217,217,217,217,217,217,217,220,220,220,220,220,220,220,220,228,228,228,228,228,228,228,228,228,228,236,236,236,236,236,236,236,236,236,236,236,245,245,245,245,245,245,245,245,245,245,254,254,254,254,254,254,254,254,254,254,263,263,263,263,263,263,263,263,263,263,273,273,273,273,273,273,273,273,273,273,273,273,284,284,284,284,284,284,284,284,284,284,284,284,292,292,292,292,292,292,292,292,292,292,292,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,313,313,313,313,313,313,313,313,313,313,313,313,313,323,323
Bark,962,962,962,994,994,994,994,994,994,966,966,966,966,966,966,950,950,950,950,950,950,950,914,914,914,914,914,914,914,883,883,883,883,883,883,883,853,853,853,853,853,853,853,835,835,835,835,835,835,835,835,835,832,832,832,832,832,832,832,827,827,827,827,827,827,827,827,806,806,806,806,806,806,806,806,826,826,826,826,826,826,826,826,826,839,839,839,839,839,839,839,839,867,867,867,867,867,867,867,867,867,879,879,879,879,879,879,879,879,879,914,914,914,914,914,914,914,914,914,952,952,952,952,952,952,952,952,952,987,987,987,987,987,987,987,987,987,987,987,1017,1017,1017,1017,1017,1017,1017,1017,1017,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,1078
Corrupted magic logs,502,486,481,484,479,479,495,501,504,507,511,528,532,532,535,549,549,556,577,581,571,571,581,571,571,563,563,547,545,530,530,522,526,526,522,507,507,511,506,501,504,504,513,512,526,526,528,537,514,495,501,512,521,516,516,509,496,483,473,452,446,449,455,455,460,464,473,485,482,476,476,480,480,480,462,453,459,437,415,420,438,438,439,439,442,452,463,476,479,482,482,466,450,434,436,436,440,436,436,432,429,421,426,426,434,432,448,453,461,448,438,434,440,453,461,447,448,447,451,451,443,439,427,419,410,400,400,406,414,413,406,406,413,413,419,419,423,424,427,422,423,418,420,420,413,417,417,414,416,425,427,434,435,442,429,413,399,396,396,393,393,410,412,422,414,412,426,435,435,419,410,416,412,409,412,412,410,398,391,386
Elder logs,5910,6050,6207,6048,5997,5899,5887,5950,5962,5948,6030,6043,6031,6101,6109,6073,6135,6171,6106,6079,6323,6297,6121,6070,6053,6032,6028,6099,6069,6101,6012,5948,5908,5839,5795,5757,5585,5550,5498,5619,5726,5759,5829,5877,5961,5961,5946,5895,5836,5940,5922,5938,5848,5864,5864,5783,5775,5826,5884,5928,5898,5887,5945,5945,5910,5960,5942,5891,5929,5916,5934,5897,5868,5836,5883,5897,5966,5940,5968,5962,6003,6002,5986,5986,5921,5921,5886,5913,5969,6083,6083,6112,6046,5984,5939,5913,5920,5926,5926,5911,5884,5919,6022,6021,6030,6036,6076,6143,6068,6028,6007,6037,6140,6096,6027,5995,5999,6065,6113,6073,6046,6042,6035,6014,5986,5975,5955,6000,6014,6109,6113,6113,6135,6181,6187,6279,6242,6233,6225,6168,6154,6152,6104,6094,6091,6126,6151,6135,6115,6173,6149,6082,6043,6022,6059,6086,5939,5935,5947,6007,6097,6100,6147,6223,6323,6187,6174,6194,6194,6278,6225,6172,6066,6076,6123,6124,6028,5959,5956,5891
Eucalyptus logs,681,681,681,681,699,699,699,699,699,699,700,700,700,700,700,696,696,696,696,696,696,712,712,712,712,712,712,723,723,723,723,723,723,731,731,731,731,731,731,731,736,736,736,736,736,736,736,756,756,756,756,756,756,776,776,776,776,776,776,776,768,768,768,768,768,768,768,780,780,780,780,780,780,780,780,787,787,787,787,787,787,787,787,772,772,772,772,772,772,772,738,738,738,738,738,738,738,755,755,755,755,755,755,755,755,788,788,788,788,788,788,788,790,790,790,790,790,790,790,790,786,786,786,786,786,786,786,786,752,752,752,752,752,752,752,752,760,760,760,760,760,760,760,760,769,769,769,769,769,769,769,769,769,748,748,748,748,748,748,748,748,748,727,727,727,727,727,727,727,725,725,725,725,725,725,725,725,725,729,729
Logs,216,211,202,209,209,201,196,200,195,193,194,202,207,214,224,236,246,259,272,286,291,283,289,289,279,285,287,295,301,311,324,336,352,363,375,381,391,395,384,370,360,355,353,356,359,361,361,360,363,370,370,365,369,365,364,374,376,386,400,402,388,368,349,343,341,334,339,346,354,368,364,374,388,388,383,386,382,385,389,385,382,386,396,387,376,371,375,378,381,386,382,384,382,382,379,376,376,381,383,382,384,383,391,395,395,384,381,379,376,385,384,382,383,379,369,358,348,335,325,319,317,326,329,334,338,337,340,330,318,318,312,313,311,315,313,312,308,312,315,319,326,327,333,333,332,332,338,338,339,351,345,332,334,330,326,317,315,311,302,289,284,281,281,275,272,274,286,293,297,295,296,302,307,303,304,303,302,295,293,293
Magic logs,407,400,397,397,408,412,418,414,410,421,427,430,433,434,435,436,434,433,428,428,424,424,422,428,428,428,423,423,421,420,421,415,405,401,397,399,393,394,401,398,402,405,409,413,414,415,412,407,403,401,405,413,417,415,414,409,407,403,401,406,405,405,405,404,405,404,405,404,403,404,405,407,407,405,406,406,408,405,403,403,403,409,407,410,407,403,401,403,404,401,398,397,397,400,406,405,404,402,404,404,403,403,405,405,404,408,406,409,406,404,404,408,405,403,404,404,402,401,399,398,398,397,396,395,395,397,395,393,394,399,404,403,406,405,403,404,407,408,409,408,407,405,406,405,405,404,403,402,402,404,405,406,406,407,401,396,395,395,395,395,394,393,395,408,413,410,412,410,409,408,405,403,401,400,398,397,393,392,391,383
Mahogany logs,261,258,268,275,283,291,300,306,313,318,327,328,332,337,346,354,357,358,350,347,339,332,324,323,320,329,337,342,340,333,331,323,318,322,331,333,334,341,347,355,356,364,360,363,371,371,378,381,388,392,389,383,387,397,397,394,389,380,384,387,387,372,361,361,361,363,355,354,356,367,365,359,360,356,354,355,356,349,346,350,360,368,378,378,382,378,374,371,367,364,368,370,363,355,357,356,358,364,364,373,379,384,386,383,391,394,396,384,379,387,393,395,397,387,397,402,405,396,393,400,398,394,390,397,397,403,405,405,409,406,411,411,406,402,391,384,375,370,366,372,369,358,348,348,351,339,332,325,316,308,301,303,295,289,279,278,290,303,315,323,337,341,345,354,355,362,360,368,366,363,369,366,362,364,366,362,368,361,362,362
Maple logs,51,50,52,54,55,56,57,58,58,59,61,62,63,65,66,65,63,62,63,65,66,67,66,68,68,69,70,71,72,72,73,73,73,73,74,73,74,75,77,78,77,75,75,75,75,74,73,73,74,74,74,75,75,77,78,79,81,83,85,86,87,89,90,91,90,89,90,91,94,95,94,93,94,95,96,97,96,95,91,88,87,87,86,88,87,87,85,86,87,88,88,88,89,90,91,90,91,91,91,91,92,93,93,94,95,94,93,94,94,96,97,96,96,95,95,95,94,94,94,94,94,93,95,96,95,94,93,93,93,95,94,93,92,91,88,87,87,88,90,91,90,90,89,89,89,90,90,89,87,85,83,82,80,77,74,72,72,74,77,79,81,83,86,87,89,90,91,92,93,92,92,92,94,98,99,100,100,99,101,103
Oak logs,95,93,93,91,88,88,89,90,95,97,98,100,98,98,98,101,102,106,109,111,114,114,111,111,111,113,118,123,127,130,128,126,126,126,126,121,121,120,119,119,115,115,115,114,109,109,109,112,112,116,111,107,104,106,106,107,110,112,112,115,115,118,121,121,123,128,128,129,127,126,126,126,126,124,121,121,122,121,118,118,117,117,118,118,114,116,117,117,119,120,120,123,125,125,119,119,118,120,120,121,125,126,128,128,128,128,128,128,127,127,125,125,122,124,124,123,123,122,122,121,119,119,119,118,118,117,117,115,115,111,111,111,113,113,110,110,109,110,109,109,114,119,123,123,125,124,124,128,128,129,126,125,125,127,126,125,125,126,126,126,126,127,123,120,120,118,118,118,118,122,122,119,119,121,121,126,126,125,130,130
Split log,385,385,385,385,385,385,385,385,385,385,385,385,385,385,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,461,461,461,461,461,461,461,461
Teak logs,70,70,70,71,71,71,70,70,72,72,73,73,73,73,72,72,72,74,74,75,75,78,78,77,77,75,75,74,74,76,76,76,76,76,76,76,76,80,80,80,80,80,79,79,78,78,80,80,80,80,80,80,79,77,77,75,75,73,73,75,75,78,82,82,87,87,92,92,94,94,95,95,95,95,96,96,95,94,94,91,91,87,84,84,82,82,82,81,81,83,83,81,77,77,76,76,75,78,78,79,79,76,76,74,74,72,72,72,72,73,73,72,72,72,72,70,70,73,73,73,74,74,76,76,79,79,79,78,78,77,77,77,77,78,78,78,78,77,77,76,73,73,71,71,72,72,71,71,70,70,71,71,72,72,72,72,72,72,75,75,75,76,76,75,75,76,76,77,77,76,76,78,78,76,76,79,79,83,83,86
Thatch spar dense,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Thatch spar light,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
