Adamant arrow,51,51,51,51,50,51,51,51,51,50,50,50,50,51,50,50,50,51,51,51,50,50,51,51,50,51,50,51,51,51,50,51,50,50,50,50,50,50,50,50,50,51,50,48,47,47,48,50,50,50,50,49,48,48,49,48,47,47,48,49,50,50,50,50,50,50,50,50,50,51,51,50,50,50,51,50,50,50,49,49,48,49,50,50,50,50,50,50,51,51,51,51,51,51,50,51,51,51,50,50,50,51,51,50,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,48,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,50,50,50,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,50,50,51,51,50,50,51,50,50,50,50,50,50,50
Adamant fire arrows,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
Araxyte arrow,179,180,180,180,180,179,179,180,180,179,178,179,180,179,179,181,181,180,180,180,181,179,180,181,182,180,180,181,181,179,179,178,175,172,174,174,176,176,175,178,178,178,179,180,180,179,180,181,180,181,181,183,182,180,177,180,181,181,181,180,180,181,181,182,181,182,180,179,180,182,182,180,182,180,179,179,180,181,181,182,182,181,180,181,181,180,179,177,178,180,180,179,179,179,180,181,181,180,180,182,182,181,181,180,181,180,181,182,181,183,183,182,182,180,179,179,181,180,180,182,181,182,181,181,181,181,181,181,180,181,183,180,182,182,181,181,182,182,182,179,175,178,178,181,181,181,183,182,182,181,179,178,179,179,180,181,181,180,181,180,180,180,180,179,177,180,180,181,177,177,180,180,179,180,179,179,180,180,181,180
Black stone arrows,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,2983,3133,3284,3284,3431,3502,3502,3502,3658,3658,3841,3841,4006,4006,3993,3993,3993,3797,3797,3797,3959,3959,4104,4104,4104,4104,4298,4298,4298,4298,4499,4499,4499,4499,4499,4553,4553,4553,4553,4553,4725,4725,4725,4725,4725,4725,4591,4591,4591,4591,4591,4591,4366,4366,4366,4366,4366,4366,4156,4156,4156,4156,4156,4156,4156,3972,3972,3972,3972,3972,3972,3972,3773,3773,3773,3773,3773,3773,3773,3594,3594,3594,3594,3594,3594,3594,3594,3415,3415,3415,3415,3415,3415,3415,3415,3245,3245,3245,3245,3245
Bronze arrow,19,20,20,20,20,20,20,20,21,21,22,22,23,23,23,23,23,23,23,24,23,21,20,20,20,20,20,20,20,19,19,18,18,18,17,17,17,17,17,17,18,18,19,19,19,19,20,20,21,21,22,22,22,22,22,21,21,21,21,22,23,23,24,24,24,24,23,24,24,22,22,20,19,18,18,19,20,21,21,23,24,24,24,24,24,23,23,23,23,23,23,23,23,22,22,22,21,21,22,22,22,21,22,22,23,23,24,24,24,24,24,24,24,24,24,24,23,23,24,25,25,24,25,25,25,24,22,22,23,24,24,25,27,27,26,27,27,28,28,28,28,27,27,27,28,28,28,27,27,27,26,26,26,26,26,27,27,28,28,28,28,28,28,27,26,25,25,25,25,26,27,26,26,26,26,27,27,27,27,27
Bronze fire arrows,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
Dark arrow,28,29,29,29,29,30,30,30,30,30,30,29,28,27,28,29,29,29,29,30,29,30,30,30,30,30,29,28,28,28,28,27,28,28,29,29,29,29,29,29,29,30,30,30,30,29,29,29,29,28,29,29,29,30,30,30,30,30,30,31,31,31,30,30,30,29,29,30,30,30,30,30,30,31,31,31,31,31,31,31,29,28,28,30,30,30,30,30,30,30,30,29,29,29,29,28,28,29,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,33,33,32,31,30,30,31,31,31,31,31,31,30,30,30,30,30,30,30,31,31,30,30,30,30,30,31,31,31,30,30,30,30,31,31,32,32,32,32,32,33,33,33,33,32,32,31,31,30,30,30,30,30,30,30,30,31,31,31,31,31
Dragon arrow,240,238,238,235,235,239,239,239,239,239,239,238,238,238,238,237,237,240,240,237,237,233,233,235,235,235,235,237,237,236,236,239,239,239,240,240,240,237,237,238,238,238,239,239,237,237,232,232,236,236,234,234,235,235,238,238,237,237,237,237,239,239,239,240,240,240,233,233,234,234,234,238,238,239,239,239,240,240,232,222,216,216,225,225,235,235,235,235,237,237,237,238,238,238,238,238,238,234,234,232,232,232,238,238,238,239,239,238,238,238,239,239,239,239,239,239,236,236,236,236,236,236,225,225,225,228,228,228,239,239,239,238,238,238,237,237,237,236,236,236,239,239,239,238,238,238,237,237,237,237,237,237,238,238,238,239,239,238,238,238,238,238,238,239,239,238,238,238,237,237,237,238,238,238,238,238,236,236,236,235
Dragon fire arrows,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
Guthix arrows,87,89,89,89,90,90,90,90,90,92,94,94,93,93,93,92,92,91,91,91,88,88,86,86,86,86,85,86,86,86,86,88,88,88,90,90,91,91,89,89,89,89,88,88,88,88,90,90,91,91,90,90,90,90,87,87,85,84,86,87,87,90,90,93,93,95,95,94,94,95,95,98,99,100,100,100,102,103,103,103,108,108,109,107,107,102,97,93,90,90,89,88,88,87,85,85,83,83,83,83,83,85,86,86,87,87,87,86,84,84,86,86,87,87,87,87,88,91,93,94,94,91,87,88,88,89,89,87,87,85,85,84,82,82,83,83,82,82,83,83,84,84,84,84,84,83,81,83,83,83,85,85,88,88,87,87,86,86,86,86,87,87,88,88,88,88,90,90,90,90,91,88,88,87,87,89,87,87,85,85
