Ale yeast,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Apple mush,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2417,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2634,2634,2634,2634,2634,2634
Asgarnian hops,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,695,695,695
Barley,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,233,233,233,233,233,233,233,233,233,233,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,249,249,249,249,249,249,249,249,249,249,249,249,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,262,262,262,262,262,262,262,262,262,262,262,262,262
Barley malt,409,409,414,414,414,414,414,414,414,414,414,422,422,422,422,422,422,422,423,423,423,423,423,423,434,434,434,434,434,444,444,444,444,448,448,448,452,452,452,452,466,466,466,466,466,473,473,473,473,473,473,464,464,464,464,464,464,459,459,459,459,459,459,457,457,457,457,457,457,466,466,466,466,466,466,473,473,473,473,473,473,473,473,477,477,477,477,477,477,466,466,466,466,466,466,466,476,476,476,476,476,476,475,475,475,475,475,475,475,475,486,486,486,486,486,486,486,486,497,497,497,497,497,497,497,497,502,502,502,502,502,502,502,502,490,490,490,490,490,490,490,490,490,487,487,487,487,487,487,487,482,482,482,482,482,482,482,482,482,482,473,473,473,473,473,473,473,473,454,454,454,454,454,454,454,454,435,435,435,435
Biscuit dough,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Bittercap mushroom,9129,9129,8996,8996,9016,9016,9017,9017,8627,8297,8297,8000,8000,7968,7968,7639,7639,7749,7749,7710,7710,7908,7908,8283,8466,8466,8094,8094,8317,8368,8368,8204,8204,8204,7996,7996,7996,7824,7824,7649,7649,7631,7631,7632,7683,7683,7861,7861,7791,7791,7610,7610,7687,7687,7425,7285,7285,7285,7217,7217,7422,7422,7308,7308,7263,7263,7526,7526,7414,7224,7224,7293,7293,7374,7374,7327,7185,7185,7185,6853,6853,6596,6596,6368,6368,6257,6257,6313,6313,6402,6402,6284,6284,6284,6300,6300,6142,6142,6191,6191,6489,6489,6506,6506,6506,6459,6459,6751,6751,6565,6565,6373,6373,6185,6185,6185,6131,6131,6171,6171,6171,6103,6103,6096,6096,6096,6052,6052,6052,5892,5892,5851,5851,5851,5725,5725,5671,5671,5638,5638,5638,5426,5426,5426,5578,5578,5622,5622,5579,5579,5495,5495,5495,5561,5561,5561,5600,5600,5600,5563,5563,5722,5722,5722,5864,5864,5864,5859,5859,5859,6065,6065,5941,5941,5875,5875,5799,5799,5799,5785
Bread dough,361,356,356,356,356,356,359,359,359,359,359,363,363,363,363,363,364,364,364,364,364,362,362,362,362,362,365,365,365,365,365,358,358,358,358,358,358,354,354,354,354,354,348,348,348,348,348,343,343,343,343,343,343,346,346,346,346,346,346,337,337,337,337,337,337,337,338,338,338,338,338,338,338,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,329,329,329,329,329,329,328,328,328,328,328,328,328,328,328,328,328,328,328,328,334,334,334,334,334,334,334,322,322,322,322,322,322,322,311,311,311,311,311,311,311,315,315,315,315,315,306,306,306,306,306,306,303,303,303,303,303,303,297,297,297,297,297,297,297,297,309,309,309,309,309,309,309,325,325,325,325,325,325,325,325,328,328,328,328,328,328,328,330,330,330,330
Bucket of milk,139,140,141,141,140,142,143,142,142,141,143,143,141,139,136,138,145,147,143,148,150,151,154,158,163,170,174,180,177,173,173,165,157,150,146,154,162,170,175,179,177,178,187,196,204,209,214,225,232,238,239,242,245,232,224,212,207,207,207,202,197,195,193,190,190,190,182,180,182,189,193,203,214,211,200,197,193,194,194,190,185,186,184,187,183,185,189,192,191,197,199,197,191,188,186,188,191,197,202,210,212,217,209,202,201,205,199,194,185,184,190,193,199,208,203,203,192,186,192,193,193,195,196,201,201,203,208,209,210,209,211,215,220,220,227,231,234,237,241,241,251,257,257,261,275,283,292,291,304,310,317,321,321,306,298,288,294,303,302,300,300,298,298,298,299,298,298,300,304,304,296,304,305,309,317,310,308,308,311,315
Chocolate bar,168,174,174,174,178,178,180,180,180,177,177,177,172,172,173,173,180,180,175,175,170,170,170,163,163,164,164,170,170,169,169,169,177,177,177,177,174,174,174,167,167,167,170,170,171,171,171,165,165,170,170,170,168,168,168,164,164,164,163,163,163,163,163,163,163,165,165,164,164,163,163,164,164,162,162,168,168,169,169,169,173,173,173,180,180,188,188,193,193,202,202,212,212,212,222,222,222,234,234,246,246,254,254,260,260,260,263,263,265,265,279,279,279,292,292,292,299,299,299,292,292,300,300,306,306,306,301,301,301,308,308,321,321,321,328,328,341,341,343,343,343,353,353,353,363,363,363,375,375,375,392,392,392,405,405,418,418,421,421,421,433,433,433,436,436,438,438,450,450,450,435,435,451,451,471,471,494,494,494,501
