Abyssal lurker pouch,6228,6097,6097,6097,6097,5914,5914,5914,5914,5825,5825,5825,5825,5945,5945,5945,5945,5998,5998,5998,5998,5747,5747,5747,5599,5599,5599,5599,5414,5414,5414,5423,5423,5423,5423,5423,5407,5407,5407,5407,5407,5316,5316,5316,5316,5203,5203,5203,5203,5182,5182,5182,5182,5216,5216,5216,5216,5425,5425,5425,5425,5573,5573,5573,5573,5594,5594,5594,5594,5556,5556,5556,5556,5685,5685,5685,5685,5800,5800,5571,5361,5361,5361,5129,5129,5129,5129,5010,5010,5010,5010,5003,5003,5003,5003,4899,4899,4899,4899,4920,4920,4920,4920,5025,5025,5025,5025,5030,5030,5030,5030,4952,4952,4952,4952,4952,4981,4981,4981,4981,4981,5142,5142,5142,5142,5142,5272,5272,5272,5272,5272,5272,5427,5427,5427,5427,5427,5427,5640,5640,5640,5640,5640,5640,5885,5885,5885,5885,5885,5913,5913,5913,5913,5913,5913,6196,6196,6196,6196,5984,5984,5984,5984,5984,5706,5706,5706,5706,5706,5706,5572,5572,5572,5572,5572,5797,5797,5797,5797,5797
Abyssal parasite pouch,3576,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3614,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3761,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718
Abyssal titan pouch,6903,6860,6860,6860,6904,6904,6904,6889,6889,6889,6889,6859,6859,6859,6650,6650,6650,6630,6630,6630,6628,6628,6628,6628,6532,6532,6532,6342,6342,6342,6342,6439,6439,6439,6439,6439,6346,6346,6346,6346,6416,6416,6416,6416,6576,6576,6576,6576,6624,6624,6624,6624,6769,6769,6769,7065,7065,7065,7065,7393,7393,7393,7393,7756,7756,7756,7756,7964,7964,7964,7964,8323,8323,8323,8641,8641,8641,8594,8594,8187,7777,7777,7523,7523,7523,7146,7146,7146,6986,6986,6986,7002,7002,7002,6766,6766,6766,6544,6544,6547,6547,6547,6666,6666,6666,6666,6718,6718,6718,6595,6595,6595,6717,6717,6717,6551,6551,6551,6548,6548,6548,6420,6420,6420,6420,6492,6492,6492,6492,6551,6551,6551,6605,6605,6605,6605,6674,6674,6674,6674,7005,7005,7005,7024,7024,7024,7024,6935,6935,6935,6869,6869,6869,6869,6869,6877,6877,6877,6644,6644,6644,6644,6678,6678,6678,6571,6571,6571,6571,6493,6493,6493,6444,6444,6444,6444,6563,6563,6563,6563
Adamant minotaur pouch,2755,2765,2765,2765,2765,2765,2765,2765,2765,2765,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804,2770,2770,2770,2770,2770,2770,2770,2770,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2797,2797,2797,2797,2797,2797,2797,2797,2797,2797,2854,2854,2854,2854,2854,2854,2854,2854,2854,2854,2854,2909,2909,2909,2909,2909,2909,2909,2909,2863,2863,2738,2738,2711,2711,2711,2711,2711,2711,2711,2711,2711,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2741,2741,2741,2741,2741,2741,2741,2741,2741,2741,2741,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770
Albino rat pouch,2262,2262,2262,2262,2262,2262,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2339,2339,2339,2339,2339,2339,2339,2339,2339,2304,2304,2304,2304,2304,2304,2304,2304,2294,2294,2294,2294,2294,2294,2294,2294,2294,2343,2343,2343,2343,2343,2343,2343,2343,2343,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413
Arctic bear pouch,2082,2084,2084,2084,2084,2164,2164,2164,2164,2211,2211,2211,2211,2211,2254,2254,2254,2276,2276,2276,2276,2321,2321,2321,2321,2304,2304,2304,2304,2303,2303,2303,2303,2303,2302,2302,2302,2302,2302,2299,2299,2299,2299,2335,2335,2335,2335,2373,2373,2373,2373,2396,2396,2396,2396,2449,2449,2449,2449,2449,2496,2496,2496,2496,2496,2470,2470,2470,2470,2458,2458,2458,2458,2442,2442,2442,2442,2441,2441,2318,2202,2202,2202,2106,2106,2106,2106,2093,2093,2093,2093,2093,2091,2091,2091,2091,2102,2102,2102,2102,2102,2173,2173,2173,2173,2173,2196,2196,2196,2196,2196,2282,2282,2282,2282,2282,2282,2175,2175,2175,2175,2175,2118,2118,2118,2118,2118,2118,2118,2072,2072,2072,2072,2072,2072,2023,2023,2023,2023,2023,2023,2061,2061,2061,2061,2061,2061,2086,2086,2086,2086,2086,2138,2138,2242,2354,2470,2470,2470,2592,2592,2592,2592,2722,2722,2722,2853,2853,2853,2853,2859,2859,2859,2859,2804,2804,2804,2804,2833,2833
Barker toad pouch,1736,1736,1804,1804,1804,1804,1804,1804,1860,1860,1860,1860,1860,1860,1907,1907,1907,1907,1907,1907,1905,1905,1905,1905,1905,1905,1843,1843,1843,1843,1843,1843,1827,1827,1827,1827,1827,1827,1827,1901,1901,1901,1901,1901,1901,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,2017,2017,2017,2017,2017,2017,2017,2017,2056,2056,2056,2056,2056,2056,2056,2110,2110,2110,2110,2058,1971,1872,1819,1819,1757,1757,1757,1768,1768,1768,1768,1768,1812,1812,1812,1812,1812,1812,1812,1881,1881,1881,1881,1881,1881,1881,1881,1941,1941,1941,1941,1941,1941,1941,1990,1990,1990,1990,1990,1990,1990,1990,1990,2013,2013,2013,2013,2013,2013,2013,2013,2013,1951,1951,1951,1951,1951,1951,1951,1951,2025,2025,2025,2025,2025,2025,2025,2025,2025,2045,2045,2045,2045,2045,2045,2045,2045,1975,1975,1975,1975,1975,1894,1894,1894,1894,1894,1894,1894,1830,1830,1830,1830,1830,1830,1830,1830,1782,1782,1782,1782
Beaver pouch,1417,1395,1395,1395,1414,1414,1414,1439,1439,1439,1435,1435,1435,1435,1449,1449,1449,1435,1435,1435,1435,1462,1462,1462,1462,1509,1509,1509,1534,1534,1534,1554,1554,1554,1554,1554,1574,1574,1574,1574,1565,1565,1565,1565,1552,1552,1552,1552,1520,1520,1520,1520,1527,1527,1527,1527,1569,1569,1569,1610,1610,1610,1610,1632,1632,1632,1632,1613,1613,1613,1613,1576,1576,1576,1572,1572,1572,1537,1537,1478,1427,1427,1427,1408,1408,1408,1408,1461,1461,1461,1448,1448,1448,1448,1445,1445,1445,1445,1421,1421,1421,1421,1410,1410,1410,1410,1373,1373,1373,1373,1386,1386,1386,1386,1419,1419,1419,1419,1419,1448,1448,1448,1448,1452,1452,1452,1452,1452,1460,1460,1460,1460,1453,1453,1453,1453,1453,1434,1434,1434,1434,1425,1425,1425,1425,1425,1445,1445,1445,1445,1450,1450,1450,1450,1450,1446,1446,1446,1402,1402,1402,1402,1402,1451,1451,1451,1451,1492,1492,1492,1492,1492,1500,1500,1500,1500,1479,1479,1479,1479
Bloated leech pouch,2204,2204,2204,2204,2204,2215,2215,2215,2215,2215,2215,2215,2214,2214,2214,2214,2214,2214,2214,2214,2209,2209,2209,2209,2209,2209,2209,2209,2209,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2214,2215,2215,2215,2215,2215,2215,2215,2215,2215,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2214,2214,2214,2214,2214,2214,2214,2214,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2196,2196,2196,2196,2196,2196,2196,2196,2196,2196,2196,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188,2189,2189,2189,2189,2189,2189,2189,2189,2189,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2203,2203,2203,2203
Blood nihil pouch,84568,84568,84412,84412,84412,84412,85788,85788,85611,85611,87015,87015,87015,84988,84988,83748,83748,83748,86331,86331,90648,90648,90648,90648,94492,94492,94492,97877,97877,97877,97481,97481,97481,96474,96474,96474,95599,95599,95599,97591,97591,97591,102471,102471,107595,107595,112935,112935,118265,118265,118265,121118,121118,126161,126161,131802,131802,131802,134688,134688,140493,140493,140493,146582,146582,152933,152933,158007,158007,154731,154731,154731,147437,147437,142352,142352,139657,139657,139657,136648,136648,138219,138219,138219,133708,133708,127022,127022,127022,121545,121545,115470,115470,115470,112015,112015,112015,116672,116672,119041,119041,119041,122341,122341,122341,119569,119569,114736,114736,114736,116724,116724,116724,118811,118811,118811,123396,123396,126893,126893,126893,126398,126398,124372,124372,124372,120682,120682,120682,120311,120311,120311,119223,119223,119223,118288,118288,118288,112767,112767,112767,108626,108626,108626,107429,107429,107429,111304,111304,111304,113049,113049,113049,111968,111968,111968,113689,113689,113689,112716,112716,112716,115548,115548,119363,119363,119363,121075,121075,121075,119153,119153,119153,118218,118218,118218,115520,115520,115520,112587
