Cadava berries,757,757,757,757,769,769,769,769,769,769,769,769,769,759,759,759,759,759,759,759,759,759,731,731,731,731,731,731,731,731,714,714,714,714,714,714,714,714,714,716,716,716,716,716,716,716,716,716,742,742,742,742,742,742,742,742,742,742,765,765,765,765,765,765,765,765,765,765,771,771,771,771,771,771,771,771,765,765,765,765,765,765,765,765,765,765,773,773,773,773,773,773,773,773,753,753,753,753,753,753,753,753,753,761,761,761,761,761,761,761,761,761,761,772,772,772,772,772,772,772,772,772,772,772,764,764,764,764,764,764,764,791,791,791,791,791,800,800,800,800,800,800,800,813,813,813,813,813,813,813,813,813,813,818,818,818,818,818,818,818,818,818,818,818,818,817,817,817,817,817,817,817,817,817,817,836,836,836,836,836
Coconut,3974,4045,4033,4100,4125,4086,4115,4153,4179,4314,4315,4302,4377,4337,4296,4287,4402,4392,4336,4306,4305,4438,4430,4372,4257,4327,4335,4377,4401,4337,4234,4245,4258,4175,4154,4126,4040,4088,4253,4259,4347,4345,4260,4203,4191,4184,4284,4369,4332,4264,4238,4305,4268,4249,4169,4199,4242,4229,4223,4230,4239,4242,4250,4236,4212,4172,4145,4238,4304,4266,4218,4146,4082,4036,4069,4084,4054,4006,3965,3911,3882,3984,4133,4108,4125,4235,4285,4245,4186,4134,4219,4317,4347,4307,4360,4431,4419,4431,4476,4576,4416,4278,4139,4087,4159,4133,4108,4128,4105,4118,4129,4094,4149,4178,4127,4082,4025,4065,4101,4097,3989,3976,4022,4075,4035,4039,4078,4045,4008,4028,4011,3957,3931,3931,3955,3945,3966,3952,3892,3826,3825,3905,3905,3978,4012,3927,3963,3905,3904,3883,3988,4094,4111,4081,3990,3917,3850,3878,3826,3798,3780,3699,3674,3698,3747,3842,3876,3853,3884,3892,3805,3763,3744,3747,3715,3751,3748,3770,3769,3839
Coconut shell,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,56,56,56,56,56,56,56,56,56,56,56,56,56,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56
Evil turnip,4091,4091,4091,4091,4091,4091,4091,4091,4091,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,4005,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731,3731
Jute fibre,620,620,620,649,649,649,649,649,649,649,649,649,649,649,649,668,668,668,668,668,668,668,668,668,668,668,657,657,657,657,657,657,657,657,657,657,651,651,651,651,651,651,651,651,651,644,644,644,644,644,644,644,644,644,655,655,655,655,655,655,655,655,655,655,653,653,653,653,653,653,653,653,653,668,668,668,668,668,668,668,668,668,668,692,692,692,692,692,692,692,692,692,692,705,705,705,705,705,705,705,705,705,705,700,700,700,700,700,700,700,700,700,700,700,724,724,724,724,724,724,724,724,724,724,724,724,724,733,733,733,733,733,733,733,733,733,733,733,733,733,740,740,740,740,740,740,740,740,740,740,740,740,740,752,752,752,752,752,752,752,752,752,752,752,752,752,752,735,735,735,735,735,735,735,735,735,735,735,735,735
Leaves,862,862,862,862,862,862,862,862,862,862,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,882,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,867,867,867,867,867,867,867,867,867,867,867,867,867,867,867
Maple roots,263,263,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,267,267
Marigolds,12187,11780,11454,11454,11234,11075,10884,10718,10542,10303,10239,10239,10123,9891,9891,9541,9541,9372,9372,9142,9060,9060,8910,8844,8734,8734,8651,8476,8476,8361,8361,8271,8271,8047,7829,7829,7659,7659,7601,7601,7505,7505,7399,7399,7275,7275,7023,7023,6882,6882,6864,6864,6995,6995,7119,7119,7401,7401,7607,7822,7822,8121,8121,8506,8564,8142,7919,7523,7282,6917,6764,6584,6817,6894,7136,7261,7301,7352,7352,7524,7882,7882,8277,7992,7838,7910,7524,7358,7138,6852,6531,6490,6490,6624,6849,6849,6724,6864,6520,6194,5988,5726,5795,5795,6063,6293,6404,6397,6269,6170,6094,5968,5968,6036,5881,5667,5383,5116,5050,5084,5084,5091,5158,5271,5271,5519,5454,5281,5281,5403,5417,5201,5152,5152,5091,5091,5162,5162,5036,5036,4859,5009,5009,5140,5140,5212,5212,5254,5254,5197,5197,5294,5294,5294,5348,5348,5458,5458,5716,5618,5402,5167,4998,4817,4632,4632,4506,4604,4604,4625,4680,4680,4753,4753,4761,4761,4801,4801,4954,4954
Nasturtiums,481,481,481,481,481,481,481,481,481,503,503,503,503,503,503,503,503,503,503,503,503,503,523,523,523,523,523,523,523,523,523,523,545,545,545,545,545,545,545,545,545,545,545,545,545,545,561,561,561,561,561,561,561,561,561,561,561,561,561,586,586,586,586,586,586,586,586,586,586,586,586,609,609,609,609,609,609,609,609,609,609,609,609,637,637,637,637,637,637,637,637,637,637,637,637,637,666,666,666,666,666,666,666,666,666,666,666,666,666,666,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,816,816,816,816,816,816
Oak roots,322,322,322,322,322,322,322,322,322,322,322,322,322,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
