Admiral pie,2060,2163,2163,2163,2272,2272,2272,2272,2376,2376,2376,2376,2376,2439,2439,2439,2439,2504,2504,2504,2504,2511,2511,2511,2444,2444,2444,2466,2466,2466,2466,2417,2417,2417,2417,2417,2417,2310,2310,2310,2310,2284,2284,2284,2284,2271,2271,2271,2271,2232,2232,2232,2232,2164,2164,2164,2164,2105,2105,2105,2105,2105,2105,2105,2105,2163,2163,2163,2163,2182,2182,2182,2182,2286,2286,2286,2286,2393,2393,2393,2512,2512,2512,2512,2636,2636,2636,2695,2695,2695,2695,2762,2762,2762,2762,2887,2887,2887,2887,2988,2988,2988,2988,3128,3128,3128,3128,3269,3269,3269,3269,3239,3239,3239,3239,3117,3117,3117,3117,3057,3057,3057,3057,3075,3075,3075,3075,3075,3075,3046,3046,3046,3046,3046,3054,3054,3054,3054,3054,3098,3098,3098,3098,3098,2984,2984,2984,2984,3120,3120,3120,3120,3120,3123,3123,3123,3123,3123,3039,3039,3039,3039,3039,3045,3045,3045,3045,3166,3166,3166,3166,3166,3299,3299,3299,3299,3464,3464,3464,3464
Anchovies,152,152,152,158,158,158,151,151,151,151,147,147,147,147,140,140,140,135,135,135,135,130,130,130,129,129,129,129,125,125,125,120,120,120,120,120,115,115,115,115,111,111,111,111,108,108,108,108,104,104,104,104,104,100,100,100,100,100,97,97,97,97,97,93,93,93,93,93,95,95,95,95,95,94,94,94,94,94,97,97,97,97,97,100,100,100,100,100,101,101,101,101,101,98,98,98,98,98,99,99,99,99,99,96,96,96,96,96,94,94,94,94,94,94,94,94,94,94,94,98,98,98,98,98,98,100,100,100,100,100,100,103,103,103,103,103,103,106,106,106,106,106,106,109,109,109,109,109,109,108,108,108,108,108,108,108,108,108,108,108,108,107,107,107,107,107,107,102,102,102,102,102,102,106,106,106,106,106,106,107
Anchovy pizza,531,531,545,545,545,545,545,545,545,545,545,545,555,555,555,555,555,555,555,555,556,556,556,556,556,556,556,556,556,554,554,554,554,554,554,554,554,554,554,544,544,544,544,544,544,544,544,544,542,542,542,542,542,542,542,542,542,542,542,546,546,546,546,546,546,546,546,546,546,546,546,570,570,570,570,570,570,570,570,570,570,570,570,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,599,599,599,599,599,599,599,599,599,599,599,599,599,599,598,598,598,598,598,598,598,598,598,598,598,598,598,598,598,598,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,567,567,567,567,567,567,567,567,567,567,567,567,567,567,554,554,554,554,554,554,554,554,554,554,554,554,554
Apple pie,373,373,381,381,381,381,381,381,381,381,381,364,364,364,364,364,364,364,364,364,372,372,372,372,372,372,372,370,370,370,370,370,370,370,370,370,370,362,362,362,362,362,362,362,362,362,362,349,349,349,349,349,349,349,349,349,341,341,341,341,341,341,341,341,341,341,341,337,337,337,337,337,337,337,337,337,337,337,337,332,332,332,332,332,332,332,332,332,332,332,332,331,331,331,331,331,331,331,331,331,331,331,320,320,320,320,320,320,320,320,320,320,320,320,309,309,309,309,309,309,309,309,309,309,309,309,306,306,306,306,301,301,297,297,297,297,297,288,288,288,288,288,288,280,280,280,280,280,280,280,280,280,280,280,280,277,277,277,277,277,277,277,277,277,277,277,277,276,276,276,276,276,276,276,276,276,276,276,276,276
Apples (5),3757,3757,3757,3757,3757,3761,3761,3761,3761,3761,3761,3761,3766,3766,3766,3766,3766,3766,3766,3723,3723,3723,3723,3723,3723,3772,3772,3772,3772,3772,3772,3786,3786,3786,3786,3786,3786,3786,3786,3811,3811,3811,3811,3811,3811,3811,3890,3890,3890,3890,3890,3890,3890,3885,3885,3885,3885,3885,3885,3885,3875,3875,3875,3875,3875,3875,3875,3887,3887,3887,3887,3887,3887,3887,3890,3890,3890,3890,3890,3890,3941,3941,3941,3941,3941,3941,3941,3941,3946,3946,3946,3946,3946,3946,3946,3817,3817,3817,3817,3817,3817,3817,3736,3736,3736,3736,3736,3736,3736,3736,3736,3693,3693,3693,3693,3693,3693,3693,3693,3693,3775,3775,3775,3775,3775,3775,3775,3775,3775,3759,3759,3759,3759,3759,3759,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3801,3801,3801,3801,3801,3801,3801,3801,3801,3801,3801,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3922,3922,3922,3922,3922,3922,3922,3922,3922,3922,3922,3926,3926,3926
Asgarnian ale,656,656,656,656,656,656,627,627,627,627,627,627,627,627,627,627,627,605,605,605,605,605,605,605,605,605,605,587,587,587,587,587,587,587,587,587,584,584,584,584,584,584,584,584,584,590,590,590,590,590,590,590,590,590,590,585,585,585,585,585,585,585,585,585,585,585,612,612,612,612,612,612,612,612,612,612,612,633,633,633,633,633,633,633,633,633,633,633,633,633,633,656,656,656,656,656,656,656,656,656,656,656,656,656,658,658,658,658,658,658,658,658,658,658,658,658,658,658,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,722,722,722,722,722,722,722,722,722,722,722,722,722
Asgarnian ale (1),3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704
Asgarnian ale (2),6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238,6238
Asgarnian ale (3),9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259
Asgarnian ale (4),11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017,11017
