Anchovy oil,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601
Anchovy paste,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Bird snare,31,31,32,32,32,32,32,32,32,32,31,31,31,31,30,30,30,30,29,29,29,29,27,27,27,25,25,23,23,23,23,21,21,21,21,21,21,21,21,21,21,21,21,21,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,22,22,22,22,22,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,20,20,20,20,20,20,20,20,20,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Black bead,468,468,468,455,455,455,455,444,444,444,444,446,446,446,446,439,439,439,439,427,427,427,427,416,416,416,413,413,413,419,419,419,419,412,412,412,412,398,398,398,398,394,394,394,408,408,408,408,423,423,423,423,433,433,433,433,450,450,450,450,471,471,471,471,471,494,494,494,494,503,503,503,503,529,529,529,529,547,547,547,547,544,544,544,544,544,544,544,544,544,541,541,541,541,560,560,560,560,560,565,565,565,565,565,576,576,576,576,576,585,585,585,585,594,594,594,594,598,598,598,598,599,599,599,599,593,593,593,593,601,601,601,601,613,613,613,613,618,618,618,618,606,606,606,606,610,610,610,618,618,618,618,618,616,616,616,616,635,635,635,635,636,636,636,636,645,645,645,645,645,650,650,650,650,671,671,671,671,676,676
Box trap,954,950,950,948,948,925,925,914,914,914,904,904,904,902,902,899,899,911,911,911,884,884,884,885,885,840,840,831,831,837,837,819,819,819,792,792,792,786,786,779,779,779,773,773,791,791,810,810,834,834,834,848,848,875,875,897,897,897,906,906,909,909,909,935,935,935,961,961,985,985,1027,1027,1038,1038,1059,1059,1021,1021,969,933,940,940,908,908,908,890,890,890,850,850,833,833,833,795,795,755,755,755,767,767,767,772,772,772,744,744,744,717,717,717,708,708,708,710,710,710,692,692,692,671,671,671,654,654,654,654,642,642,642,637,637,637,623,623,623,623,613,613,613,597,597,597,579,579,579,567,567,567,562,562,562,542,542,515,515,515,516,516,516,516,516,516,535,535,520,520,520,527,527,527,544,544,544,542,542,542,523,523,523,519
Butterfly jar,204,204,204,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,194,194,194,194,194,194,194,194,194,194,194,194,187,187,187,187,187,187,187,187,187,187,187,187,187,179,179,179,179,179,179,179,179,179,179,179,172,172,172,172,172,172,172,172,172,172,172,172,169,169,169,169,169,169,169,169,169,169,169,169,169,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Butterfly net,94,94,94,94,94,94,94,97,97,97,97,97,97,97,97,97,97,101,101,101,101,101,101,101,101,101,103,103,103,103,103,103,103,103,103,103,103,104,104,104,104,104,104,104,104,104,108,108,108,108,108,108,108,108,108,109,109,109,109,109,109,109,109,109,109,113,113,113,113,113,113,113,113,113,113,116,116,116,116,116,116,116,116,116,116,114,114,114,114,114,114,114,114,114,114,114,113,113,113,113,113,113,113,113,113,113,116,116,116,116,116,116,116,116,116,116,116,116,122,122,122,122,122,122,122,122,122,122,122,128,128,128,128,128,128,128,128,128,128,128,133,133,133,133,133,133,133,133,133,133,133,134,134,134,134,134,134,134,134,134,134,134,134,138,138,138,138,138,138,138,138,138,138,138,138,142,142,142,142,142
Desert camo legs,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118
Desert camo top,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086
Graahk headdress,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2857,2857,2857,2857,2857,2857,2857,2857,2857,2857,2857,2857,2857,2857,2857,2857,2857
