Baby impling jar,761,761,761,761,761,761,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803
Black salamander,8746,8722,8722,8722,8369,8369,8041,8041,8069,8069,7967,7967,7967,8059,8059,8397,8397,8397,8366,8366,8502,8502,8502,8493,8493,8496,8496,8720,8720,9007,9007,9060,9060,9060,9056,9056,9056,9384,9384,9724,9724,9724,9815,9815,10147,10147,10147,10403,10403,10709,10709,10709,10898,10898,10898,11005,11005,11005,10746,10746,10306,10306,10306,9790,9790,9393,9393,9105,9105,9028,9028,9028,9007,9007,8931,8931,8834,8834,8834,8435,8652,8652,8412,8412,8196,8196,8222,8222,8222,8046,8046,8194,8194,8194,8325,8325,8325,8420,8420,8333,8333,8333,8132,8132,8132,8132,8075,8075,8332,8332,8332,8336,8336,8336,8138,8138,8138,8034,8034,8034,8034,8316,8316,8316,8316,8334,8334,8334,8461,8461,8461,8823,8823,8823,9136,9136,9136,9414,9414,9414,9157,9157,9157,8870,8870,8870,8940,8940,8940,9115,9115,9115,9115,9103,9103,9103,9204,9204,9204,9209,9209,9209,9209,9438,9438,9438,9442,9442,9442,9442,9607,9607,9607,9544,9544,9544,9799,9799,9799,9799
Black warlock,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,286
Blue feather,62,59,59,59,59,59,57,57,57,57,57,55,55,55,55,55,53,53,53,53,52,52,52,52,50,50,50,50,50,48,48,48,48,48,48,48,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,47,47,47,47,47,47,46,46,46,46,46,46,48,48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,52,52,52,52,52,52,53,53
Common kebbit fur,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Crystal impling jar,839117,839117,840154,840154,840154,840154,840154,840154,840154,840154,840154,840154,840154,840154,840154,849606,849606,849606,849606,849606,849606,849606,849606,849606,849606,849606,849606,821546,821546,821546,821546,821546,821546,821546,821546,821546,821546,821546,821546,801531,801531,801531,801531,801531,801531,801531,801531,801531,801531,801531,801531,793398,793398,793398,793398,793398,793398,793398,793398,793398,793398,793398,793398,794898,794898,794898,794898,794898,794898,794898,794898,794898,794898,794898,794898,794898,791314,791314,791314,791314,791314,791314,791314,791314,791314,791314,791314,791314,791314,788335,788335,788335,788335,788335,788335,788335,788335,788335,788335,788335,788335,788335,779856,779856,779856,779856,779856,779856,779856,779856,779856,779856,779856,779856,779856,779856,769495,769495,769495,769495,769495,769495,769495,769495,769495,769495,769495,769495,769495,769495,769495,764616,764616,764616,764616,764616,764616,764616,764616,764616,764616,764616,764616,764616,764616,762752,762752,762752,762752,762752,762752,762752,762752,762752,762752,762752,762752,762752,762752,762752,748603,748603,748603,748603,748603,748603,748603,748603,748603,748603,748603,748603,748603,748603,748603,748603,751212,751212,751212,751212
Dark kebbit fur,84,84,84,84,84,84,84,84,84,84,84,84,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,70,70,70
Dashing kebbit fur,99,99,99,99,99,99,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,95,95,95,95,95,95,95,95,95,95,95,97,97,97,97,97,97,97,97,97,97,93,93,93,93,93,93,93,93,93,93,93,93,93,96,96,96,96,96,96,96,96,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Desert devil fur,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Diseased kebbit fur,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11
