Ahrim's hood,409864,409864,409864,409864,424232,424232,424232,424232,424232,424232,424232,440995,440995,440995,440995,440995,440995,440995,440995,460766,460766,460766,460766,460766,460766,460766,460766,478762,478762,478762,478762,478762,478762,478762,478762,478762,481210,481210,481210,481210,481210,481210,481210,481210,478025,478025,478025,478025,478025,478025,478025,478025,493079,493079,493079,493079,493079,493079,493079,495759,495759,495759,495759,495759,495759,495759,495759,495759,495759,493445,493445,493445,493445,493445,493445,493445,493445,493445,493445,502699,502699,502699,502699,502699,502699,502699,513841,513841,513841,513841,513841,513841,513841,513841,513841,528662,528662,528662,528662,528662,528662,528662,528662,528662,551263,551263,551263,551263,551263,551263,551263,551263,551263,546370,546370,546370,546370,546370,546370,546370,546370,546370,546370,546370,544664,544664,544664,544664,544664,544664,544664,544664,544664,544664,544664,546215,546215,546215,546215,546215,546215,546215,546215,546215,546215,546215,546215,546215,543698,543698,543698,543698,543698,543698,543698,543698,543698,543698,543698,543698,543698,541385,541385,541385,541385,541385,541385,541385,541385,541385,541385,541385,541385,541385,546008,546008,546008,546008,546008,546008
Ahrim's hood (broken),68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,68496,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402,71402
Ahrim's robe skirt,743803,743803,752316,752316,752316,752316,752316,752316,752316,771722,771722,771722,771722,771722,771722,771722,794883,794883,794883,794883,794883,794883,794883,794883,823269,823269,823269,823269,823269,823269,823269,854874,854874,854874,854874,854874,854874,854874,854874,854874,830136,830136,830136,830136,830136,830136,830136,793661,793661,793661,793661,793661,793661,793661,769824,769824,769824,769824,769824,769824,769824,769824,763987,763987,763987,763987,763987,763987,763987,763987,763987,778180,778180,778180,778180,778180,778180,778180,778180,778180,793376,793376,793376,793376,793376,793376,793376,793376,814455,814455,814455,814455,814455,814455,814455,814455,840698,840698,840698,840698,840698,840698,840698,840698,869128,869128,869128,869128,869128,869128,869128,869128,877844,877844,877844,877844,877844,877844,877844,877844,877844,880714,880714,880714,880714,880714,880714,880714,880714,880714,880714,893832,893832,893832,893832,893832,893832,893832,893832,893832,893832,885835,885835,885835,885835,885835,885835,885835,885835,885835,885835,885835,885835,881603,881603,881603,881603,881603,881603,881603,881603,881603,881603,881603,885161,885161,885161,885161,885161,885161,885161,885161,885161,885161,885161,901677,901677,901677,901677,901677
Ahrim's robe skirt (broken),581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220,581220
Ahrim's robe top,1456250,1456250,1456250,1456250,1456250,1522157,1522157,1522157,1522157,1522157,1522157,1593282,1593282,1593282,1593282,1593282,1593282,1593282,1661653,1661653,1661653,1661653,1661653,1661653,1661653,1729729,1729729,1729729,1729729,1729729,1729729,1788821,1788821,1788821,1788821,1788821,1788821,1788821,1788821,1788821,1707336,1707336,1707336,1707336,1707336,1707336,1707336,1640853,1640853,1640853,1640853,1640853,1640853,1640853,1654957,1654957,1654957,1654957,1654957,1654957,1654957,1654957,1657522,1657522,1657522,1657522,1657522,1657522,1657522,1657522,1657522,1611432,1611432,1611432,1611432,1611432,1611432,1611432,1611432,1611432,1622146,1622146,1622146,1622146,1622146,1622146,1622146,1622146,1663802,1663802,1663802,1663802,1663802,1663802,1663802,1663802,1687386,1687386,1687386,1687386,1687386,1687386,1687386,1687386,1687386,1752808,1752808,1752808,1752808,1752808,1752808,1752808,1752808,1740150,1740150,1740150,1740150,1740150,1740150,1740150,1740150,1740150,1740150,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1738551,1745176,1745176,1745176,1745176,1745176,1745176,1745176,1745176,1745176,1745176,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1753664,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1728879,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1731301,1708845,1708845
Ahrim's robe top (broken),1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1818580,1836935,1836935
Anima Core body of Seren,19186661,19186661,19248828,19248828,19248828,19248828,19248828,19248828,19226602,19226602,19226602,19226602,19226602,19359570,19359570,19359570,19359570,19359570,19359570,19259201,19259201,19259201,19259201,19259201,19463804,19463804,19463804,19463804,19463804,19678713,19678713,19678713,19678713,19678713,19769641,19769641,19769641,19769641,19769641,19769641,19266271,19266271,19266271,19266271,19266271,18993499,18993499,18993499,18993499,18993499,18993499,18902083,18902083,18902083,18902083,18902083,18902083,18670081,18670081,18670081,18670081,18670081,18670081,18688784,18688784,18688784,18688784,18688784,18688784,18688784,18870154,18870154,18870154,18870154,18870154,18870154,19070921,19070921,19070921,19070921,19070921,19070921,19066144,19066144,19066144,19066144,19066144,19485389,19485389,19485389,19485389,19485389,19485389,19917860,19917860,19917860,19917860,19917860,19917860,20242743,20242743,20242743,20242743,20242743,20242743,20242743,20187243,20187243,20187243,20187243,20187243,20187243,20187243,19937962,19937962,19937962,19937962,19937962,19937962,19937962,19937962,19563709,19563709,19563709,19563709,19563709,19563709,19563709,18954226,18954226,18954226,18954226,18954226,18954226,18490264,18490264,18490264,18490264,18490264,18490264,18490264,18412693,18412693,18412693,18412693,18412693,18412693,18412693,18598301,18598301,18598301,18598301,18598301,18598301,18598301,18968359,18968359,18968359,18968359,18968359,18968359,18968359,19385697,19385697,19385697,19385697,19385697,19385697,19385697,19607414,19607414,19607414,19607414,19607414,19607414,19801237,19801237,19801237,19801237,19801237
Anima Core body of Sliske,7926254,7926254,7926254,7926254,7565853,7565853,7565853,7565853,7565853,7565853,7565853,7676106,7676106,7676106,7676106,7676106,7676106,7676106,7676106,7724527,7724527,7724527,7724527,7724527,7724527,7918164,7918164,7918164,7918164,7918164,7918164,8202431,8202431,8202431,8202431,8202431,8202431,8202431,8202431,7805449,7805449,7805449,7805449,7805449,7805449,7805449,7415176,7415176,7415176,7415176,7415176,7415176,7074329,7074329,7074329,7074329,7074329,7074329,7074329,6758799,6758799,6758799,6758799,6758799,6758799,6758799,6758799,6642368,6642368,6642368,6642368,6642368,6642368,6642368,6642368,6642368,6666319,6666319,6666319,6666319,6666319,6666319,6666319,6666319,6666319,6728650,6728650,6728650,6728650,6728650,6728650,6728650,6728650,6903160,6903160,6903160,6903160,6903160,6903160,6903160,6903160,7066116,7066116,7066116,7066116,7066116,7066116,7066116,7066116,7066116,7212315,7212315,7212315,7212315,7212315,7212315,7212315,7212315,7212315,7503138,7503138,7503138,7503138,7503138,7503138,7503138,7503138,7503138,7711560,7711560,7711560,7711560,7711560,7711560,7711560,7711560,7711560,7780156,7780156,7780156,7780156,7780156,7780156,7780156,7780156,7780156,7780156,8052329,8052329,8052329,8052329,8052329,8052329,8052329,8052329,8052329,8312556,8312556,8312556,8312556,8312556,8312556,8312556,8312556,8312556,8312556,8653002,8653002,8653002,8653002,8653002,8653002,8653002,9033273,9033273,9033273,9033273,9033273,9033273,9033273
Anima Core helm of Seren,19279829,19279829,19279829,19279829,19279829,19279829,19279829,19279829,19279829,19279829,19402119,19402119,19402119,19402119,19402119,19402119,19402119,19402119,19402119,19048433,19048433,19048433,19048433,19048433,19048433,19048433,19048433,19345339,19345339,19345339,19345339,19345339,19345339,19345339,19345339,19345339,19463772,19463772,19463772,19463772,19463772,19463772,19463772,19463772,19463772,18952709,18952709,18952709,18952709,18952709,18952709,18952709,18952709,18952709,19054873,19054873,19054873,19054873,19054873,19054873,19054873,19054873,19054873,19054873,19054873,18826169,18826169,18826169,18826169,18826169,18826169,18826169,18826169,18826169,18826169,18826169,18930091,18930091,18930091,18930091,18930091,18930091,18930091,18930091,18930091,19152432,19152432,19152432,19152432,19152432,19152432,19152432,19152432,19152432,19152432,19661510,19661510,19661510,19661510,19661510,19661510,19661510,19661510,19661510,19661510,19661510,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20123061,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,20210049,19395158,19395158,19395158,19395158,19395158,19395158,19395158,19395158,19395158,19395158,19395158,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18786806,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,18835459,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19378074,19610280,19610280,19610280,19610280,19610280
Anima Core helm of Sliske,8399252,8399252,7993963,7993963,7993963,7993963,7993963,7993963,7993963,7993963,7993963,7993963,7993963,7993963,7993963,7937137,7937137,7937137,7937137,7937137,7937137,7937137,7937137,7937137,7937137,7937137,8207045,8207045,8207045,8207045,8207045,8207045,8207045,8207045,8207045,8207045,8207045,8207045,8183520,8183520,8183520,8183520,8183520,8183520,8183520,8183520,8183520,8183520,7781909,7781909,7781909,7781909,7781909,7781909,7781909,7781909,7781909,7781909,7407930,7407930,7407930,7407930,7407930,7407930,7407930,7407930,7407930,7407930,7407930,7062064,7062064,7062064,7062064,7062064,7062064,7062064,7062064,7062064,7062064,7062064,7062064,7062064,6834842,6834842,6834842,6834842,6834842,6834842,6834842,6834842,6834842,6834842,6834842,6834842,6891633,6891633,6891633,6891633,6891633,6891633,6891633,6891633,6891633,6891633,6891633,6891633,6891633,6891633,7124306,7124306,7124306,7124306,7124306,7124306,7124306,7124306,7124306,7124306,7124306,7124306,7124306,7124306,7124306,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7429847,7759976,7759976,7759976,7759976,7759976,7759976,7759976,7759976,7759976,7759976,7759976,7759976,7759976,7759976,7759976,7759976,8064650,8064650,8064650,8064650,8064650,8064650,8064650,8064650,8064650,8064650,8064650,8064650,8064650,8064650,8311253,8311253,8311253,8311253,8311253,8311253,8311253,8311253,8311253,8311253,8311253
