Abyssal orb,67972,69538,69538,69538,69525,69525,69525,69129,69129,68141,68141,68141,67016,67016,67356,67356,68320,68320,68320,69442,69442,69442,71265,71265,73167,73167,75280,75280,75280,76003,76003,76603,76603,76603,76473,76473,76473,76711,76711,77340,77340,77340,77934,77934,78028,78028,79232,79232,79771,79771,79771,80976,80976,82878,82878,83813,83813,83813,84832,84832,85549,85549,85549,86033,86033,86033,85934,85934,85934,87154,87154,87154,88436,88436,90235,90235,92072,92072,92072,92730,93751,93751,96224,96224,96224,97943,97943,97943,98851,98851,100049,100049,100049,100089,100089,102000,102000,103228,103228,105328,105328,105328,105826,105826,105826,105857,105857,105815,105815,105815,106790,106790,106790,105433,105433,105433,104186,104186,104186,103411,103411,103411,99782,99782,99782,96453,96453,96453,93641,93641,93641,94032,94032,94032,93624,93624,93624,91555,91555,91555,90741,90741,90741,89194,89194,89194,87033,87033,87033,85297,85297,85297,84879,84879,84879,83372,83372,81521,81521,81521,81521,80071,80071,80071,78864,78864,78864,78477,78477,78477,79453,79453,79453,79473,79473,79473,79791,79791,79791,79852
Abyssal wand,98782,103074,103074,103284,103284,104210,104210,102406,102406,100473,100473,97663,97663,97434,97434,96959,96959,96793,96793,96476,96476,95616,95616,95572,95572,96335,96335,95843,95843,96143,96143,97933,97933,97933,99955,99955,99955,100634,100634,102395,102395,102287,102287,102272,102272,102271,102271,101470,101470,100549,100549,98497,98497,98290,98290,98484,98484,98484,98135,98135,97541,97541,97541,96447,96447,96457,96457,98314,98314,98820,98820,98820,98823,98823,98487,98487,98117,98117,98117,99334,99920,99920,100155,100155,100403,100403,97330,97330,97734,97734,98723,98723,97449,97449,97582,97582,97743,97743,97567,97567,97366,97366,96989,96989,96989,97074,97074,96823,96823,96823,96109,96109,96109,94832,94832,94832,92826,92826,92826,91483,91483,91483,89662,89662,89662,88665,88665,88665,87339,87339,86098,86098,86979,86979,86979,88612,88612,88612,89455,89455,89455,89829,89829,89829,91511,91511,91511,92646,92646,92646,93944,93944,93944,93907,93907,93907,92931,92931,92931,91890,91890,91890,91235,91235,89539,89539,89539,89867,89867,89867,89388,89388,89681,89681,89681,90120,90120,90120,90271,90271
Ahrim's book of magic,650092,650092,650092,650092,651929,651929,651929,651929,651929,651929,651929,651929,651929,658812,658812,658812,658812,658812,658812,658812,658812,658812,658812,657169,657169,657169,657169,657169,657169,657169,657169,657169,657169,662413,662413,662413,662413,662413,662413,662413,662413,662413,662413,662413,674500,674500,674500,674500,674500,674500,674500,674500,674500,674500,677367,677367,677367,677367,677367,677367,677367,677367,677367,677367,677367,678033,678033,678033,678033,678033,678033,678033,678033,678033,678033,678033,700411,700411,700411,700411,700411,700411,700411,700411,700411,700411,724353,724353,724353,724353,724353,724353,724353,724353,724353,724353,724353,742302,742302,742302,742302,742302,742302,742302,742302,742302,742302,742302,765409,765409,765409,765409,765409,765409,765409,765409,765409,765409,765409,765409,770884,770884,770884,770884,770884,770884,770884,770884,770884,770884,770884,770884,769143,769143,769143,769143,769143,769143,769143,769143,769143,769143,769143,769143,769143,759284,759284,759284,759284,759284,759284,759284,759284,759284,759284,759284,759284,759284,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,770142,786647,786647,786647,786647,786647,786647,786647,786647
Ahrim's book of magic (broken),159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,159830,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169,166169
Ahrim's staff,3900909,3900909,3714116,3714116,3714116,3714116,3543037,3543037,3543037,3381437,3381437,3230985,3230985,3230985,3083151,3083151,3083151,2943609,2943609,2943609,2816308,2816308,2816308,2691661,2691661,2691661,2568360,2568360,2568360,2454283,2454283,2454283,2454283,2343171,2343171,2343171,2343171,2239250,2239250,2239250,2141224,2141224,2141224,2141224,2040844,2040844,2040844,2040844,1949875,1949875,1949875,1949875,1861556,1861556,1861556,1780345,1780345,1780345,1780345,1702520,1702520,1702520,1702520,1628477,1628477,1628477,1628477,1628477,1555494,1555494,1555494,1555494,1555494,1502578,1502578,1502578,1502578,1502578,1502578,1486607,1486607,1486607,1486607,1486607,1506797,1506797,1506797,1506797,1506797,1506797,1564944,1564944,1564944,1564944,1564944,1564944,1630958,1630958,1630958,1630958,1630958,1630958,1630958,1702304,1702304,1702304,1702304,1702304,1702304,1702304,1778299,1778299,1778299,1778299,1778299,1778299,1778299,1778299,1843239,1843239,1843239,1843239,1843239,1843239,1843239,1843239,1912274,1912274,1912274,1912274,1912274,1912274,1912274,1912274,1992996,1992996,1992996,1992996,1992996,1992996,1992996,1992996,1992996,2072183,2072183,2072183,2072183,2072183,2072183,2072183,2072183,2072183,2072183,2167695,2167695,2167695,2167695,2167695,2167695,2167695,2167695,2167695,2167695,2264923,2264923,2264923,2264923,2264923,2264923,2264923,2264923,2264923,2264923,2369118,2369118,2369118,2369118,2369118,2369118,2369118
Ahrim's staff (broken),1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1260886,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789,1302789
Ahrim's wand,639701,652537,652537,652537,652537,652537,652537,652537,652537,668200,668200,668200,668200,668200,668200,668200,668200,668200,668200,668200,661028,661028,661028,661028,661028,661028,661028,661028,661028,661028,655000,655000,655000,655000,655000,655000,655000,655000,655000,655000,655000,655000,648184,648184,648184,648184,648184,648184,648184,648184,648184,648184,636704,636704,636704,636704,636704,636704,636704,636704,636704,636704,636704,636015,636015,636015,636015,636015,636015,636015,636015,636015,636015,636015,636015,652198,652198,652198,652198,652198,652198,652198,652198,652198,652198,673975,673975,673975,673975,673975,673975,673975,673975,673975,673975,673975,690908,690908,690908,690908,690908,690908,690908,690908,690908,690908,690908,690908,711888,711888,711888,711888,711888,711888,711888,711888,711888,711888,711888,711888,711888,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,715233,703034,703034,703034,703034,703034,703034,703034,703034,703034,703034,703034,703034,703034,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,686766,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,695026,715224,715224,715224
Ahrim's wand (broken),52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,52273,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472,54472
Air battlestaff,8266,8096,8097,8200,8260,8267,8311,8338,8338,8293,8268,8231,8310,8332,8307,8193,8200,8184,8239,8301,8163,8089,8282,8308,8350,8322,8306,8331,8356,8328,8297,8260,8260,8300,8294,8205,8330,8314,8329,8352,8370,8385,8334,8336,8311,8337,8393,8389,8432,8412,8429,8399,8440,8440,8446,8455,8450,8467,8352,8353,8384,8461,8418,8483,8531,8613,8645,8551,8523,8495,8495,8531,8552,8613,8602,8623,8697,8606,8284,8182,8224,8347,8384,8448,8447,8441,8460,8430,8414,8445,8432,8428,8428,8390,8373,8403,8409,8399,8382,8396,8407,8399,8412,8370,8371,8334,8295,8283,8267,8264,8282,8289,8297,8181,8300,8300,8336,8360,8398,8382,8395,8326,8306,8343,8343,8373,8358,8363,8379,8369,8362,8341,8337,8337,8374,8409,8373,8353,8342,8353,8370,8362,8362,8335,8356,8355,8345,8348,8383,8315,8360,8366,8366,8368,8356,8355,8341,8361,8249,8326,8372,8390,8390,8413,8413,8453,8451,8472,8426,8426,8442,8419,8401,8403,8410,8400,8396,8396,8402,8405
Ancient staff,96103,96103,96103,95835,95835,95835,95835,94352,94352,94352,94352,94352,95139,95139,95139,95139,98410,98410,98410,98410,101504,101504,101504,101504,106580,106580,106580,106580,111249,111249,111249,113160,113160,113160,113160,113160,114168,114168,114168,114168,116053,116053,116053,116053,119348,119348,119348,119348,123065,123065,123065,123065,123065,125567,125567,125567,125567,127604,127604,127604,127604,129316,129316,129316,129316,129316,130106,130106,130106,130106,130106,132611,132611,132611,132611,129882,129882,129882,129882,129882,124628,124628,124628,124628,124628,121354,121354,121354,121354,121354,118565,118565,118565,118565,120127,120127,120127,120127,120127,120242,120242,120242,120242,117213,117213,117213,117213,117213,115580,115580,115580,115580,115580,111017,111017,111017,111017,111017,106748,106748,106748,106748,106748,101661,101661,101661,101661,101661,101661,98689,98689,98689,98689,98689,98689,96020,96020,96020,96020,96020,96020,98750,98750,98750,98750,98750,98750,101473,101473,101473,101473,101473,101473,99553,99553,99553,99553,99553,99553,100610,100610,100610,100610,100610,102393,102393,102393,102393,102393,102393,102090,102090,102090,102090,102090,100895,100895,100895,100895,100895
