Abyssal bane square shield,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,2042989,1948034,1948034,1948034,1948034,1948034,1948034,1948034
Ancient ceremonial boots,5559,5559,5559,5559,5665,5665,5665,5665,5665,5665,5669,5669,5669,5669,5669,5669,5669,5669,5669,5787,5787,5787,5787,5787,5787,5787,5787,5787,5787,5787,5787,5787,5787,5787,5787,5787,5708,5708,5708,5708,5708,5708,5749,5749,5749,5749,5749,5749,5846,5846,5846,5846,5846,5846,5846,5803,5803,5803,5803,5803,5803,5803,5803,5682,5682,5682,5682,5682,5682,5682,5682,5682,5630,5630,5630,5630,5630,5630,5630,5630,5630,5650,5650,5650,5650,5650,5650,5650,5650,5543,5543,5543,5543,5543,5543,5543,5543,5543,5748,5748,5748,5748,5748,5748,5748,5875,5875,5875,6098,6098,6098,6098,6098,6199,6199,6199,6199,6199,6199,6199,6264,6264,6264,6264,6264,6264,6264,6312,6312,6312,6312,6312,6312,6312,6312,6419,6419,6419,6419,6419,6419,6419,6419,6419,6419,6419,6486,6486,6486,6486,6486,6486,6486,6486,6486,6486,6486,6486,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6551,6551,6551,6551,6551,6551,6551,6551,6551
Ancient ceremonial gloves,6100,6100,6100,6200,6200,6200,6200,6200,6200,6200,6194,6194,6194,6194,6194,6194,6194,6194,6194,6194,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6323,6323,6323,6323,6323,6323,6323,6323,6323,6380,6380,6380,6380,6380,6380,6380,6530,6530,6530,6530,6530,6530,6530,6530,6681,6681,6681,6681,6681,6681,6681,6681,6681,6563,6563,6563,6563,6563,6563,6563,6563,6563,6557,6557,6557,6557,6557,6557,6557,6557,6557,6557,6567,6567,6567,6567,6567,6567,6567,6567,6567,6273,6273,6273,6273,6273,6273,6273,6273,6273,6273,6411,6411,6411,6411,6411,6411,6606,6606,6606,6606,6606,6847,6847,6847,6847,6847,6847,6847,6847,7038,7038,7038,7038,7038,7038,7038,7038,7038,7239,7239,7239,7239,7239,7239,7239,7239,7239,7239,7239,7239,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7673,7673,7673,7673,7673,7673,7673,7673,7673,7673
Ancient ceremonial legs,45825,45825,45825,45825,45825,45031,45031,45031,45031,45031,44809,44809,44809,44809,44809,44809,44809,44861,44861,44861,44861,44861,44861,44861,44224,44224,44224,44224,44224,44224,44224,44174,44174,44174,44174,44174,44174,44174,43923,43923,43923,43923,43923,43980,43980,43980,43980,43980,43789,43789,43789,43789,43789,43565,43565,43565,43565,43565,43935,43935,43935,43935,43935,43988,43988,43988,43988,43988,43988,43617,43617,43617,43617,43617,43617,43617,44197,44197,44197,44197,44197,44197,44197,44197,44365,44365,44365,44365,44365,44365,44356,44356,44356,44356,44356,44356,44676,44676,44676,44676,44676,44676,45444,45444,45444,45444,45444,45055,45055,45055,45055,45226,45226,45226,45226,45226,45226,44986,44986,44986,44986,44986,45005,45005,45005,45005,45005,45005,45005,45599,45599,45599,45599,45599,45599,45599,45599,45826,45826,45826,45826,45826,45826,45826,45826,45826,45639,45639,45639,45639,45639,45639,45639,45639,45639,46128,46128,46128,46128,46128,46128,46128,46128,46128,45843,45843,45843,45843,45843,45843,45843,45843,45843,45843,45743,45743,45743,45743,45743,45743
Ancient ceremonial mask,7744,7911,7911,7911,7911,7911,7911,7911,7911,7796,7796,7796,7796,7796,7796,7796,7796,7652,7652,7652,7652,7652,7652,7652,7652,7652,7455,7455,7455,7455,7455,7455,7455,7455,7455,7279,7279,7279,7279,7279,7279,7279,7140,7140,7140,7140,7140,7140,7246,7246,7246,7246,7246,7246,7246,7257,7257,7257,7257,7257,7257,7257,7257,6970,6970,6970,6970,6970,6970,6970,6970,6970,6880,6880,6880,6880,6880,6880,6880,6880,6880,6880,6907,6907,6907,6907,6907,6907,6907,6907,6766,6766,6766,6766,6766,6766,6766,6766,6766,6917,6917,6917,6917,6917,6917,6917,7114,7114,7114,7114,7286,7286,7286,7286,7286,7286,7286,7410,7410,7410,7410,7410,7410,7410,7410,7385,7385,7385,7385,7385,7385,7385,7385,7385,7521,7521,7521,7521,7521,7521,7521,7521,7521,7521,7521,7566,7566,7566,7566,7566,7566,7566,7566,7566,7566,7566,7651,7651,7651,7651,7651,7651,7651,7651,7651,7651,7651,7651,7776,7776,7776,7776,7776,7776,7776,7776,7776,7776,7776,7776
Ancient ceremonial robes set,334003,334003,331505,331505,331505,331505,331505,331505,329208,329208,329208,329208,329208,329208,331785,331785,331785,331785,331785,331785,331785,319776,319776,319776,319776,319776,319776,304787,304787,304787,304787,304787,304787,304787,304787,290659,290659,290659,290659,290659,290659,288711,288711,288711,288711,288711,298865,298865,298865,298865,298865,298865,304196,304196,304196,304196,304196,304196,304196,302756,302756,302756,302756,302756,302756,302756,294900,294900,294900,294900,294900,294900,294900,292696,292696,292696,292696,292696,292696,292696,292696,292696,292696,290691,290691,290691,290691,290691,290691,290691,290691,286030,286030,286030,286030,286030,286030,286030,286030,284315,284315,284315,292694,292694,292694,292694,291370,291370,301699,301699,301699,311306,311306,311306,311306,314064,314064,314064,314064,314064,317605,317605,317605,317605,317605,317605,321223,321223,321223,321223,321223,321223,323521,323521,323521,323521,323521,323521,323521,323521,323521,312328,312328,312328,312328,312328,312328,312328,312328,312328,312328,312328,302130,302130,302130,302130,302130,302130,302130,302130,302130,302130,302130,302130,291634,291634,291634,291634,291634,291634,291634,291634,291634,291634,291634,277427,277427,277427,277427,277427
Ancient ceremonial top,68369,68173,68173,68173,68173,68173,68173,68012,68012,68012,68012,68012,68266,68266,68266,68266,68266,68301,68301,68301,68301,68301,68301,68383,68383,68383,68383,68383,68383,68367,68367,68367,68367,68367,68367,68033,68033,68033,68033,68033,66856,66856,66856,66856,65707,65707,65707,65707,64914,64914,64914,64914,65566,65566,65566,65566,65028,65028,65028,65028,65653,65653,65653,65653,65653,65677,65677,65677,65677,65677,65677,65769,65769,65769,65769,65769,66719,66719,66719,66719,66719,66719,66719,67043,67043,67043,67043,67043,67043,66560,66560,66560,66560,66560,67300,67300,67300,67300,67300,67300,67970,67970,67970,67970,67970,68110,68110,68110,68791,68791,68791,68791,67839,67839,67839,67839,67839,67629,67629,67629,67629,67629,67575,67575,67575,67575,67575,67575,68066,68066,68066,68066,68066,68066,68694,68694,68694,68694,68694,68694,68694,68249,68249,68249,68249,68249,68249,68249,68249,68339,68339,68339,68339,68339,68339,68339,68339,68059,68059,68059,68059,68059,68059,68059,68059,67631,67631,67631,67631,67631,67631,67631,67631,68170,68170,68170,68170,68170,68170,68170
Anima Core Body of Zaros,18005434,18424578,18424578,18424578,18564863,18564863,18564863,18564863,18584631,18584631,18584631,18655465,18655465,18655465,18655465,18597768,18597768,18597768,18597768,18459776,18459776,18459776,18459776,18356701,18356701,18356701,18529270,18529270,18529270,19041715,19041715,19523770,19523770,19523770,18587590,18587590,17725776,17725776,16839487,16839487,15997512,15997512,15320621,15320621,15488189,15488189,16183377,16183377,16419049,16419049,16419049,16945057,16945057,16945057,17637351,17637351,18396076,18396076,18396076,19059525,19059525,19059525,19059525,19826298,19826298,19826298,19826298,20325382,20325382,20325382,20325382,20892548,20892548,20892548,20892548,20751749,20751749,20751749,20751749,20699366,20699366,20699366,21471723,21471723,21471723,22401958,22401958,22401958,23386412,23386412,23386412,24314977,24314977,24314977,24314977,25061257,25061257,25061257,25061257,24574075,24574075,24574075,24574075,23661146,23661146,23661146,23661146,22876733,22876733,22876733,22097981,22097981,22097981,22097981,21515089,21515089,21515089,21515089,21515089,21323748,21323748,21323748,21323748,20920171,20920171,20920171,20920171,20920171,20463286,20463286,20463286,20463286,20280394,20280394,20280394,20280394,20096882,20096882,20096882,20096882,20606725,20606725,20606725,20606725,21067093,21067093,21067093,21067093,21963567,21963567,21963567,21963567,22925235,22925235,22925235,22925235,23368013,23368013,23368013,23368013,23368013,23883421,23883421,23883421,23883421,24681281,24681281,24681281,24681281,24681281,25016176,25016176,25016176,25016176,25016176,25303921,25303921,25303921,25303921,25303921
Anima Core helm of Zaros,18125713,18125713,18125713,18125713,18565199,18565199,18565199,18565199,18565199,18565199,18565199,18676088,18676088,18676088,18676088,18676088,18676088,18676088,18676088,18734843,18734843,18734843,18734843,18734843,18734843,18734843,18452477,18452477,18452477,18452477,18452477,18452477,18426530,18426530,18426530,18426530,18426530,17580550,17580550,17580550,17580550,17580550,16701522,16701522,16701522,16701522,16701522,16067551,16067551,16067551,16067551,16067551,16123859,16123859,16123859,16123859,16123859,16123859,16854550,16854550,16854550,16854550,16854550,16854550,16854550,17627146,17627146,17627146,17627146,17627146,17627146,17627146,17627146,18392136,18392136,18392136,18392136,18392136,18392136,18392136,19091425,19091425,19091425,19091425,19091425,19091425,19091425,19926577,19926577,19926577,19926577,19926577,19926577,19926577,19926577,20814088,20814088,20814088,20814088,20814088,20814088,20814088,20814088,20814088,21754184,21754184,21754184,21754184,21754184,21754184,21754184,21754184,21754184,22313228,22313228,22313228,22313228,22313228,22313228,22313228,22313228,22313228,22313228,22313228,21510742,21510742,21510742,21510742,21510742,21510742,21510742,21510742,21510742,21510742,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20702627,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,20926106,21872732,21872732,21872732,21872732,21872732,21872732,21872732,21872732,21872732,21872732,21872732,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123,22873123
Anima Core Legs of Zaros,18192648,18192648,18276572,18276572,18276572,18276572,18608433,18608433,18608433,18856606,18856606,18856606,18661909,18661909,18661909,18376360,18376360,18376360,18362836,18362836,18235094,18235094,18235094,18363169,18363169,18425154,18425154,18874775,18874775,19469105,19469105,19223004,19223004,18372432,18372432,17536527,17536527,16659700,16659700,15830846,15830846,15281733,15281733,15200541,15200541,15755806,15755806,16407788,16407788,16747146,16747146,16747146,17424368,17424368,18134620,18134620,18813622,18813622,19319277,19319277,19319277,19989668,19989668,19989668,20158033,20158033,20158033,20438866,20438866,20438866,20438866,20326613,20326613,20326613,20500537,20500537,20500537,20671401,20671401,20671401,21247784,21247784,21247784,22060369,22060369,22060369,23032233,23032233,23032233,24089369,24089369,24089369,24089369,24994393,24994393,24994393,24873774,24873774,24873774,24873774,24432482,24432482,24432482,24432482,23441159,23441159,23441159,22732971,22732971,22732971,22329177,22329177,22329177,22329177,21544612,21544612,21544612,21544612,21544612,21196028,21196028,21196028,21196028,20970488,20970488,20970488,20970488,20451327,20451327,20451327,20451327,20060438,20060438,20060438,20060438,20265064,20265064,20265064,20265064,20688579,20688579,20688579,20688579,21155717,21155717,21155717,21786513,21786513,21786513,21786513,22768101,22768101,22768101,22768101,22768101,23348743,23348743,23348743,23348743,23803422,23803422,23803422,23803422,23803422,24361995,24361995,24361995,24361995,25036020,25036020,25036020,25036020,25000857,25000857,25000857,25000857,25019766,25019766,25019766,25019766
