Adamant armour set (lg),25077,25077,25952,25952,25952,25952,27004,27004,27004,27004,26912,26912,26912,26912,26231,26231,26231,25764,25764,25764,26527,26527,26527,26527,27313,27313,27313,28438,28438,28438,28438,29700,29700,29700,30962,30962,30962,30962,30962,32121,32121,32121,32121,32121,33081,33081,33081,33081,33081,33835,33835,33835,33835,33835,33835,34100,34100,34100,34100,34100,34100,34331,34331,34331,34331,34331,34331,34043,34043,34043,34043,34043,34043,34381,34381,34381,34381,34381,34381,34966,34966,34966,34966,34966,34966,35903,35903,35903,35903,35903,35903,35903,36991,36991,36991,36991,36991,36991,37551,37551,37551,37551,37551,37551,37551,37551,38210,38210,38210,38210,38210,38210,38210,38210,38718,38718,38718,38718,38718,38718,38718,38718,40058,40058,40058,40058,40058,40058,40058,40058,40764,40764,40764,40764,40764,40764,40764,40764,42026,42026,42026,42026,42026,42026,42026,42026,42026,43148,43148,43148,43148,43148,43148,43148,43148,43148,42275,42275,42275,42275,42275,42275,42275,42275,42458,42458,42458,42458,42458,42458,42458,42458,43199,43199,43199,43199,43199,43199,43199,43199
Adamant armour set (sk),29361,29361,29361,29361,29361,29361,29361,29361,30557,30557,30557,30557,30557,30557,30557,30557,30557,30557,30557,30557,30557,30557,30557,30557,31176,31176,31176,31176,31176,31176,31176,31176,31176,31176,31176,31176,31176,31176,31176,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,31406,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,32291,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326,34326
Adamant armour set + 1 (lg),80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891,81891
Adamant armour set + 1 (sk),80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040,80040
Adamant armour set + 2 (lg),160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,165937,165937,165937,165937,165937,165937,165937,168798,168798,168798,168798,168798,168798,168798,168615,168615,168615,168615,168615,168615,168615,168615,168615,166610,166610,166610,166610,166610,166610,166610,166610,166610,166610,166610,161995,161995,161995,161995,161995,161995,161995,161995,161995,163543,163543,163543,163543,163543,163543,163543,163543,163543,163543,163543,163543,165009,165009,165009,165009,165009,165009,165009,165009,165009,165009,165009,165009,165009,163966,163966,163966,163966,163966,163966,163966,163966,163966,163966,163966,163966,161210,161210,161210,161210,161210,161210,161210,161210,161210,161210,161210,161210,164451,164451,164451,164451,164451,164451,164451,164451,164451,164451,164451,164451,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,164069,163228,163228,163228,163228,163228,163228,163228,163228,163228,163228,163228,163228,158267,158267,158267,158267,158267,158267,158267,158267,158267,158267,158267,157555,157555
Adamant armour set + 2 (sk),160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,160080,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,164852,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,166841,167313,167313,167313,167313,167313
Adamant armoured boots,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3339,3339,3339,3464,3464,3464,3464,3592,3592,3592,3592,3607,3607,3607,3607,3749,3749,3749,3749,3816,3816,3816,3816,3816,3971,3971,3971,3971,3971,4067,4067,4067,4067,4067,4240,4240,4240,4240,4240,4240,4386,4386,4386,4386,4386,4386,4410,4410,4410,4410,4410,4564,4564,4564,4564,4564,4755,4755,4755,4755,4755,4935,4935,4935,4935,4935,4935,4968,4968,4968,4968,4968,4968,4985,4985,4985,4985,4985,4985,5196,5196,5196,5196,5196,5196,5349,5349,5349,5349,5349,5349,5349,5584,5584,5584,5584,5584,5584,5584,5755,5755,5755,5755,5755,5755,5755,5979,5979,5979,5979,5979,5979,6223,6223,6223,6223,6223,6223,6471,6471,6471,6471,6471,6471,6471,6584,6584,6584,6584,6584,6584,6584,6705,6705,6705,6705,6705,6705,6705,6850,6850,6850,6850,6850,6850,6850,6950
Adamant armoured boots + 1,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,6868,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086
Adamant armoured boots + 2,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13268,13268,13268,13268,13692,13692,13692,13692,13692,13911,13911,13911,13911,13906,13906,13906,13906,13906,14135,14135,14135,14135,14135,14182,14182,14182,14182,14182,14182,14154,14154,14154,14154,14154,14584,14584,14584,14584,14584,14584,14584,14608,14608,14608,14608,14608,14697,14697,14697,14697,14697,14697,14624,14624,14624,14624,14624,14624,14789,14789,14789,14789,14789,14789,14896,14896,14896,14896,14896,14896,14896,15296,15296,15296,15296,15296,15296,15296,15572,15572,15572,15572,15572,15572,15572,15572,15280,15280,15280,15280,15280,14758,14758,14758,14758,14758,14758,15017,15017,15017,15017,15017,15017,15017,15017,14844,14844,14844,14844,14844,14844,14844,15002,15002,15002,15002,15002,15002,15002,14590,14590,14590,14590,14590,14590,14779,14779,14779,14779,14779,14779,14779,14860,14860,14860,14860,14860,14860,14860,14735,14735,14735,14735,14735,14735
Adamant berserker shield 0,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21193,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894,21894
Adamant chainbody,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,16680,15907,15907,15907,15907,15195,15195,15195,15195,14505,14505,14505,14505,13838,13838,13838,13838,13838,13838,13480,13480,13480,13480,13480,13480,13480,13274,13274,13274,13274,13274,13274,13274,13274,13291,13291,13291,13291,13291,13291,13291,13291,13291,13291,13403,13403,13403,13403,13403,13403,13403,13403,13799,13799,13799,13799,13799,13799,13799,13799,13799,13799,13754,13754,13754,13754,13754,13754,13754,13754,13754,13754,13754,14116,14116,14116,14116,14116,14116,14116,14116,14116,14116,14116,14116,14116,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14351,14351,14351,14351,14351,14351,14351,14351,14351,14351,14351,14351,14351,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,13773,13773,13773,13773,13773,13773,13773,13773,13773,13773,13773,13773,13773,13773,13773,13773,14149,14149,14149,14149,14149
Adamant chainbody + 1,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944,32944
Adamant chainbody + 2,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,66680,64280,64280,64280,64280,64280,64280,64280,64280,64280,64280,64280,64280,64280,64280,64280,64280,64280,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,61525,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,59152,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,56626,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,54523,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266,52266
