Banite armour set,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,800040,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,772128,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,737325,703521,703521,703521,703521,703521
Banite armour set + 1,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080,1600080
Banite armour set + 2,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040,3200040
Banite armour set + 3,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080,6400080
Banite armour set + 4,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12800040,12292180,12292180,12292180,12292180,11737106,11737106,11737106,11737106,11195394,11195394,11195394,11195394,11195394,10672477,10672477,10672477,10672477,10672477,10672477,10184738,10184738,10184738,10184738,10184738,10184738,9718119,9718119,9718119,9718119,9718119,9718119,9718119,9718119,9272385,9272385,9272385,9272385,9272385,9272385,9272385,9272385,9272385,9272385,8853984,8853984,8853984,8853984,8853984,8853984,8853984,8853984,8853984,8853984,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8445735,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,8072753,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7719409,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7365095,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942,7022942
Berserker helm,45070,45070,45070,45070,45283,45283,45283,45283,45283,45283,45375,45375,45375,45375,45375,45375,45375,45522,45522,45522,45522,45522,45522,45522,45676,45676,45676,45676,45676,45676,45775,45775,45775,45775,45775,45775,45775,45884,45884,45884,45884,45884,45884,45884,44207,44207,44207,44207,44207,44207,45207,45207,45207,45207,45207,45207,45296,45296,45296,45296,45296,45296,45419,45419,45419,45419,45419,45526,45526,45526,45526,45526,45526,45747,45747,45747,45747,45747,45826,45826,45826,45826,45826,45826,45376,45376,45376,45376,45376,45376,45376,45838,45838,45838,45838,45838,45838,45838,44366,44366,44366,44366,44366,44366,45199,45199,45199,45199,45199,45199,45199,45615,45615,45615,45615,45615,45615,45615,45615,45819,45819,45819,45819,45819,45819,45819,45819,46063,46063,46063,46063,46063,46063,46063,46686,46686,46686,46686,46686,46686,46686,46686,45855,45855,45855,45855,45855,45855,45855,45855,44407,44407,44407,44407,44407,44407,44407,44595,44595,44595,44595,44595,44595,44595,44595,44882,44882,44882,44882,44882,44882,44882,45203,45203,45203,45203,45203,45203,45203,45203
Corrupt dragon chainbody,78573,78573,78573,78573,78573,78573,78573,78573,78573,78573,79131,79131,79131,79131,79131,79131,79131,79131,79131,79131,79131,79131,79131,79131,79131,80262,80262,80262,80262,80262,80262,80262,80262,80262,80262,80262,80262,80262,80262,80262,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,85527,85527,85527,85527,85527,85527,85527,85527,85527,85527,85527,85527,85527,85527,85527,85527,85527,85527,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,88730,91010,91010,91010,91010,91010,91010,91010,91010,91010,91010,91010,91010,91010,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,91475,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,89510,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,86877,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,85146,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036,84036
Corrupt dragon helm,40024,40024,40024,40024,40024,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40255,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,40946,42012,42012,42012,42012,42012,42012,42012,42012,42012,42012,42012,42012,42012,42012,42012,42012,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,42742,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44028,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45018,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,45213,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657,46657
Corrupt dragon platelegs,74500,74500,74500,74500,74500,74500,74500,74500,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,75410,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,76792,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,78098,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,82842,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,81049,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77935,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,77523,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401,76401
Corrupt dragon plateskirt,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70855,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,70706,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72072,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,72966,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69593,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,69966,70235,70235,70235,70235,70235,70235,70235,70235,70235,70235,70235,70235,70235,70235,70235,70235
