Abyssal bane longsword,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2041911,2041911,2041911,2041911,2041911,1950087,1950087,1950087,1950087,1950087,1950087,1950087,1861258,1861258,1861258,1861258,1861258,1861258,1861258,1861258,1861258,1861258,1861258,1779218,1779218,1779218,1779218,1779218,1779218,1779218,1779218,1779218,1779218,1779218,1779218,1779218,1779218,1779218,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1699659,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1623551,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1550201,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1481241,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1414062,1350144,1350144,1350144,1350144,1350144,1350144,1350144,1350144
Abyssal bane off hand longsword,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2133340,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,2064555,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1966351,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080,1873080
Abyssal bane two hand sword,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4266680,4081419,4081419,4081419,4081419,3901269,3901269,3901269,3901269,3723620,3723620,3723620,3723620,3723620,3561858,3561858,3561858,3561858,3561858,3561858,3398514,3398514,3398514,3398514,3398514,3398514,3240743,3240743,3240743,3240743,3240743,3240743,3240743,3240743,3089534,3089534,3089534,3089534,3089534,3089534,3089534,3089534,3089534,3089534,2959255,2959255,2959255,2959255,2959255,2959255,2959255,2959255,2827743,2827743,2827743,2827743,2827743,2827743,2827743,2827743,2827743,2827743,2697261,2697261,2697261,2697261,2697261,2697261,2697261,2697261,2581319,2581319,2581319,2581319,2581319,2581319,2581319,2581319,2581319,2581319,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2466274,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2352661,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2249172,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2148277,2049936,2049936,2049936
Abyssal whip,69949,70841,71669,71669,71074,70294,71190,70662,69933,68022,69660,70502,70516,69315,69925,71259,71110,70834,70570,71872,70703,71532,71485,71390,71384,72325,73265,75358,75174,76531,76531,77387,74824,72105,69799,67411,67180,68332,68321,66778,67993,68104,69526,69857,69551,70964,71137,72026,70574,70253,70645,70439,70230,69182,69172,68884,70057,70090,70834,70420,69743,68973,70283,70787,71024,70679,69225,70985,71489,70496,70496,70671,70906,70685,71059,71318,70852,70888,71228,71075,69508,70177,71380,71376,71441,71230,70858,70759,70909,71542,71652,71898,71898,71766,70673,70296,70296,70414,69884,70634,70687,70854,70787,70516,70648,71290,71390,70742,69161,70498,70674,70592,70368,71090,70077,68232,69834,71083,70859,70393,70426,71184,70937,70596,70596,70409,71070,70940,70990,71343,71744,70740,70718,70718,69933,70278,70692,71011,71348,70086,70647,71012,71012,70768,70829,70716,70861,70813,71085,70874,70521,70730,70730,70475,71126,70543,70916,70836,71477,71740,71740,71729,71729,70643,70498,71534,69842,70340,70725,70725,71166,71413,71748,71346,71203,70869,70865,70865,71023,71026
Annihilation,23340373,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,23101310,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,22017684,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20987224,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,20995664,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,21861348,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944,22657944
Armadyl godsword,2947825,3024690,3024690,3024690,3002295,3002295,3002295,2966300,2966300,2946707,2946707,2946707,2904065,2904065,2842884,2842884,2822498,2822498,2785964,2785964,2871096,2871096,2871096,2969132,2969132,2969132,2948527,2948527,2948527,2962620,2962620,2962620,2964807,2964807,2964807,2907905,2907905,2907905,2836245,2836245,2836245,2876532,2876532,2876532,2984867,2984867,2984867,2902162,2902162,2902162,2843198,2843198,2843198,2814480,2814480,2814480,2875773,2875773,2875773,2881059,2881059,2881059,2881059,2806455,2806455,2806455,2806455,2825597,2825597,2825597,2825597,2816706,2816706,2816706,2874893,2874893,2874893,2865387,2865387,2865387,2856803,2856803,2856803,2918843,2918843,2918843,3010511,3010511,3010511,3121985,3121985,3121985,3121985,3201709,3201709,3201709,3250716,3250716,3250716,3288517,3288517,3288517,3210218,3210218,3210218,3210218,3173142,3173142,3173142,3127525,3127525,3127525,3028891,3028891,3028891,3028891,2977092,2977092,2977092,2977092,2939870,2939870,2939870,2862803,2862803,2862803,2862803,2798141,2798141,2798141,2798141,2802271,2802271,2802271,2802271,2932612,2932612,2932612,2932612,3008837,3008837,3008837,3008837,2995314,2995314,2995314,2995314,3077042,3077042,3077042,3077042,3108449,3108449,3108449,3108449,3108449,3060588,3060588,3060588,3060588,3060588,3123425,3123425,3123425,3123425,3175698,3175698,3175698,3175698,3175698,3164272,3164272,3164272,3164272,3221752,3221752,3221752,3221752,3242508,3242508
Armadyl hilt,2157449,2157449,2157449,2157449,2232785,2232785,2232785,2232785,2232785,2232785,2232785,2274178,2274178,2274178,2274178,2274178,2274178,2274178,2274178,2247249,2247249,2247249,2247249,2247249,2247249,2247249,2224963,2224963,2224963,2224963,2224963,2224963,2224963,2225165,2225165,2225165,2225165,2225165,2225165,2225165,2225165,2225165,2218004,2218004,2218004,2218004,2218004,2218004,2218004,2226274,2226274,2226274,2226274,2226274,2226274,2226274,2206870,2206870,2206870,2206870,2206870,2206870,2206870,2235868,2235868,2235868,2235868,2235868,2235868,2235868,2235868,2225920,2225920,2225920,2225920,2225920,2225920,2225920,2225920,2185131,2185131,2185131,2185131,2185131,2185131,2191151,2191151,2191151,2191151,2191151,2191151,2191151,2281507,2281507,2281507,2281507,2281507,2281507,2281507,2369376,2369376,2369376,2369376,2369376,2369376,2369376,2438594,2438594,2438594,2438594,2438594,2438594,2438594,2438558,2438558,2438558,2438558,2438558,2438558,2438558,2438558,2380106,2380106,2380106,2380106,2380106,2380106,2380106,2380106,2380106,2281023,2281023,2281023,2281023,2281023,2281023,2281023,2281023,2209143,2209143,2209143,2209143,2209143,2209143,2209143,2209143,2209143,2215911,2215911,2215911,2215911,2215911,2215911,2215911,2215911,2215911,2242728,2242728,2242728,2242728,2242728,2242728,2242728,2242728,2242728,2242728,2289452,2289452,2289452,2289452,2289452,2289452,2289452,2289452,2289452,2289452,2355219,2355219,2355219,2355219
Bandos godsword,889919,861666,861666,853062,853062,853062,842113,842113,828932,828932,824771,824771,824771,846113,846113,838002,838002,842240,842240,842240,830044,830044,830044,837981,837981,852510,852510,869067,869067,902192,902192,881797,881797,881797,847476,847476,847476,822329,822329,812324,812324,812324,789395,789395,762152,762152,774566,774566,774566,802941,802941,802941,811239,811239,811239,821820,821820,821820,808888,808888,808888,789601,789601,789601,803780,803780,803780,801540,801540,801540,801540,788576,788576,788576,787443,787443,787443,800869,800869,800869,798836,798836,798836,810503,810503,810503,811702,811702,811702,824550,824550,824550,825854,825854,825854,851228,851228,851228,872796,872796,872796,894938,894938,894938,894938,894287,894287,894287,882277,882277,882277,884585,884585,884585,884585,889250,889250,889250,889250,889887,889887,889887,889887,888141,888141,888141,888141,888141,884178,884178,884178,884178,887075,887075,887075,887075,887075,880352,880352,880352,880352,879091,879091,879091,879091,879091,909964,909964,909964,909964,929496,929496,929496,929496,929496,924582,924582,924582,924582,930475,930475,930475,930475,930475,954276,954276,954276,954276,952389,952389,952389,952389,952389,941716,941716,941716,941716,941716,926814,926814
Bandos hilt,302554,302554,303339,303339,303339,303339,303339,303339,303339,303339,303339,303339,305026,305026,305026,305026,305026,305026,305026,305026,305026,305026,305175,305175,305175,305175,305175,305175,305175,305175,305175,305020,305020,305020,305020,305020,305020,305020,305020,305020,305020,303680,303680,303680,303680,303680,303680,303680,303680,303680,299911,299911,299911,299911,299911,299911,299911,299911,299911,298446,298446,298446,298446,298446,298446,298446,298446,298446,298446,298446,298446,298645,298645,298645,298645,298645,298645,298645,298645,298645,298645,298645,296447,296447,296447,296447,296447,296447,296447,296447,296447,296447,298643,298643,298643,298643,298643,298643,298643,298643,298643,298643,302534,302534,302534,302534,302534,302534,302534,302534,302534,302534,302534,301876,301876,301876,301876,301876,301876,301876,301876,301876,301876,301876,301876,300574,300574,300574,300574,300574,300574,300574,300574,300574,300574,300574,302225,302225,302225,302225,302225,302225,302225,302225,302225,302225,302225,302225,302225,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,303020,308124,308124,308124,308124,308124,308124,308124,308124,308124,308124,308124,308124,308124,319757,319757,319757,319757
Bane 2h sword,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,266680,256656,256656,256656,246217,246217,246217,246217,246217,235480,235480,235480,235480,235480,225058,225058,225058,225058,225058,225058,225058,225058,225058,215366,215366,215366,215366,215366,215366,215366,215366,215366,215366,215366,215366,205956,205956,205956,205956,205956,205956,205956,205956,205956,205956,205956,197072,197072,197072,197072,197072,197072,197072,197072,197072,188457,188457,188457,188457,188457,188457,188457,188457,188457,188457,185205,185205,185205,185205,185205,185205,185205,185205,185205,185205,176773,176773,176773,176773,176773,176773,176773,176773,176773,176773,176773,176773,168746,168746,168746,168746,168746,168746,168746,168746,168746,168746,168746,168746,168746,161305,161305,161305,161305,161305,161305,161305,161305,161305,161305,161305,161305,161305,154266,154266,154266,154266,154266,154266,154266,154266,154266,154266,154266,154266,154266,154266,154266,154266,148296,148296,148296,148296,148296,148296,148296,148296,148296,148296,148296,148296,148296,148296,148296,141509,141509,141509,141509
