Adamant 2h sword,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,12673,12120,11514,11514,11034,11276,11272,10897,10897,10571,10794,10794,10646,10940,11229,11229,11617,11617,12072,12072,12365,12365,12456,12856,12856,13098,13326,13923,13923,13735,13735,13048,13048,12598,12598,12843,12843,13334,13334,13913,13913,14512,14512,15235,15712,15712,16335,16335,16711,16711,17389,17389,18120,18023,18023,17945,17945,17667,17667,16826,16826,16358,17176,17176,17873,17873,18717,18717,19336,19336,19852,19852,19852,20598,20598,20746,20746,21390,21390,21894,21894,21894,21949,21949,21949,22327,22327,22476,22476,23187,23187,23869,23869,23869,23929,23929,23929,23248,23248,22448,22448,22346,22346,21905,21905,21777,21777,21777,21772,21772,22057,22057,22465,22465,22465,21989,21989,21989,21979,21979,21979,21996,21996,21996,22198,22198,22198,22250,22250,22250,21981,21981,21220,21220,21220,21310,21310,21310,21018,21018,21001,21001,21001,21195,21195,21195,20673,20673
Adamant 2h sword + 1,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27255,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,27458,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192,28192
Adamant 2h sword + 2,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,53340,52193,52193,52193,52193,52193,50687,50687,50687,50687,49295,49295,49295,49295,47542,47542,47542,47542,46393,46393,46393,46393,45163,45163,45163,45163,45163,43570,43570,43570,43570,43570,42916,42916,42916,42916,42916,41911,41911,41911,41911,40914,40914,40914,40914,40914,39249,39249,39249,39249,39082,39082,39082,39082,39082,39082,37980,37980,37980,37980,37980,37289,37289,37289,37289,37289,37289,36682,36682,36682,36682,36682,36682,35815,35815,35815,35815,35815,35815,35031,35031,35031,35031,35031,35031,35438,35438,35438,35438,35438,35438,36549,36549,36549,36549,36549,36549,37052,37052,37052,37052,37052,37052,36972,36972,36972,36972,36972,36972,36972,37026,37026,37026,37026,37026,37026,37026,37322,37322,37322,37322,37322,37322,36480,36480,36480,36480,36480,36480,36480,36200,36200,36200,36200,36200,36200,36655,36655,36655,36655,36655,36655,35881,35881,35881,35881,35881
Adamant battleaxe,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6949,6949,6949,6949,6949,7261,7261,7261,7261,7261,7261,7592,7592,7592,7592,7592,7592,7592,7930,7930,7930,7930,7930,7930,7930,7930,8284,8284,8284,8284,8284,8284,8284,8284,8284,8658,8658,8658,8658,8658,8658,8658,9039,9039,9039,9039,9039,9039,9441,9441,9441,9441,9441,9441,9441,9441,9858,9858,9858,9858,9858,9858,9858,9858,10302,10302,10302,10302,10302,10302,10302,10302,10302,10752,10752,10752,10752,10752,10752,10752,10752,10752,10752,10752,10752,11209,11209,11209,11209,11209,11209,11209,11209,11209,11209,11209,11209,11209,11651,11651,11651,11651,11651,11651,11651,11651,11651,11651,11651,11651,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12135,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,12654,13200,13200,13200,13200,13200
Adamant battleaxe + 1,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340
Adamant battleaxe + 2,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,27627,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,28326,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,29230,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127,30127
Adamant cane,272572,272572,284952,284952,284952,284952,284952,284952,284952,284952,284952,284952,298529,298529,298529,298529,298529,298529,298529,298529,298529,298529,298529,312511,312511,312511,312511,312511,312511,312511,312511,312511,312511,312511,327376,327376,327376,327376,327376,327376,327376,327376,327376,327376,327376,342788,342788,342788,342788,342788,342788,342788,342788,342788,342788,342788,342788,342788,342788,359188,359188,359188,359188,359188,359188,359188,359188,359188,359188,359188,359188,359188,359188,359188,376295,376295,376295,376295,376295,376295,376295,376295,376295,376295,376295,376295,376295,376295,376295,376295,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,393895,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,412501,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,431926,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,452298,471536
Adamant claws,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6395,6395,6395,6395,6395,6533,6533,6533,6533,6533,6567,6567,6567,6567,6641,6641,6641,6641,6641,6552,6552,6552,6552,6552,6460,6460,6460,6460,6460,6460,6427,6427,6427,6427,6427,6187,6187,6187,6187,6187,6450,6450,6450,6450,6450,6741,6741,6741,6741,6741,6992,6992,6992,6992,7286,7286,7286,7286,7286,7550,7550,7550,7550,7550,7817,7817,7817,7817,7817,7817,8026,8026,8026,8026,8026,8228,8228,8228,8228,8228,8228,8540,8540,8540,8540,8540,8540,8918,8918,8918,8918,8918,8918,8918,9253,9253,9253,9253,9253,9253,9253,8883,8883,8883,8883,8883,8883,8883,8445,8445,8445,8445,8445,8445,8445,8025,8025,8025,8025,8025,8025,8025,7632,7632,7632,7632,7632,7632,7632,7415,7415,7415,7415,7415,7415,7415,7415,7754,7754,7754,7754,7754,7754,7754,7754
Adamant claws + 1,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340
Adamant claws + 2,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,27398,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425,28425
