Blade of Avaryss,527760,526946,526946,526946,526946,526946,527574,527574,527574,527574,541414,541414,541414,541414,541414,563807,563807,563807,563807,588351,588351,588351,588351,611211,611211,611211,632442,632442,632442,632442,648779,648779,648779,648779,656772,656772,656772,656772,656772,648047,648047,648047,648047,654937,654937,654937,654937,644015,644015,644015,644015,642392,642392,642392,642392,633138,633138,633138,633138,634836,634836,634836,634836,634836,633569,633569,633569,633569,633569,632504,632504,632504,632504,632504,635040,635040,635040,635040,635040,639546,639546,639546,664234,664234,664234,664234,690860,690860,690860,690860,721133,721133,721133,721133,750651,750651,750651,750651,783348,783348,783348,783348,817794,817794,817794,817794,817794,830316,830316,830316,830316,838686,838686,838686,838686,838686,855036,855036,855036,855036,855036,865858,865858,865858,865858,865858,877188,877188,877188,877188,877188,872109,872109,872109,872109,872109,881827,881827,881827,881827,881827,869158,869158,869158,869158,869158,869158,867487,867487,867487,867487,867487,867487,870812,870812,870812,870812,870812,906137,906137,906137,906137,906137,906137,943157,943157,943157,943157,943157,988466,988466,988466,988466,988466,1033407,1033407,1033407,1033407,1033407,1078970
Blade of Nymora,596156,596156,596156,596156,593698,593698,593698,593698,603131,603131,603131,603131,618544,618544,618544,618544,638007,638007,638007,638007,663337,663337,663337,663337,686467,686467,686467,686467,714080,714080,714080,732014,732014,732014,732014,732014,748396,748396,748396,748396,758768,758768,758768,758768,768176,768176,768176,768176,748881,748881,748881,748881,733171,733171,733171,733171,732327,732327,732327,732327,739038,739038,739038,739038,739038,738825,738825,738825,738825,738825,736488,736488,736488,736488,742898,742898,742898,742898,742898,741870,741870,741870,756402,756402,756402,756402,783099,783099,783099,783099,809422,809422,809422,809422,844101,844101,844101,844101,883826,883826,883826,883826,923665,923665,923665,923665,923665,938940,938940,938940,938940,951818,951818,951818,951818,951818,972308,972308,972308,972308,972308,996374,996374,996374,996374,996374,996374,1010707,1010707,1010707,1010707,1010707,1004299,1004299,1004299,1004299,1004299,1004299,991593,991593,991593,991593,991593,988212,988212,988212,988212,988212,998749,998749,998749,998749,998749,998749,1020494,1020494,1020494,1020494,1020494,1050064,1050064,1050064,1050064,1050064,1050064,1089176,1089176,1089176,1089176,1089176,1089176,1120275,1120275,1120275,1120275,1120275,1120275,1120275,1145726,1145726
Brackish blade,111644,111644,111644,111644,111644,111644,111644,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,111507,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,114777,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533,115533
Brine sabre,121503,121503,121503,121503,121503,121503,121503,121503,121503,121503,121503,121503,121503,121503,121503,121503,116986,116986,116986,116986,116986,116986,116986,116986,116986,116986,116986,116986,116986,116986,116986,116986,112816,112816,112816,112816,112816,112816,112816,112816,112816,112816,112816,112816,112816,112816,112816,112816,112816,112816,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,107922,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,103267,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,99412,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703,95703
Cleaver,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,16807,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366,17366
Corrupt dragon battleaxe,87387,87387,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,91048,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92156,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,92570,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,90933,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,88554,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,84425,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,80460,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282,78282
Corrupt dragon dagger,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,69612,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,68388,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,65562,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,62630,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,59721,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049,57049
Corrupt dragon longsword,71171,71171,71171,71171,71171,71171,71171,71171,71171,71171,71171,71171,71171,71171,71171,71171,71171,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,71820,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,72464,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68756,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,68897,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,66437,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,64622,63054
Corrupt dragon mace,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,80171,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,79203,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,77023,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,74081,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,70617,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,67374,64439,64439
Corrupt dragon scimitar,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,125358,127768,127768,127768,127768,127768,127768,127768,127768,127768,127768,127768,127768,127768,127768,127768,127768,127768,127768,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,125230,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,122200,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,119202,115529,115529,115529,115529,115529,115529,115529,115529,115529,115529,115529,115529,115529,115529,115529,110182,110182,110182,110182,110182,110182,110182,110182,110182,110182,110182,110182,110182,110182,110182,110182,110182,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,105428,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,100505,96168,96168,96168,96168,96168,96168,96168,96168
