Adamant bar,2718,2743,2698,2707,2718,2758,2813,2815,2799,2763,2704,2652,2609,2664,2748,2754,2767,2808,2824,2871,2949,3052,3050,3005,2995,2959,2930,2897,2837,2802,2824,2798,2658,2525,2399,2325,2229,2129,2150,2137,2141,2125,2023,1959,1861,1767,1678,1629,1573,1588,1597,1603,1583,1573,1594,1540,1520,1548,1507,1479,1500,1490,1455,1448,1488,1488,1490,1538,1585,1549,1549,1519,1574,1623,1627,1676,1664,1663,1632,1577,1545,1498,1554,1628,1705,1767,1826,1759,1734,1718,1640,1576,1539,1525,1551,1611,1675,1721,1667,1607,1561,1498,1498,1554,1602,1674,1742,1723,1706,1702,1690,1696,1686,1707,1700,1700,1733,1734,1714,1695,1688,1710,1722,1697,1688,1648,1612,1600,1630,1623,1614,1598,1594,1594,1578,1610,1633,1680,1708,1758,1754,1713,1713,1667,1594,1542,1543,1544,1557,1556,1544,1547,1547,1528,1559,1559,1572,1614,1618,1588,1587,1539,1539,1512,1516,1534,1549,1552,1564,1564,1549,1582,1566,1613,1602,1590,1603,1603,1602,1635
Adamantite ore,1436,1445,1464,1471,1479,1508,1525,1561,1574,1543,1466,1413,1372,1351,1319,1295,1266,1224,1214,1203,1212,1204,1186,1153,1108,1075,1043,1019,1007,997,988,955,907,861,817,776,737,700,665,631,599,569,540,513,487,462,438,416,395,375,356,338,321,304,288,273,259,251,244,239,237,232,227,229,235,242,243,249,254,253,261,269,282,295,293,287,275,264,252,243,234,231,234,236,240,240,238,232,227,231,238,227,216,217,222,226,229,229,224,228,225,227,228,227,228,230,230,229,230,230,236,235,237,236,240,240,241,238,233,232,233,232,231,233,233,234,240,235,233,233,233,236,238,238,238,241,242,239,240,238,237,239,239,242,241,244,244,238,245,245,240,244,244,242,243,240,247,250,253,255,255,254,254,253,250,249,248,249,249,249,250,256,259,258,258,258,257,257,257,259
Bane bar,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,33340,34910,33387,31717,30131,28624,27192,25832,24540,23313,22147,21039,19987,18987,18037,17135,16278,15464,14690,13955,13257,12594,11964,11365,10796,10256,9743,9255,8792,8352,7934,7537,7160,6802,6461,6371,6590,6590,6493,6219,6219,6151,6080,5907,5799,5766,5824,5882,6105,5835,5544,5266,5002,4751,4751,4637,4704,4586,4713,4909,5057,4916,4916,5155,5276,5411,5377,5391,5497,5349,5348,5421,5548,5548,5423,5275,5034,4878,4842,4842,4823,4724,4724,4758,4787,4787,4944,5078,5078,5034,5034,5104,5330,5214,5214,5007,4758,4758,4636,4513,4633,4819,4809,4809,4766,4766,4697,4879,5095,5095,5226,5328,5328,5561,5561,5561,5439,5365,5322,5322,5114,5114,5001,5001,4975,5135,5190,5243,5243,5255,5255,5354,5354,5264,5278,5328,5328,5386,5613,5613,5566,5532,5553,5804,5804,6066,6365,6365,6258,6042
Banite ore,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,10670,11126,11560,11275,10711,10175,9666,9182,8722,8285,7870,7476,7102,6746,6408,6087,5782,5492,5217,4956,4708,4472,4248,4035,3833,3641,3458,3285,3120,2983,2866,2786,2841,2902,3016,3128,3235,3353,3259,3108,3108,2958,2883,2872,2877,2860,2842,2860,2908,2823,2683,2584,2521,2520,2520,2422,2396,2329,2361,2398,2466,2485,2485,2534,2595,2635,2728,2691,2643,2612,2659,2721,2756,2756,2719,2719,2651,2539,2506,2547,2501,2481,2481,2451,2396,2396,2435,2496,2496,2465,2465,2401,2485,2517,2517,2442,2413,2413,2368,2306,2306,2316,2427,2427,2457,2457,2395,2478,2516,2516,2518,2628,2628,2701,2665,2665,2668,2720,2720,2724,2708,2708,2676,2621,2571,2519,2504,2487,2499,2526,2647,2662,2588,2601,2669,2630,2553,2547,2623,2676,2741,2755,2820,2845,2945,3058,3052,3092,3161,3187
Bronze bar,486,483,471,471,464,454,435,418,397,386,382,392,404,422,436,456,469,459,447,452,475,472,471,478,500,500,513,537,564,593,623,649,676,710,745,780,813,831,856,860,850,808,767,728,691,656,634,647,649,677,702,696,675,642,610,579,550,522,495,470,446,423,412,401,396,383,382,379,372,366,366,358,354,353,361,367,383,381,381,369,380,396,412,433,453,470,481,479,482,474,482,502,502,510,520,533,553,550,522,498,488,480,461,455,468,481,506,521,523,538,540,548,572,583,568,568,560,559,558,553,553,560,568,596,596,615,623,611,585,569,553,531,531,531,528,512,501,501,484,469,462,459,459,447,437,445,457,461,444,436,445,453,453,447,465,472,478,483,478,473,462,462,462,458,452,461,464,461,484,484,503,505,506,507,518,525,522,522,516,494
Clay,352,352,361,361,359,359,360,360,365,365,363,363,363,365,365,350,350,333,333,337,337,331,331,316,327,327,322,322,321,321,315,310,310,302,297,297,293,293,287,287,291,291,304,304,319,319,333,333,333,333,350,350,367,367,386,398,398,408,408,429,429,444,444,463,463,480,480,502,502,519,519,533,533,560,560,587,587,605,605,605,584,584,563,563,537,518,518,515,515,517,517,543,543,543,562,562,539,539,514,514,493,493,468,468,464,464,471,471,481,481,473,473,473,457,457,457,445,445,439,439,439,435,435,435,435,435,444,444,444,442,442,464,464,468,468,476,476,483,483,488,488,483,483,483,478,478,458,458,445,445,452,452,452,449,449,461,461,466,466,469,469,469,460,460,467,467,475,475,471,471,471,462,462,462,457,457,451,451,451,448
Coal,128,130,130,130,131,131,133,133,131,129,128,131,131,133,133,134,133,134,135,136,138,139,142,146,150,154,155,157,163,167,162,155,147,139,132,125,118,112,106,100,95,90,85,81,78,76,76,75,76,78,78,77,76,75,75,78,79,81,80,80,83,87,92,94,95,94,90,89,87,85,86,84,82,79,78,76,73,71,69,67,65,65,67,67,64,64,65,64,67,68,69,72,72,73,73,75,76,78,79,79,79,79,78,78,80,82,80,81,80,79,80,82,83,82,82,82,82,80,82,81,81,80,78,79,80,81,81,82,80,80,78,78,81,81,82,80,82,82,83,82,81,81,81,81,81,81,80,81,81,80,81,81,81,81,81,81,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,83,84,84,83,83,83,86
Concentrated alloy bar,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,133157,138847,133356,126688,120353,114335,108618,103187,98027,93125,88468,84044,79940,75943,72349,68731,65294,62029,58996,56046,53290,50625,48189,45885,43711,41572,39561,37653,35770,34140,33086,33086,33339,33339,34481,34481,35317,35317,36516,36516,36904,36904,36067,36067,37038,37038,36359,36359,34869,34869,35916,35916,37379,37379,37545,37545,37545,36528,36528,34820,34820,34011,34011,33134,33134,33134,31638,31638,30960,30960,30960,29884,29884,29884,29315,29315,29452,29452,29452,29910,29910,29910,30438,30438,30438,31148,31148,31148,31735,31735,31735,32456,32456,32456,32456,32089,32089,32089,32127,32127,32127,30834,30834,30834,30733,30733,30733,30275,30275,30275,30251,30251,30251,30251,30038,30038,30038,29635,29635,29635,29635,29965,29965,29965,29965,30147,30147,30147,30147,30498,30498,30498,30498,31420,31420,31420,32326,32326,32326,32326,33759,33759,33759,35415,35415,35415,36780,36780,36780
Copper ore,76,79,80,80,78,79,79,76,73,70,69,70,68,68,70,67,66,69,70,69,71,73,76,80,81,77,73,69,65,63,62,59,58,61,64,68,72,76,80,84,89,94,99,101,107,113,119,125,132,139,146,153,161,169,178,187,187,193,190,180,173,166,159,151,151,143,136,130,130,125,125,121,121,117,117,114,111,106,106,105,105,105,108,114,114,120,120,124,124,126,126,128,128,133,134,134,137,137,142,142,140,140,147,147,153,153,157,157,164,164,169,169,172,176,176,170,170,164,164,157,157,153,153,150,150,146,146,151,151,153,155,151,155,161,165,156,158,160,164,168,172,176,176,176,175,175,171,171,168,168,162,162,157,157,156,156,160,160,162,162,163,163,162,162,159,159,152,144,144,136,130,124,124,122,122,118,118,123,126,126
Dark animica,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,17340,18207,18672,17738,16851,16008,15207,14446,13723,13036,12384,11764,11175,10616,10085,9580,9101,8645,8212,7801,7410,7039,6687,6352,6034,5732,5445,5172,4913,4667,4433,4211,4006,3815,3675,3644,3646,3638,3639,3672,3672,3744,3817,4001,4202,4272,4177,4024,3822,3653,3504,3514,3661,3809,3858,3822,3734,3761,3752,3801,3896,3856,3865,3815,3761,3779,3780,3822,3885,3917,3950,3897,3830,3797,3818,3865,3779,3783,3760,3798,3708,3607,3551,3454,3326,3326,3209,3146,3061,2907,2792,2761,2794,2879,2879,2983,3001,3046,3036,2950,3063,3215,3376,3376,3438,3372,3276,3190,3102,3084,3072,3121,3121,3103,3046,3015,3115,3219,3327,3327,3317,3376,3376,3319,3296,3291,3333,3338,3306,3384,3384,3541,3541,3628,3776,3722,3690,3639,3594,3594,3503,3461,3481,3460,3460,3516,3636,3636,3674,3557
