Casket-salvaging scrimshaw,475554,453465,453465,453465,453465,453465,453465,453465,453465,453465,453465,453465,453465,453465,453465,453465,453465,453465,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,432547,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,412566,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,393956,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,375894,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512,358512
Compressed anima,24403,24403,24403,24403,24403,24403,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,22066,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,20982,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,19960,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18976,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041,18041
Energy-gathering scrimshaw,228591,228591,228591,228591,228591,228591,228591,228591,239542,239542,239542,239542,239542,239542,239542,239542,239542,239542,239542,239542,239542,239542,239542,239542,239542,239542,251140,251140,251140,251140,251140,251140,251140,251140,251140,251140,251140,251140,251140,251140,251140,251140,251140,251140,261048,261048,261048,261048,261048,261048,261048,261048,261048,261048,261048,261048,261048,261048,261048,261048,261048,261048,273640,273640,273640,273640,273640,273640,273640,273640,273640,273640,273640,273640,273640,273640,273640,286864,286864,286864,299548,299548,299548,299548,299548,299548,299548,299548,299548,299548,299548,299548,299548,312775,312775,312775,312775,312775,312775,312775,312775,312775,312775,312775,312775,312775,328088,328088,328088,328088,328088,328088,328088,328088,328088,328088,328088,328088,328088,343829,343829,343829,343829,343829,343829,343829,343829,343829,343829,343829,343829,343829,360420,360420,360420,360420,360420,360420,360420,360420,360420,360420,360420,360420,360420,378047,378047,378047,378047,378047,378047,378047,378047,378047,378047,378047,378047,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,395887,414981,414981,414981,414981,414981
Gem-finding scrimshaw,390146,392950,392950,392950,392950,392950,392950,392950,392950,392950,392950,392950,405876,405876,405876,405876,405876,405876,405876,405876,405876,405876,405876,405876,412807,412807,412807,412807,412807,412807,412807,412807,397508,397508,397508,397508,394719,394719,394719,394719,394719,394719,394719,394719,382390,382390,382390,382390,382390,382390,382390,382390,382390,382390,382390,382390,363949,363949,363949,363949,363949,363949,363949,363949,363949,363949,363949,363949,357975,357975,357975,357975,357975,357975,357975,357975,357975,357975,357975,357975,357975,357975,357975,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,355565,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,340387,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667,333667
Log-splitting scrimshaw,677315,677315,677315,677315,677315,677315,677315,677315,677315,677315,677315,677315,677315,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,646326,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,640176,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,634836,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,652670,669780,669780,669780,669780
Memory-crushing scrimshaw,560099,560099,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,573071,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,595491,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,613650,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464,627464
Rock-crushing scrimshaw,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,805545,768435,768435,768435,768435,768435,768435,768435,768435,768435,768435,768435,768435,733589,733589,733589,696909,696909,696909,696909,681596,681596,681596,681596,681596,681596,678385,678385,678385,678385,678385,678385,678385,678385,678385,678385,678385,678385,702799,702799,702799,702799,702799,702799,702799,702799,702799,702799,702799,702799,702799,702799,702799,697869,697869,697869,697869,697869,697869,697869,697869,697869,697869,697869,697869,697869,697869,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,692649,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,721457,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,735775,753757,753757
Scrimshaw of attack,1511945,1511945,1511945,1511945,1453216,1453216,1453216,1453216,1453216,1453216,1453216,1453216,1453216,1453216,1392280,1392280,1392280,1392280,1392280,1392280,1392280,1392280,1392280,1392280,1392280,1392280,1392280,1392280,1392280,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1333792,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1276857,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1221827,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1169859,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1120192,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015,1084015
Scrimshaw of cruelty,1537470,1488101,1488101,1458158,1458158,1467926,1467926,1447112,1447112,1429517,1429517,1471693,1471693,1516547,1516547,1495398,1495398,1512778,1512778,1462629,1462629,1436664,1436664,1436811,1401385,1401385,1383578,1383578,1433896,1487246,1487246,1479226,1479226,1479226,1451900,1451900,1468403,1468403,1521708,1510165,1510165,1535757,1569236,1569236,1596648,1596648,1674781,1674781,1758521,1758521,1841967,1841967,1855986,1855986,1850471,1843035,1843035,1830130,1830130,1863727,1863727,1864037,1864037,1853149,1853149,1893784,1893784,1933328,1933328,1913073,1913073,1926800,1926800,1987120,1987120,1987120,2054841,2054841,2009285,1947582,1871499,1813425,1757512,1696390,1696390,1650312,1650312,1637936,1637936,1672087,1672087,1737780,1737780,1798392,1856546,1856546,1856546,1942007,1942007,2028311,2028311,2123379,2123379,2221169,2221169,2326205,2326205,2434785,2434785,2533715,2533715,2633783,2633783,2633715,2633715,2633715,2698989,2698989,2791374,2791374,2763778,2763778,2747542,2747542,2747542,2833812,2833812,2833812,2945768,2945768,3045308,3045308,2989223,2989223,2989223,2919951,2919951,2919951,2949009,2949009,2949009,3050618,3050618,3050618,3058518,3058518,2985679,2985679,2985679,2961803,2961803,2961803,3034159,3034159,3034159,3122433,3122433,2973378,2973378,2973378,2851247,2851247,2851247,2845432,2845432,2845432,2946155,2946155,2876507,2876507,2876507,2841638,2841638,2841638,2841638,2919567,2919567,2919567,2884879,2884879
Scrimshaw of magic,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1449989,1436395,1436395,1436395,1436395,1436395,1436395,1436395,1436395,1436395,1436395,1436395,1436395,1397460,1397460,1397460,1397460,1397460,1397460,1397460,1397460,1397460,1397460,1397460,1397460,1397460,1397460,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1336028,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1340118,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1389164,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1452544,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095,1521095
