Acne potion,600,603,603,603,603,603,612,612,612,612,612,636,636,636,636,636,668,668,668,668,667,667,667,667,667,652,652,652,652,672,672,672,672,672,698,698,698,698,698,698,705,705,705,705,705,701,701,701,701,701,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,702,702,702,702,702,702,703,703,703,703,703,703,683,683,683,683,683,660,660,660,660,660,660,652,652,652,652,652,652,669,669,669,669,669,669,696,696,696,696,696,696,696,731,731,731,731,731,768,768,768,768,768,768,797,797,797,797,797,837,837,837,837,837,879,879,879,879,879,921,921,921,921,968,968,968,968,968,980,980,980,980,1025,1025,1025,1025,1025,1018,1018,1018,1018,1005,1005,1005,1005,1034,1034,1034,1034,1034,1059,1059,1059,1059,1059,1037,1037,1037,1037,1037,1066,1066,1066,1066
Aggression flask (1),9138,9138,9138,9138,9138,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9493,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,9810,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10145,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10412,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,10852,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,11657,12105,12105
Aggression flask (2),7594,7594,7594,7594,7594,7594,7594,7594,7594,7594,7594,7594,7594,7594,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,7951,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8277,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8535,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,8833,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9132,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483,9483
Aggression flask (3),10429,10429,10429,10429,10429,10429,10429,10429,10429,10429,10429,10429,10429,10429,10890,10890,10890,10890,10890,10890,10890,10890,10890,10890,10890,10890,10890,10890,10890,10890,10890,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11350,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,12291,12291,12291,12291,12291,12291,12291,12291,12291,12291,12291,12291,12291,12291,12291,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,12813,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13324,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,13871,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,14466,15113,15113,15113,15113,15113,15113,15113
Aggression flask (4),15353,15353,15353,15353,15353,15353,15353,15353,15353,15918,15918,15918,15918,15918,15918,15918,15918,15918,15918,15918,15918,15918,16509,16509,16509,16509,16509,16509,16509,16509,16509,16509,16509,17233,17233,17233,17233,17233,17233,17233,17233,17233,17233,17233,17233,18048,18048,18048,18048,18048,18048,18048,18048,18048,18048,18048,18048,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,19639,19639,19639,19639,19639,19639,19639,19639,19639,19639,19639,19639,20530,20530,20530,20530,20530,20530,20530,20530,20530,20530,20530,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,21362,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,22090,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23015,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,23888,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,24680,25757,25757,25757,25757,25757,25757,25757,25757,25757,25757
Aggression flask (5),89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,89277,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,92251,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,93215,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,91797,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90841,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698,90698
Aggression flask (6),95835,96474,100861,100861,101539,104112,105992,107275,103485,102310,102503,104017,103933,101132,99607,100278,99117,98664,98176,97699,97681,97123,97014,95075,94704,94523,97002,99457,99827,100944,99906,97109,94449,93840,94315,95810,97298,99450,97819,100044,99488,99196,98085,100039,100943,101314,99731,103565,102702,102934,101749,101397,101436,100979,100398,101637,102894,103274,103009,103570,103706,103199,102848,103638,108674,108198,104808,103102,102678,102818,102818,104018,104507,104051,103538,102783,102689,105269,102923,104346,106288,106098,106489,108723,113229,116154,115766,115381,113448,111908,112276,111480,111480,111325,108478,107831,105983,105517,107662,108342,109678,107435,105638,105062,104486,103862,102601,103141,107075,107516,105793,104752,105123,105044,106051,106018,105847,105634,105172,105033,106951,108632,105694,104924,104924,104006,103118,102955,103847,102828,102200,102127,102081,102081,103932,105194,104917,103466,103134,103750,108005,105566,105566,106443,105491,104554,104394,103703,103936,103318,102650,101798,101513,101581,101475,101973,102596,103694,101780,101206,101148,100866,100866,100736,100850,101356,102271,102815,103308,103308,104973,106348,107498,106871,106544,105462,103824,103824,104222,103731
Aggression potion (1),15278,15278,15278,15278,15278,15278,15278,15278,15238,15238,15238,15238,15238,15238,15238,15238,15238,15238,15238,15238,15238,15238,15238,15517,15517,15517,15517,15517,15517,15517,15517,15517,15517,15517,15517,15517,15517,15517,15517,15050,15050,15050,15050,15050,15050,15050,15050,15050,15050,15050,15050,15050,15050,15050,15229,15229,15229,15229,15229,15229,15229,15229,15229,15229,15229,15229,15229,15229,15229,15229,15579,15579,15579,15579,15579,15579,15579,15579,15579,15579,15579,15579,15579,15579,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,15742,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16004,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16430,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16580,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783,16783
Aggression potion (2),28976,28976,28976,28976,28976,28976,28976,28976,28976,28976,29548,29548,29548,29548,29548,29548,29548,29548,29548,29548,29548,29548,29548,29548,29548,29548,29548,29548,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30046,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30660,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,30995,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,31562,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32039,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32666,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722,32722
Aggression potion (3),44121,44786,44786,44786,44786,46524,46524,46524,48381,48381,48381,48293,48293,48293,48293,46823,46823,46823,46823,46823,45144,45144,45144,45144,44360,44360,44360,44360,43885,43885,43885,44938,44938,44938,44938,44938,43367,43367,43367,43367,44755,44755,44755,45237,45237,45237,45771,45771,45771,46181,46181,46181,46353,46353,46353,46353,45862,45862,45862,47038,47038,47038,47038,47312,47312,47312,47312,47958,47958,47958,47958,48282,48282,48282,47251,47251,47251,47315,47315,47315,46741,46741,46741,47560,47560,47560,49346,49346,49346,51105,51105,51105,51105,51683,51683,51683,51683,51366,51366,51366,51366,49964,49964,49964,49964,49964,49306,49306,49306,49306,48249,48249,48249,48249,48014,48014,48014,48014,48014,48219,48219,48219,48219,48930,48930,48930,48930,48930,48930,48259,48259,48259,48259,48259,47265,47265,47265,47265,47934,47934,47934,47934,47934,48121,48121,48121,48121,48121,48204,48204,48204,48204,48204,46844,46844,46844,46844,46485,46485,46485,46485,46485,46813,46813,46813,46813,47064,47064,47064,47064,47064,47475,47475,47475,47475,47475,47907,47907,47907,47907
