Ancient cloak,268905,268905,268905,281576,281576,281576,281576,281576,281576,281576,295047,295047,295047,295047,295047,295047,295047,295047,309401,309401,309401,309401,309401,309401,309401,309401,324844,324844,324844,324844,324844,324844,324844,340553,340553,340553,340553,340553,340553,340553,357051,357051,357051,357051,357051,357051,357051,357051,374712,374712,374712,374712,374712,374712,374712,374712,392666,392666,392666,392666,392666,392666,392666,411688,411688,411688,411688,411688,411688,411688,411688,431491,431491,431491,431491,431491,431491,431491,431491,452500,452500,452500,452500,452500,452500,452500,452500,472389,472389,472389,472389,472389,472389,472389,472389,495790,495790,495790,495790,495790,495790,495790,495790,520223,520223,520223,520223,520223,520223,520223,520223,520223,520223,545162,545162,545162,545162,545162,545162,545162,545162,545162,558308,558308,558308,558308,558308,558308,558308,558308,558308,558308,542970,542970,542970,542970,542970,542970,542970,542970,542970,542970,542970,543751,543751,543751,543751,543751,543751,543751,543751,543751,543751,528543,528543,528543,528543,528543,528543,528543,528543,528543,528543,528543,505972,505972,505972,505972,505972,505972,505972,505972,505972,505972,501018,501018,501018,501018,501018,501018
Ancient crozier,276285,276285,289688,289688,289688,289688,289688,289688,289688,303629,303629,303629,303629,303629,303629,303629,303629,318365,318365,318365,318365,318365,318365,318365,332957,332957,332957,332957,332957,332957,332957,349195,349195,349195,349195,349195,349195,349195,366176,366176,366176,366176,366176,366176,366176,383852,383852,383852,383852,383852,383852,383852,383852,401934,401934,401934,401934,401934,401934,401934,419927,419927,419927,419927,419927,419927,419927,419927,419927,440238,440238,440238,440238,440238,440238,440238,440238,461577,461577,461577,461577,461577,461577,461577,461577,461577,461577,484502,484502,484502,484502,484502,484502,484502,484502,484502,508112,508112,508112,508112,508112,508112,508112,508112,508112,527523,527523,527523,527523,527523,527523,527523,527523,527523,542869,542869,542869,542869,542869,542869,542869,542869,542869,542869,549461,549461,549461,549461,549461,549461,549461,549461,549461,549461,549461,538924,538924,538924,538924,538924,538924,538924,538924,538924,538924,538924,535009,535009,535009,535009,535009,535009,535009,535009,535009,535009,535009,520802,520802,520802,520802,520802,520802,520802,520802,520802,520802,520802,506979,506979,506979,506979,506979,506979,506979,506979,506979,506979,506979,498448
Ancient mitre,254975,254975,254975,266762,266762,266762,266762,266762,266762,266762,266762,279659,279659,279659,279659,279659,279659,279659,279659,293098,293098,293098,293098,293098,293098,293098,293098,307449,307449,307449,307449,307449,307449,307449,307449,307449,322429,322429,322429,322429,322429,322429,322429,322429,338255,338255,338255,338255,338255,338255,338255,338255,338255,338255,354755,354755,354755,354755,354755,354755,354755,354755,371892,371892,371892,371892,371892,371892,371892,371892,371892,371892,389317,389317,389317,389317,389317,389317,389317,389317,389317,389317,408068,408068,408068,408068,408068,408068,408068,408068,427668,427668,427668,427668,427668,427668,427668,427668,427668,448244,448244,448244,448244,448244,448244,448244,448244,448244,448244,448244,470201,470201,470201,470201,470201,470201,470201,470201,470201,470201,482462,482462,482462,482462,482462,482462,482462,482462,482462,482462,482462,496755,496755,496755,496755,496755,496755,496755,496755,496755,496755,496755,496755,515289,515289,515289,515289,515289,515289,515289,515289,515289,515289,515289,515289,506737,506737,506737,506737,506737,506737,506737,506737,506737,506737,506737,506737,506737,494005,494005,494005,494005,494005,494005,494005,494005,494005,494005,494005,489969
Ancient page 1,116549,116549,113475,113475,113475,113475,113475,113475,113475,110603,110603,110603,110603,110603,110603,112016,112016,112016,112016,112016,112016,112016,107805,107805,107805,107805,107805,104946,104946,104946,104946,104946,104946,104946,101707,101707,101707,101707,101707,101707,97411,97411,97411,97411,97411,93815,93815,93815,93815,93815,93815,90253,90253,90253,90253,90253,88551,88551,88551,88551,88551,86879,86879,86879,86879,86879,86879,85069,85069,85069,85069,85069,85069,85355,85355,85355,85355,85355,85355,85355,82978,82978,82978,82978,82978,82978,82214,82214,82214,82214,82214,82171,82171,82171,82171,82171,82171,82171,81203,81203,81203,81203,81203,81203,81234,81234,81234,81234,81234,81234,83277,83277,83277,83277,83277,83277,83007,83007,83007,83007,83007,83007,83156,83156,83156,83156,83156,83156,85178,85178,85178,85178,85178,85178,87329,87329,87329,87329,87329,87329,89697,89697,89697,89697,89697,89697,92721,92721,92721,92721,92721,92721,92731,92731,92731,92731,92731,92731,92731,93915,93915,93915,93915,93915,93915,93915,97537,97537,97537,97537,97537,97537,97537,100521,100521,100521,100521,100521,100521,100521
Ancient page 2,96645,95141,95141,95141,95141,95141,95141,95141,92779,92779,92779,92779,92779,92779,93999,93999,93999,93999,93999,93999,93999,93220,93220,93220,93220,93220,92241,92241,92241,92241,92241,92241,92241,91111,91111,91111,91111,91111,91111,91111,87213,87213,87213,87213,87213,85242,85242,85242,85242,85242,85242,85242,83350,83350,83350,83350,83350,83350,81532,81532,81532,81532,81532,81532,78615,78615,78615,78615,78615,78693,78693,78693,78693,78693,78693,77915,77915,77915,77915,77915,77915,77915,76018,76018,76018,76018,76018,76018,74960,74960,74960,74960,74960,74960,74401,74401,74401,74401,74401,74401,74977,74977,74977,74977,74977,74977,75419,75419,75419,75419,75419,75419,76211,76211,76211,76211,76211,76211,76211,76211,76211,76211,76211,76211,78847,78847,78847,78847,78847,78847,78847,82144,82144,82144,82144,82144,82144,85358,85358,85358,85358,85358,85358,85358,85944,85944,85944,85944,85944,85944,85994,85994,85994,85994,85994,85994,85994,85994,86540,86540,86540,86540,86540,86540,90156,90156,90156,90156,90156,90156,90156,90156,88742,88742,88742,88742,88742,88742,88742,87708
Ancient page 3,93264,93264,93264,91859,91859,91859,91859,91859,91859,91859,95228,95228,95228,95228,95228,95228,95228,94991,94991,94991,94991,94991,94991,94991,92506,92506,92506,92506,92506,92506,89834,89834,89834,89834,89834,89834,89834,87700,87700,87700,87700,87700,87700,84677,84677,84677,84677,84677,83759,83759,83759,83759,83759,83759,82788,82788,82788,82788,82788,80127,80127,80127,80127,80127,80127,80127,78237,78237,78237,78237,78237,78237,78237,77915,77915,77915,77915,77915,77915,77915,77915,76517,76517,76517,76517,76517,75285,75285,75285,75285,75285,75285,76061,76061,76061,76061,76061,76061,75345,75345,75345,75345,75345,75345,74246,74246,74246,74246,74246,74246,75155,75155,75155,75155,75155,75155,75284,75284,75284,75284,75284,75284,75907,75907,75907,75907,75907,75907,75907,78170,78170,78170,78170,78170,78170,78170,81704,81704,81704,81704,81704,81704,81704,83535,83535,83535,83535,83535,83535,85639,85639,85639,85639,85639,85639,85639,85639,87211,87211,87211,87211,87211,87211,87211,89629,89629,89629,89629,89629,89629,89629,89629,87641,87641,87641,87641,87641,87641,87641,86053
Ancient page 4,94421,94421,91908,91908,91908,91908,91908,91908,91908,92410,92410,92410,92410,92410,92410,95169,95169,95169,95169,95169,95169,95169,95169,96801,96801,96801,96801,96801,96801,97569,97569,97569,97569,97569,97569,97569,97569,94096,94096,94096,94096,94096,94096,90116,90116,90116,90116,90116,90116,86437,86437,86437,86437,86437,86437,82783,82783,82783,82783,82783,82783,80645,80645,80645,80645,80645,80645,80645,79961,79961,79961,79961,79961,79961,79379,79379,79379,79379,79379,79379,79379,79379,79379,76644,76644,76644,76644,76644,76644,74332,74332,74332,74332,74332,72269,72269,72269,72269,72269,72269,72898,72898,72898,72898,72898,72898,74183,74183,74183,74183,74183,75907,75907,75907,75907,75907,75907,75907,79095,79095,79095,79095,79095,79095,82264,82264,82264,82264,82264,82264,82264,84865,84865,84865,84865,84865,84865,84865,87269,87269,87269,87269,87269,87269,87269,87471,87471,87471,87471,87471,87471,87471,87113,87113,87113,87113,87113,87113,87113,87113,88688,88688,88688,88688,88688,88688,88688,90715,90715,90715,90715,90715,90715,90715,90715,89417,89417,89417,89417,89417
Ancient robe legs,283870,283870,283870,283870,283870,283870,283870,283870,297168,297168,297168,297168,297168,297168,297168,297168,297168,297168,297168,297168,297168,297168,297168,311217,311217,311217,311217,311217,311217,311217,311217,311217,311217,311217,311217,311217,311217,311217,326115,326115,326115,326115,326115,326115,326115,326115,326115,326115,326115,326115,326115,326115,326115,326115,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,341334,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,357607,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,374212,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,392025,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,409752,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065,427065
Ancient robe top,283453,283453,283453,283453,283453,283453,283453,283453,283453,296839,296839,296839,296839,296839,296839,296839,296839,296839,296839,296839,296839,296839,296839,310767,310767,310767,310767,310767,310767,310767,310767,310767,310767,310767,310767,310767,310767,310767,323437,323437,323437,323437,323437,323437,323437,323437,323437,323437,323437,323437,323437,323437,323437,323437,335373,335373,335373,335373,335373,335373,335373,335373,335373,335373,335373,335373,335373,335373,335373,335373,335373,335373,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,351093,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,368190,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,386065,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,403478,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527,421527
Ancient stole,268567,268567,280963,280963,280963,280963,280963,280963,280963,294298,294298,294298,294298,294298,294298,294298,308563,308563,308563,308563,308563,308563,308563,323211,323211,323211,323211,323211,323211,339022,339022,339022,339022,339022,339022,339022,355541,355541,355541,355541,355541,355541,355541,372871,372871,372871,372871,372871,372871,372871,372871,372871,391079,391079,391079,391079,391079,391079,391079,410124,410124,410124,410124,410124,410124,410124,410124,410124,430307,430307,430307,430307,430307,430307,430307,430307,450766,450766,450766,450766,450766,450766,450766,450766,450766,450766,473002,473002,473002,473002,473002,473002,473002,473002,496377,496377,496377,496377,496377,496377,496377,496377,496377,520347,520347,520347,520347,520347,520347,520347,520347,520347,541491,541491,541491,541491,541491,541491,541491,541491,541491,556586,556586,556586,556586,556586,556586,556586,556586,556586,556586,556586,541428,541428,541428,541428,541428,541428,541428,541428,541428,541428,541428,537503,537503,537503,537503,537503,537503,537503,537503,537503,537503,537503,528613,528613,528613,528613,528613,528613,528613,528613,528613,528613,528613,528613,507548,507548,507548,507548,507548,507548,507548,507548,507548,507548,507548,502031,502031,502031
