Anima Core body of Zamorak,9915078,9915078,9915078,9883832,9883832,9883832,9883832,9722878,9722878,9722878,9833508,9833508,9833508,9833508,9833508,10131912,10131912,10131912,10131912,10131912,10534240,10534240,10534240,10534240,10848879,10848879,10848879,10848879,10848879,10978187,10978187,10978187,10978187,10978187,10841295,10841295,10841295,10841295,10841295,10346692,10346692,10346692,10346692,10021441,10021441,10021441,9958721,9958721,9958721,9958721,9852883,9852883,9852883,9852883,9689837,9689837,9689837,9689837,9705907,9705907,9705907,9705907,9705293,9705293,9705293,9705293,9751057,9751057,9751057,9751057,9751057,9852437,9852437,9852437,9852437,9852437,10094722,10094722,10094722,10094722,10212478,10212478,10212478,10212478,10438612,10438612,10438612,10438612,10801117,10801117,10801117,10801117,11174406,11174406,11174406,11174406,11576343,11576343,11576343,11576343,11576343,11785501,11785501,11785501,11785501,11785501,11708487,11708487,11708487,11708487,11708487,11583560,11583560,11583560,11583560,11583560,11583560,11346970,11346970,11346970,11346970,11346970,11096747,11096747,11096747,11096747,11096747,11096747,10938884,10938884,10938884,10938884,10938884,10848719,10848719,10848719,10848719,10848719,10688078,10688078,10688078,10688078,10688078,10688078,10596574,10596574,10596574,10596574,10596574,10521944,10521944,10521944,10521944,10521944,10521944,10646683,10646683,10646683,10646683,10646683,10646683,10958932,10958932,10958932,10958932,10958932,10958932,11307505,11307505,11307505,11307505,11307505,11307505,11618360,11618360,11618360,11618360,11618360,11594191,11594191
Anima Core helm of Zamorak,9884605,10169263,10169263,10169263,10169263,10169263,10169263,10169263,10337342,10337342,10337342,10337342,10337342,10337342,10337342,10615698,10615698,10615698,10615698,10615698,10615698,10615698,10333121,10333121,10333121,10333121,10333121,10548375,10548375,10548375,10548375,10548375,10548375,10548375,10975791,10975791,10975791,10975791,10975791,10975791,10975791,10685675,10685675,10685675,10685675,10685675,10685675,10193053,10193053,10193053,10193053,10193053,10193053,10193053,9845944,9845944,9845944,9845944,9845944,9845944,9784292,9784292,9784292,9784292,9784292,9784292,9784292,9988142,9988142,9988142,9988142,9988142,9988142,9988142,10211440,10211440,10211440,10211440,10211440,10211440,10409396,10409396,10409396,10409396,10409396,10409396,10727648,10727648,10727648,10727648,10727648,10727648,10727648,11035125,11035125,11035125,11035125,11035125,11035125,11035125,11446218,11446218,11446218,11446218,11446218,11446218,11446218,11446218,11564661,11564661,11564661,11564661,11564661,11564661,11564661,11564661,11419516,11419516,11419516,11419516,11419516,11419516,11419516,11153150,11153150,11153150,11153150,11153150,11153150,11153150,11153150,10945832,10945832,10945832,10945832,10945832,10945832,10945832,10945832,10945832,10776752,10776752,10776752,10776752,10776752,10776752,10776752,10776752,10835557,10835557,10835557,10835557,10835557,10835557,10835557,10835557,10835557,11141678,11141678,11141678,11141678,11141678,11141678,11141678,11141678,11539863,11539863,11539863,11539863,11539863,11539863,11539863,11539863,11539863,11539863,11534510,11534510,11534510,11534510,11534510
Anima Core legs of Zamorak,9893119,9893119,9961792,9961792,9961792,9961792,9961792,9762886,9762886,9762886,9808328,9808328,9808328,9808328,9808328,10047209,10047209,10047209,10047209,10047209,10332708,10332708,10332708,10332708,10641835,10641835,10641835,10641835,10641835,11033269,11033269,11033269,11033269,11033269,10990747,10990747,10990747,10990747,10990747,10462491,10462491,10462491,10462491,9986352,9986352,9986352,9986352,9818555,9818555,9818555,9818555,9818555,9749687,9749687,9749687,9749687,9749687,9861075,9861075,9861075,9861075,9698692,9698692,9698692,9698692,9698692,9669599,9669599,9669599,9669599,9669599,9867232,9867232,9867232,9867232,9867232,10127840,10127840,10127840,10127840,10269483,10269483,10269483,10269483,10589905,10589905,10589905,10589905,11025825,11025825,11025825,11025825,11025825,11381539,11381539,11381539,11381539,11381539,11724017,11724017,11724017,11724017,11724017,11734425,11734425,11734425,11734425,11734425,11738153,11738153,11738153,11738153,11738153,11738153,11582533,11582533,11582533,11582533,11582533,11582533,11582533,11195246,11195246,11195246,11195246,11195246,11195246,10926708,10926708,10926708,10926708,10926708,10707885,10707885,10707885,10707885,10707885,10707885,10637019,10637019,10637019,10637019,10637019,10637019,10869347,10869347,10869347,10869347,10869347,11151673,11151673,11151673,11151673,11151673,11151673,11274269,11274269,11274269,11274269,11274269,11274269,11288960,11288960,11288960,11288960,11288960,11288960,11503626,11503626,11503626,11503626,11503626,11503626,11577235,11577235,11577235,11577235,11577235,11577235,11512018
Archer helm,45703,45703,45703,45703,45703,45311,45311,45311,45311,45512,45512,45512,45512,45512,45512,45639,45639,45639,45639,45639,45199,45199,45199,45199,45243,45243,45243,45243,45243,45337,45337,45337,45337,45337,45337,45656,45656,45656,45656,45656,45086,45086,45086,45086,45669,45669,45669,45669,45669,45350,45350,45350,45350,45548,45548,45548,45548,45548,45753,45753,45753,45753,45753,46018,46018,46018,46018,46018,45842,45842,45842,45842,45842,46185,46185,46185,46185,46201,46201,46201,46201,46201,46201,45654,45654,45654,45654,45654,46122,46122,46122,46122,46122,45261,45261,45261,45261,45671,45671,45671,45671,45671,45661,45661,45661,45661,45661,45661,45735,45735,45735,45735,45735,45735,45091,45091,45091,45091,45091,45091,45091,45236,45236,45236,45236,45236,45236,45702,45702,45702,45702,45702,45702,45876,45876,45876,45876,45876,45876,45876,45982,45982,45982,45982,45982,45982,45982,45022,45022,45022,45022,45022,45022,45236,45236,45236,45236,45236,45236,45519,45519,45519,45519,45519,45519,45519,45824,45824,45824,45824,45824,45824,45274,45274,45274,45274,45274,45274,46025,46025
Armadyl armour set,16312577,16312577,16312577,16128758,16128758,16128758,15878444,15878444,15878444,15946169,15946169,15946169,15946169,16134179,16134179,16134179,16277493,16277493,16277493,16632252,16632252,16632252,17061146,17061146,17061146,17002742,17002742,17002742,16847862,16847862,16847862,16686756,16686756,16686756,16686756,16163762,16163762,16163762,16163762,15941367,15941367,15941367,15941367,15936351,15936351,15936351,15955465,15955465,15955465,15955465,15644081,15644081,15644081,15644081,15599458,15599458,15599458,15599458,15600067,15600067,15600067,15600067,15469627,15469627,15469627,15295341,15295341,15295341,15352489,15352489,15352489,15352489,15315078,15315078,15315078,15315078,15487529,15487529,15487529,15487529,15857130,15857130,15857130,16330009,16330009,16330009,16923432,16923432,16923432,17438675,17438675,17438675,17438675,17712230,17712230,17712230,17780237,17780237,17780237,17780237,17916342,17916342,17916342,17916342,17916342,17872769,17872769,17872769,17872769,17718592,17718592,17718592,17718592,17386541,17386541,17386541,17386541,17386541,16977958,16977958,16977958,16977958,16305087,16305087,16305087,16305087,16305087,15579323,15579323,15579323,15579323,15069000,15069000,15069000,15069000,14784763,14784763,14784763,14784763,14657228,14657228,14657228,14657228,14657228,14809300,14809300,14809300,14809300,15375170,15375170,15375170,15375170,15375170,15793990,15793990,15793990,15793990,16238248,16238248,16238248,16238248,16238248,16238248,16497062,16497062,16497062,16497062,16497062,17074925,17074925,17074925,17074925,17074925,17618426,17618426,17618426,17618426,17618426,17756774,17756774
Armadyl boots,2576825,2606888,2604037,2604037,2613864,2610093,2642230,2662039,2700974,2739961,2782595,2792808,2819363,2845020,2854270,2863676,2863676,2875483,2875483,2902893,2941236,2969300,2971429,2960260,2917685,2917685,2877775,2837687,2837687,2791257,2791257,2729478,2623830,2494024,2372548,2284379,2190679,2107311,2074299,2143545,2212884,2276921,2289142,2327452,2386272,2388589,2417832,2413676,2397081,2361172,2319609,2303914,2349398,2330799,2376716,2405321,2427346,2416942,2426034,2407344,2412110,2395695,2417091,2414861,2414861,2432609,2429004,2458944,2458944,2481619,2481619,2498088,2522711,2538313,2544193,2554583,2555023,2524483,2524483,2451493,2410123,2419538,2443636,2479276,2479276,2531345,2585316,2643653,2696325,2755261,2792596,2822536,2822536,2852180,2881976,2881976,2900943,2914806,2911207,2903012,2889402,2882144,2875246,2875246,2853049,2853049,2828869,2782771,2753145,2753145,2740545,2725085,2725085,2665877,2625541,2625541,2590808,2526177,2452848,2377073,2377073,2327446,2291137,2274309,2274309,2258913,2235952,2235952,2219787,2192184,2192184,2202120,2209673,2209673,2220950,2220950,2224195,2241418,2250752,2250752,2275270,2282329,2282329,2273703,2283714,2283714,2318617,2339890,2377218,2377218,2408585,2408585,2437494,2465615,2465615,2498529,2520450,2537211,2537211,2572425,2572425,2603305,2603305,2644370,2659729,2681345,2681345,2697240,2697240,2699591,2735606,2776731,2776731,2814936,2814936,2862331,2899561,2899561,2926067,2978123
Armadyl buckler,2051170,2051170,2062505,2062505,2071264,2071264,2081529,2081529,2060036,2028063,2028063,2022341,2022341,2034616,2034616,2045706,2045706,2060787,2060787,2064376,2064376,2083600,2083600,2088005,2087779,2087779,2084553,2084553,2072167,2077742,2077742,2061253,2061253,2061253,2024522,2024522,1992592,1992592,1995244,1995244,2003077,2003077,2005644,2005644,2016137,2016137,2032562,2032562,2045653,2045653,2029245,2029245,2034135,2034135,2047684,2047684,2058024,2058024,2071499,2071499,2083449,2083449,2083449,2112218,2112218,2128191,2128191,2147693,2147693,2155182,2155182,2155182,2176888,2176888,2183341,2183341,2160440,2160440,2160440,2120118,2083050,2083050,2108789,2108789,2119356,2133827,2133827,2164655,2164655,2182854,2182854,2211547,2211547,2211547,2239384,2239384,2276085,2276085,2294497,2294497,2319804,2319804,2331239,2331239,2331239,2336055,2336055,2337190,2337190,2346552,2346552,2324045,2324045,2280341,2280341,2280341,2248718,2248718,2208353,2208353,2208353,2143654,2143654,2104977,2104977,2104977,2090682,2090682,2090682,2078724,2078724,2078724,2081876,2081876,2081876,2072885,2072885,2072885,2063768,2063768,2063768,2064299,2064299,2064299,2032373,2032373,2032373,2053536,2053536,2053536,2047355,2047355,2047355,2057520,2057520,2057520,2074964,2074964,2074964,2088690,2088690,2088690,2118861,2118861,2128643,2128643,2128643,2151052,2151052,2151052,2163322,2163322,2180346,2180346,2180346,2202919,2202919,2202919,2228898,2228898
Armadyl chainskirt,2969506,2980285,2940432,2940432,2949418,2979830,2973372,2936685,2915134,2957891,2991811,3007861,3005584,3034026,3058821,3086092,3086092,3098478,3098478,3109418,3153539,3153539,3200792,3253542,3281329,3287147,3305545,3279796,3279796,3239172,3239172,3225525,3225525,3084252,2930039,2930039,2785440,2686838,2608827,2680293,2714093,2794501,2829453,2863294,2882848,2888759,2888363,2848025,2820170,2767956,2740785,2745738,2768179,2815917,2797612,2815236,2800005,2788743,2773699,2772674,2818157,2800610,2813073,2802981,2802981,2810388,2822108,2846733,2846733,2866152,2866152,2889903,2917247,2938191,2958190,2969693,2984244,2955286,2955286,2927784,2948079,2977189,3008644,3060389,3060389,3123142,3123142,3185675,3248864,3310880,3335914,3368293,3368293,3376735,3421901,3421901,3447407,3444584,3451655,3456562,3442364,3437576,3415087,3415087,3395181,3395181,3343211,3269849,3208567,3208567,3204839,3178291,3178291,3108939,3079409,3079409,3042976,2974166,2898975,2818572,2818572,2769249,2740695,2713656,2713656,2713986,2712116,2712116,2710369,2709052,2709052,2722814,2775889,2775889,2795161,2795161,2812349,2812349,2829853,2829853,2861461,2900417,2900417,2911038,2929409,2929409,2980497,3024070,3090255,3090255,3142486,3142486,3198626,3198626,3251152,3296728,3345784,3393751,3393751,3447842,3447842,3480474,3480474,3521222,3560822,3560822,3576840,3595395,3595395,3583828,3609242,3643124,3643124,3685121,3685121,3742002,3791375,3791375,3848912,3908368
Armadyl chestplate,2967472,2950138,2904416,2904416,2922316,2952958,2959588,2937219,2926756,2964069,2985256,3021400,3019148,3018587,3026564,3042834,3042834,3053042,3073019,3093041,3133808,3164635,3208907,3233934,3276049,3299116,3321878,3344618,3344618,3317685,3317685,3278942,3150271,3019636,2875187,2875187,2756096,2694711,2620532,2662901,2689377,2670485,2658009,2670690,2732702,2724234,2733309,2732752,2734727,2717784,2698866,2719662,2764442,2742040,2769233,2811033,2822082,2811665,2807400,2802265,2787394,2759923,2758388,2763539,2763539,2752680,2751931,2774421,2774421,2801000,2801000,2828066,2854928,2884662,2912227,2937225,2951800,2919741,2919741,2894404,2917015,2941728,2982558,3034951,3034951,3099609,3099609,3165274,3225430,3282796,3290674,3310642,3310642,3331073,3354101,3354101,3383164,3381740,3395137,3409017,3401739,3407745,3387625,3387625,3369150,3301037,3265752,3216606,3186249,3186249,3180044,3144719,3144719,3095978,3069381,3069381,3038991,3006445,2938255,2865750,2865750,2816782,2774893,2743639,2743639,2736783,2711157,2711157,2701897,2686823,2686823,2691207,2731490,2731490,2753316,2753316,2776126,2776126,2803141,2803141,2831341,2861970,2861970,2867142,2882586,2882586,2938065,2970575,3016805,3016805,3058929,3058929,3109801,3109801,3159300,3216417,3268472,3314139,3314139,3363741,3363741,3397750,3397750,3442141,3482633,3500164,3500164,3542270,3542270,3549997,3580439,3618484,3618484,3662806,3662806,3719990,3762151,3762151,3796343,3843995
Armadyl gloves,2263872,2294300,2291478,2291478,2284679,2284679,2300070,2318756,2344567,2377189,2404132,2404132,2426638,2438949,2438949,2464610,2464610,2496424,2496424,2525400,2568041,2568041,2576748,2554129,2529465,2529465,2518347,2476105,2476105,2443498,2443498,2399833,2399833,2300892,2188662,2188662,2108025,2036639,2060684,2077066,2130935,2166990,2173268,2187971,2225485,2232417,2290502,2304453,2309743,2309743,2264835,2212824,2238709,2270831,2299109,2362816,2383138,2367368,2391573,2406290,2406290,2423623,2423623,2430666,2430666,2436145,2436145,2455174,2455174,2474622,2474622,2498443,2498443,2522590,2522590,2523273,2528569,2490724,2490724,2452266,2407960,2432118,2443847,2472568,2472568,2510362,2510362,2564689,2564689,2617146,2645075,2677205,2677205,2712181,2748305,2748305,2776865,2776865,2805669,2810922,2810922,2807535,2804932,2804932,2764170,2764170,2719511,2658681,2603897,2603897,2559955,2513547,2513547,2443562,2385480,2385480,2329618,2265755,2265755,2182017,2182017,2119470,2064111,2023700,2023700,1987634,1962906,1962906,1960803,1947690,1947690,1951753,1970178,1970178,1991562,1991562,2015758,2015758,2028372,2028372,2039661,2049039,2049039,2050041,2050041,2060782,2060782,2110343,2151485,2151485,2179384,2179384,2219332,2219332,2252491,2252491,2270981,2270981,2284362,2284362,2298750,2325339,2325339,2340756,2337871,2337871,2352480,2369579,2369579,2385222,2428281,2449009,2449009,2484742,2484742,2520986,2520986,2553274,2553274,2595600
