Adamant 2h crossbow,7004,7004,7004,7004,7032,7032,7032,7032,7032,7032,7032,7032,6969,6969,6969,6969,6969,6969,6969,6969,6772,6772,6772,6772,6772,6772,6772,6772,6863,6863,6863,6863,6863,6863,6863,6863,6863,6913,6913,6913,6913,6913,6913,6913,6913,6913,6977,6977,6977,6977,6977,6977,6977,6977,6977,7247,7247,7247,7247,7247,7247,7247,7247,7247,7247,7568,7568,7568,7568,7568,7568,7568,7568,7568,7850,7850,7850,7850,7850,7850,7850,7850,7850,8194,8194,8194,8194,8194,8194,8194,8194,8194,8194,8194,8446,8446,8446,8446,8446,8446,8446,8446,8446,8446,8446,8669,8669,8669,8669,8669,8669,8669,8669,8669,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9365,9365,9365,9365,9365,9365,9365,9365,9365,9365,9365,9365,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10211,10367,10367
Adamant crossbow,5509,5617,5617,5826,5826,6005,6005,6158,6158,6040,6040,6040,5889,5889,5887,5887,5719,5719,5665,5665,5790,5790,5790,5920,6076,6076,6227,6227,6227,6412,6412,6476,6476,6476,6524,6524,6524,6505,6505,6762,6762,6762,6460,6460,6202,6202,6449,6449,6624,6624,6624,6711,6711,6971,6971,7201,7201,7201,7127,7127,7284,7284,7284,7187,7187,7187,7148,7148,7148,7423,7423,7423,7606,7606,7888,7888,7884,7884,7884,8000,8000,7960,7960,8007,8007,7989,7989,8187,8187,8187,8140,8140,8140,8014,8014,8309,8309,8309,8354,8354,8354,8389,8389,8382,8382,8382,8373,8373,8373,8268,8268,8502,8502,8502,8472,8472,8472,8516,8516,8516,8772,8772,8590,8590,8590,8417,8417,8417,8499,8499,8586,8586,8957,8957,8957,9072,9072,9072,9064,9064,9064,8906,8906,8906,8906,8905,8905,8905,8652,8652,8652,8451,8451,8451,8500,8500,8500,8503,8503,8503,8503,8416,8416,8416,8341,8341,8341,8042,8042,8042,8037,8037,8037,7707,7707,7707,8054,8054,8054,8133
Armadyl crossbow,3854182,3745460,3745460,3643042,3643042,3588506,3588506,3511862,3511862,3561815,3561815,3650013,3650013,3627516,3627516,3693277,3693277,3737039,3737039,3806637,3806637,3865820,3865820,3931647,3931647,3997521,3997521,4056815,4056815,4109777,4109777,4158560,4158560,4158560,4141120,4141120,4141120,4032142,4032142,3894696,3894696,3742228,3742228,3584793,3451572,3451572,3319173,3319173,3184485,3184485,3089722,3089722,2978837,2978837,2891846,2891846,2861594,2861594,2851543,2851543,2845649,2845649,2845649,2802817,2802817,2774213,2774213,2785711,2785711,2819207,2819207,2819207,2842308,2842308,2880954,2880954,2912972,2912972,2968457,2968457,3030602,3030602,3103714,3103714,3103714,3166979,3166979,3227596,3227596,3294976,3294976,3327443,3327443,3327443,3348798,3348798,3348798,3376598,3376598,3378916,3378916,3378916,3364056,3364056,3364056,3334712,3334712,3265386,3265386,3265386,3263061,3263061,3263061,3253182,3253182,3253182,3251363,3251363,3251363,3204923,3204923,3167187,3167187,3167187,3119908,3119908,3119908,3091622,3091622,3063430,3063430,3063430,3056188,3056188,3056188,3060134,3060134,3060134,3067193,3067193,3067193,3051095,3051095,3051095,3075254,3075254,3075254,3114884,3114884,3114884,3171405,3171405,3171405,3235295,3235295,3235295,3291332,3291332,3291332,3363417,3363417,3363417,3427190,3427190,3459405,3459405,3459405,3459150,3459150,3459150,3439426,3439426,3464510,3464510,3464510,3496287,3496287,3496287,3520303,3520303
Ascension crossbow,86459377,86459377,86192943,86192943,86192943,85117167,85117167,84870391,84870391,84981601,84981601,84694651,84694651,84462599,84462599,84357356,84357356,84836527,84836527,86279872,86279872,86106826,86106826,85957970,85833322,85833322,85773687,85773687,86003763,89376206,89376206,92293536,92293536,89438778,85159921,85159921,80901924,80901924,76946005,76946005,77101905,77101905,79076999,79076999,81200861,81200861,82439030,82439030,82684522,82684522,82974539,82974539,82995995,82995995,82746739,82746739,83336468,83336468,84140447,84140447,85813897,85813897,85813897,85343132,85343132,84833847,84833847,84547347,84547347,84306596,84306596,84306596,83911481,83911481,83563616,83563616,82939327,82939327,82939327,82388544,82388544,82732731,82732731,85019244,85019244,85557470,85557470,86576495,86576495,88688704,88688704,90460083,90460083,90460083,90901023,90901023,90091090,90091090,89781021,89781021,89765105,89765105,89385672,89385672,89385672,89800954,89800954,90327709,90327709,89891872,89891872,89118547,89118547,88385342,88385342,87952350,87952350,87181264,87181264,86842306,86842306,87447013,87447013,87996489,87996489,87996489,88596238,88596238,88596238,89288828,89288828,89288828,89349431,89349431,89349431,89199438,89199438,89199438,88172029,88172029,88172029,87539601,87539601,87539601,86975661,86975661,86141750,86141750,86255684,86255684,86410837,86410837,86410837,86617721,86617721,85867068,85867068,85498125,85498125,85498125,85320150,85320150,85320150,85038689,85038689,86040190,86040190,85720658,85720658,85720658,85639238,85639238,85943697,85943697,85943697,86056081,86056081,86056081,85832376,85832376
Black 2h crossbow,14537,14537,14537,14537,14537,14537,14537,14537,14537,14537,14537,14537,14537,14056,14056,14056,14056,14056,14056,14056,14056,14056,14056,14056,14056,14056,14056,14056,14056,13562,13562,13562,13562,13562,13562,13562,13562,13562,13562,13562,13562,13562,13562,13562,13403,13403,13403,13403,13403,13403,13403,13403,13403,13403,13403,13403,13403,13403,13403,13403,13403,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,13980,14547,14547,14547,14547,14547,14547,14547,14547,14547,14547,14547,14547,14547,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14382,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13971,13593,13593,13593,13593,13593,13593,13593,13593,13593
Black crossbow,249556,249556,249556,260049,260049,260049,260049,260049,260049,260049,260049,272192,272192,272192,272192,272192,272192,272192,272192,272192,272192,284911,284911,284911,284911,284911,284911,284911,284911,284911,284911,297800,297800,297800,297800,297800,297800,297800,297800,297800,297800,311617,311617,311617,311617,311617,311617,311617,311617,311617,322810,322810,322810,322810,322810,322810,322810,322810,322810,322810,338408,338408,338408,338408,338408,338408,338408,338408,338408,338408,354721,354721,354721,354721,354721,354721,354721,354721,354721,354721,371614,371614,371614,371614,371614,371614,371614,371614,371614,371614,378944,378944,378944,378944,378944,378944,378944,397026,397026,397026,397026,397026,397026,397026,397026,397026,416125,416125,416125,416125,416125,416125,416125,416125,416125,416125,435125,435125,435125,435125,435125,435125,435125,435125,435125,435125,435125,454718,454718,454718,454718,454718,454718,454718,454718,454718,454718,454718,475353,475353,475353,475353,475353,475353,475353,475353,475353,475353,475353,475353,475353,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,488559,475775,475775,475775,475775,475775,475775,475775,475775,475775,475775,475775,475775,475775,488107,488107
Blightbound crossbow,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,796204299,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,833353694,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,830615794,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,828151921,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,808154834,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,820529416,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,846635955,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169,827464169
Bolas,378,378,378,378,378,378,378,378,378,384,384,384,384,384,384,384,384,382,382,382,382,382,382,382,382,382,376,376,376,376,376,376,376,376,384,384,384,384,384,384,384,384,402,402,402,402,402,402,402,418,418,418,418,418,418,418,418,425,425,425,425,425,425,425,425,436,436,436,436,436,436,436,436,447,447,447,447,447,447,447,447,456,456,456,456,456,456,456,456,475,475,475,475,475,475,475,475,488,488,488,488,488,488,488,501,501,501,501,501,501,501,501,501,505,505,505,505,505,505,505,505,505,519,519,519,519,519,519,519,519,519,519,531,531,531,531,531,531,531,531,531,531,531,540,540,540,540,540,540,540,540,540,540,540,544,544,544,544,544,544,544,544,544,544,560,560,560,560,560,560,560,560,560,560,560,575,575,575,575,575
Bronze 2h crossbow,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117
Bronze crossbow,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,1964,1964,1964,1964,1964,1964,1964,1964,1964,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2363,2363,2363,2363,2363,2363,2363
