Air talisman,486,467,473,473,462,462,440,435,435,417,412,412,411,414,414,415,415,411,411,422,428,428,445,442,440,440,443,424,424,416,416,417,417,417,408,408,410,410,406,403,403,403,399,399,390,390,381,381,392,392,400,400,380,377,395,405,405,408,421,442,442,465,465,467,467,443,425,409,409,388,388,376,389,386,386,386,393,391,391,378,380,380,390,388,388,384,384,380,380,388,388,406,406,403,395,395,398,398,397,396,396,405,413,413,429,429,439,436,436,429,416,416,420,428,428,410,410,400,400,400,400,399,414,411,411,411,411,410,410,425,425,443,466,466,490,490,474,474,457,457,442,437,437,440,440,440,440,438,441,441,431,431,412,393,380,363,345,335,335,342,342,340,340,338,333,331,331,337,337,333,333,348,348,354,354,360,360,350,345,345
Air tiara,497,499,499,499,499,494,494,494,494,496,496,496,496,496,498,498,498,498,498,486,486,486,486,507,507,507,507,510,510,510,510,528,528,528,528,528,528,506,506,506,506,482,482,482,482,486,486,486,486,486,499,499,499,499,499,474,474,474,474,450,450,450,450,427,427,427,427,408,408,408,408,408,428,428,428,428,428,434,434,434,434,434,434,441,441,441,441,441,459,459,459,459,459,479,479,479,479,498,498,498,498,498,495,495,495,495,495,495,495,495,495,495,495,519,519,519,519,519,519,542,542,542,542,566,566,566,566,566,566,578,578,578,578,578,549,549,549,549,523,523,523,523,523,523,504,504,504,504,504,504,492,492,492,492,492,492,484,484,484,484,484,484,507,507,507,507,507,499,499,499,499,499,499,503,503,503,503,503,503,503
Blood talisman,2448,2392,2392,2392,2392,2413,2413,2413,2413,2334,2334,2334,2334,2279,2279,2279,2279,2219,2219,2219,2219,2219,2219,2219,2315,2315,2315,2315,2258,2258,2258,2207,2207,2207,2207,2207,2215,2215,2215,2215,2201,2201,2201,2201,2273,2273,2273,2273,2175,2175,2175,2175,2155,2155,2155,2155,2109,2109,2109,2144,2144,2144,2144,2152,2152,2152,2152,2147,2147,2147,2147,2147,2168,2168,2168,2168,2132,2132,2132,2132,2208,2208,2208,2208,2208,2319,2319,2319,2319,2401,2401,2401,2401,2511,2511,2511,2477,2477,2477,2477,2408,2408,2408,2408,2340,2340,2340,2340,2260,2260,2260,2260,2260,2228,2228,2228,2228,2228,2159,2159,2159,2159,2247,2247,2247,2247,2247,2288,2288,2288,2288,2288,2196,2196,2196,2196,2196,2209,2209,2209,2209,2318,2318,2318,2318,2318,2321,2321,2321,2321,2398,2398,2398,2398,2398,2398,2518,2518,2518,2518,2518,2633,2633,2633,2633,2721,2721,2721,2721,2721,2742,2742,2742,2742,2742,2852,2852,2852,2852,2852
Blood tiara,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684
Body talisman,255,255,268,268,282,282,297,297,310,310,319,319,319,323,323,321,321,312,312,310,310,310,309,309,310,310,304,304,309,294,294,279,279,279,280,280,269,269,261,261,249,249,237,237,226,226,217,217,228,228,239,239,242,242,254,254,257,257,266,266,274,274,274,281,281,296,296,300,300,301,301,301,304,304,310,310,324,324,324,334,334,329,329,334,334,347,347,347,359,359,368,368,368,380,380,375,375,375,394,394,406,406,406,406,406,406,406,405,405,405,401,401,401,404,404,404,390,390,383,383,383,403,403,396,396,396,406,406,406,424,424,424,430,430,430,442,442,442,429,429,429,410,410,410,416,416,416,431,431,431,435,435,435,429,429,429,412,412,398,398,398,398,418,418,434,434,427,427,414,414,415,415,430,430,430,431,431,431,424,424
Body tiara,170,170,170,170,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
Chaos talisman,1016,1016,1062,1062,1062,1062,1099,1099,1099,1074,1074,1074,1074,1053,1053,1053,1047,1047,1047,1024,1024,1024,1013,1013,1014,1014,1014,1030,1030,1030,1035,1035,1035,1058,1058,1058,1084,1084,1084,1038,1038,1038,986,986,1013,1013,1013,1050,1050,1050,1066,1066,1066,1120,1120,1174,1174,1174,1233,1233,1233,1246,1246,1246,1257,1257,1257,1315,1315,1315,1380,1380,1380,1448,1448,1448,1505,1505,1505,1578,1578,1578,1530,1530,1530,1484,1484,1484,1473,1473,1473,1399,1399,1399,1329,1329,1329,1269,1269,1211,1211,1211,1150,1150,1150,1150,1106,1106,1106,1120,1120,1120,1120,1102,1102,1102,1102,1089,1089,1089,1089,1039,1039,1039,1039,1020,1020,1020,1020,1002,1002,1002,1002,1001,1001,1001,1029,1029,1029,1029,987,987,987,987,972,972,972,942,942,942,955,955,955,955,955,962,962,962,962,956,956,956,956,948,948,948,948,946,946,946,946,943,943,943,943,950,950,950,950,969
Chaos tiara,687,687,687,687,687,687,687,687,687,687,698,698,698,698,698,698,698,698,698,698,698,698,698,698,698,698,713,713,713,713,713,713,713,713,713,713,713,713,713,713,713,713,713,742,742,742,742,742,742,742,742,742,742,778,778,778,778,778,778,778,778,778,778,778,778,788,788,788,788,788,788,788,788,788,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,857,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,924,924,924,924,924,924,924,924,924,924,924,924,924,924
Cosmic talisman,536,532,532,532,543,543,543,567,567,567,566,566,566,559,559,559,569,569,569,595,595,595,602,602,590,590,590,561,561,561,550,550,535,535,535,529,529,529,516,516,516,494,494,494,469,469,461,461,461,451,451,451,441,441,441,446,446,446,458,458,458,440,440,440,434,434,434,443,443,443,443,432,432,416,416,416,419,419,419,404,404,391,391,391,407,407,407,393,393,393,383,383,383,379,379,379,364,364,364,362,362,362,362,362,362,362,381,381,381,401,401,401,422,422,422,416,416,416,437,437,437,459,459,459,482,482,482,507,507,507,531,531,531,531,531,531,531,511,511,511,507,507,507,503,503,503,488,488,488,471,471,471,453,453,453,434,434,434,426,426,426,409,409,409,406,406,406,391,391,391,391,381,381,381,381,388,388,388,393,393
Cosmic tiara,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,260,260
Death talisman,784,784,810,810,829,829,844,844,837,817,817,796,796,792,792,804,804,788,788,809,809,804,804,815,825,825,815,815,803,776,776,775,775,775,798,798,803,803,788,788,777,777,778,778,781,781,778,778,779,779,787,787,777,777,773,773,779,779,763,763,756,756,733,733,751,751,739,739,745,745,724,724,712,711,711,708,710,710,695,695,716,716,724,724,724,736,736,759,759,769,769,769,769,777,784,784,787,787,795,795,787,787,789,789,789,794,794,832,832,874,874,832,832,795,795,773,773,783,783,817,817,818,818,816,816,816,828,828,824,824,815,815,800,800,800,796,796,796,796,782,782,772,772,772,765,765,746,746,710,710,688,688,688,674,674,677,677,692,692,717,717,729,729,753,753,765,765,740,740,740,715,715,689,689,660,657,657,657,672,672
Death tiara,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2109,2109,2109,2109,2109,2109,2109,2109,2109,2109,2109,2109,2109,2109,2109,2109,2109,2109,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2177,2177
Draconic energy,218675,216361,213423,213423,217993,217993,214293,214293,207982,199100,189928,189928,181626,173436,173436,177827,177827,183834,183834,188547,188547,197913,197913,207809,217885,217885,222781,222781,233654,231048,231048,225904,225904,225904,232463,232463,239172,239172,248461,258322,258322,270987,284348,284348,298229,298229,296720,296720,282677,270397,257968,257968,255064,260710,267615,267764,267764,268089,270932,267822,267822,269025,269025,271832,271832,267561,267561,271042,271042,268276,268276,262222,262222,252979,252979,251307,256270,254594,254594,254594,252569,258876,271376,280806,291290,305044,313856,321541,326434,332067,317606,305424,292768,283787,274485,271089,274891,278246,282954,283702,283103,273745,264379,258249,250997,247310,238105,226246,215021,207799,211258,218176,221466,217533,209586,209586,205644,206079,205578,202715,202715,209195,207823,212377,222996,232547,239097,244401,253909,260516,264142,257919,249221,242475,238396,235882,229892,223942,219117,214219,210676,209415,209415,210192,210858,208563,213719,212247,210370,207439,204426,206355,206355,202001,199440,199349,201298,205040,204305,207013,207013,206133,206133,207316,207538,207028,208182,208541,209840,209840,212510,213780,214027,206329,199310,193174,194282,194282,190736,181898
