Accursed urn (nr),1204,1204,1204,1204,1204,1204,1204,1204,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272
Adamant hatchet,2697,2697,2686,2686,2600,2600,2582,2586,2586,2632,2657,2657,2704,2664,2664,2703,2703,2580,2580,2487,2519,2519,2591,2591,2665,2665,2747,2849,2849,2778,2778,2753,2753,2761,2761,2870,2870,2940,2940,3079,3079,3079,3222,3222,3373,3373,3373,3522,3522,3689,3689,3689,3863,3863,3863,4057,4057,4057,4212,4212,4212,4327,4327,4327,4372,4372,4372,4454,4454,4454,4454,4672,4672,4672,4881,4881,4881,5109,5109,5109,5363,5363,5363,5588,5588,5588,5588,5853,5853,5853,6119,6119,6119,6394,6394,6394,6696,6696,6696,6993,6993,6993,7320,7320,7320,7320,7643,7643,7643,7643,7913,7913,7913,7913,7841,7841,7841,7841,7841,8192,8192,8192,8192,8560,8560,8560,8560,8898,8898,8898,8898,8788,8788,8788,8788,8764,8764,8764,8764,8660,8660,8660,8660,8545,8545,8545,8545,8449,8449,8449,8449,8525,8525,8525,8525,8402,8402,8402,8677,8677,8677,8677,8583,8583,8583,8860,8860,8860,8860,8860,9128,9128,9128,9128,9158,9158,9158,9158,8816,8816
Adamant pickaxe,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6680,6348,6144,6045,6045,5975,6162,5924,6189,6189,6318,6318,6584,6850,6850,6982,6982,7234,7234,7557,7557,7875,7875,8175,8175,8440,8440,8751,8751,9077,9077,9077,9094,9094,9080,9080,9270,9270,9540,9540,9540,9824,9824,10193,10193,10583,10583,10561,10561,10669,10669,11010,11010,11010,11157,11157,11157,11566,11566,12048,12048,12048,12016,12016,12012,12012,12012,12332,12332,12585,12585,12983,12983,12983,12983,13482,13482,13482,13941,13941,14207,14207,14207,14150,14150,14150,14578,14578,14578,14867,14867,14684,14684,14684,14890,14890,14890,15360,15360,15360,15470,15470,15470,15425,15425,15425,15162,15162,15162,15009,15009,15009,14932,14932,14932,14855,14855,14855,14765,14765,14765,14758,14758,14758,14762,14762,14967,14967,14967,14967,14687,14687,14687,15014,15014,15014,15031,15031,15031,15221,15221,15221,15066,15066,15066,15119,15119,15119,15131
Adamant pickaxe + 1,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835,13835,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14366,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,14882,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,15478,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120,16120
Adamant pickaxe + 2,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,27014,26845,26656,26656,26324,26324,26395,26888,26888,26636,26636,26175,26007,26007,25628,25628,25520,25520,24800,24800,24475,24475,23844,23844,23067,23067,22600,22600,21965,21965,21965,21596,21596,21596,21110,21110,21110,20639,20639,20639,20334,20334,19999,19999,19735,19735,19735,19446,19446,19033,19033,19033,19046,19046,19046,18953,18953,18953,18686,18686,18686,18157,18157,18456,18456,18456,18283,18283,18283,18783,18783,18783,18423,18423,18423,18270,18270,18270,18079,18079,18079,18280,18280,18280,18280,18409,18409,18409,18409,18176,18176,18176,18176,18009,18009,18009,18009,18118,18118,18118,17890,17890,17890,17890,17858,17858,17858,18276,18276,18276,18276,18221,18221,18221,18435,18435,18435,18222,18222,18222,18222,18317,18317,18317,18189,18189,18189,18109,18109,18109,18109,18610,18610,18610,19150,19150,19150,19150,19540,19540,19540,19707,19707,19707,19670,19670,19670,19670
Airtight pot,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
Amulet mould,119,119,119,119,119,119,119,116,116,116,116,116,116,116,116,116,116,116,116,112,112,112,112,112,112,112,112,112,112,114,114,114,114,114,114,114,114,114,114,114,116,116,116,116,116,116,116,116,116,116,114,114,114,114,114,114,114,114,114,114,114,114,111,111,111,111,111,111,111,111,111,111,111,111,111,109,109,109,109,109,109,109,109,109,109,109,109,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,107,107,107,107,107,107,107,107,107,107,107,107,107
Archery ticket,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16
Astronomy book,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302
Augmentation dissolver,9820,9576,9499,9499,9559,9109,8859,8901,8901,9194,9606,9606,10022,10215,10408,10489,10489,10746,10746,11028,11222,11222,11297,10957,11104,11104,10829,10888,10888,11008,11008,11149,11707,12105,12488,13110,13634,14311,14852,15105,15153,15312,15096,14378,14053,13812,13681,13727,13040,12657,12598,12642,12783,12751,12613,12719,12659,12488,12662,12473,12470,13010,13584,13530,13530,13842,13385,13213,13213,12770,12770,12194,11584,11004,10453,9989,9489,9077,9077,9310,9475,9936,9880,9718,9718,9773,9349,9005,9085,9470,9760,10211,10211,10493,10972,10972,10476,10112,9754,9266,9547,9624,9656,9656,9359,9801,10001,9832,9355,9199,9152,9529,9529,9527,9382,9382,9242,8895,8450,8052,8052,7826,8139,8354,8354,8262,8549,8549,8315,8348,8348,8230,8449,8449,8489,8498,8764,8930,8742,9016,9035,8808,8808,8371,8404,8740,8374,7955,7557,7557,7179,6956,6956,6827,6827,6934,6922,7003,7003,7048,7048,7127,7127,7264,7304,7297,7297,7330,7535,7535,7361,7081,7081,6756,6756,6902,6719,6719,6599,6779
