Acadia logs,366,366,372,372,371,371,370,370,368,368,364,364,364,360,360,360,360,359,359,351,351,348,348,339,341,341,340,340,342,341,341,348,348,348,347,347,347,343,343,355,355,360,360,357,357,358,358,368,368,371,371,376,376,385,385,392,392,392,385,385,380,380,381,381,385,385,387,387,390,390,391,391,397,397,406,406,417,417,417,417,407,407,411,411,416,418,418,413,413,420,420,423,423,426,427,427,427,427,423,423,422,422,418,418,410,410,407,407,409,426,432,434,434,424,424,419,419,423,423,427,427,414,414,420,420,420,420,427,427,424,424,424,424,417,417,404,404,399,399,411,411,401,401,401,386,386,377,377,382,382,389,389,389,388,388,392,392,397,397,401,401,408,408,404,404,409,409,399,399,399,403,403,407,407,399,399,405,405,405,415
Achey tree logs,417,417,417,417,417,417,415,415,415,415,415,415,415,419,419,419,419,419,419,429,429,429,429,429,410,410,410,410,410,415,415,415,415,415,415,415,427,427,427,427,427,427,433,433,433,433,433,433,445,445,445,445,445,445,464,464,464,464,464,464,474,474,474,474,474,474,493,493,493,493,493,493,493,515,515,515,515,515,515,515,515,527,527,527,527,527,527,553,553,553,553,553,553,553,576,576,576,576,576,576,604,604,604,604,604,604,604,624,624,624,624,624,624,624,638,638,638,638,638,638,638,638,652,652,652,652,652,652,652,652,677,677,677,677,677,677,677,677,698,698,698,698,698,698,698,698,724,724,724,724,724,724,724,724,724,745,745,745,745,745,745,745,745,745,775,775,775,775,775,775,775,793,793,793,793,793,793,793,793,801
Arctic pine logs,232,232,232,232,227,227,227,227,227,227,227,227,227,229,229,229,229,229,229,229,229,229,229,222,222,222,222,222,222,222,222,212,212,212,212,212,212,212,212,212,212,211,211,211,211,211,211,211,211,207,207,207,207,207,207,207,207,207,210,210,210,210,210,210,210,210,210,210,212,212,212,212,212,212,212,212,212,212,215,215,215,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216,216,216,216,216,212,212,212,212,212,212,212,212,212,212,212,218,218,218,218,218,218,218,218,218,218,218,218,217,217,217,217,217,217,217,217,217,217,217,217,220,220,220,220,220,220,220,220,228,228,228,228,228,228,228,228,228,228,236,236,236,236,236,236,236,236,236,236,236,245,245,245,245,245,245,245,245,245,245,254,254,254,254,254,254
Bark,880,880,849,849,849,849,849,849,849,845,845,845,845,845,845,845,845,882,882,882,882,882,882,873,873,873,873,873,873,861,861,861,861,861,861,861,867,867,867,867,867,867,856,856,856,856,856,842,842,842,842,842,829,829,829,829,829,829,870,870,870,870,870,911,911,911,911,911,911,936,936,936,936,936,936,936,962,962,962,962,962,962,994,994,994,994,994,994,966,966,966,966,966,966,950,950,950,950,950,950,950,914,914,914,914,914,914,914,883,883,883,883,883,883,883,853,853,853,853,853,853,853,835,835,835,835,835,835,835,835,835,832,832,832,832,832,832,832,827,827,827,827,827,827,827,827,806,806,806,806,806,806,806,806,826,826,826,826,826,826,826,826,826,839,839,839,839,839,839,839,839,867,867,867,867,867,867,867,867,867
Corrupted magic logs,509,499,507,507,509,507,496,502,492,481,466,466,448,457,465,471,471,477,477,486,502,507,502,507,514,514,507,500,500,492,492,491,491,493,493,493,469,451,441,447,459,469,475,482,492,483,483,487,497,503,504,514,503,494,483,485,485,490,497,490,477,469,478,478,478,485,502,505,505,514,514,503,498,481,470,471,482,501,501,502,486,481,484,479,479,495,501,504,507,511,528,532,532,535,549,549,556,577,581,571,571,581,571,571,563,563,547,545,530,530,522,526,526,522,507,507,511,506,501,504,504,513,512,526,526,528,537,514,495,501,512,521,516,516,509,496,483,473,452,446,449,455,455,460,464,473,485,482,476,476,480,480,480,462,453,459,437,415,420,438,438,439,439,442,452,463,476,479,482,482,466,450,434,436,436,440,436,436,432,429
Elder logs,5539,5540,5502,5484,5437,5362,5336,5289,5238,5185,5183,5282,5381,5419,5446,5487,5731,5620,5562,5481,5419,5424,5493,5609,5665,5692,5718,5696,5684,5656,5665,5631,5612,5527,5406,5266,5099,5276,5422,5438,5512,5592,5645,5646,5586,5674,5681,5663,5644,5629,5662,5656,5711,5665,5751,5812,5775,5739,5730,5667,5672,5666,5692,5779,5728,5726,5716,5793,5845,5852,5852,5881,5834,5727,5691,5623,5685,5634,5764,5910,6050,6207,6048,5997,5899,5887,5950,5962,5948,6030,6043,6031,6101,6109,6073,6135,6171,6106,6079,6323,6297,6121,6070,6053,6032,6028,6099,6069,6101,6012,5948,5908,5839,5795,5757,5585,5550,5498,5619,5726,5759,5829,5877,5961,5961,5946,5895,5836,5940,5922,5938,5848,5864,5864,5783,5775,5826,5884,5928,5898,5887,5945,5945,5910,5960,5942,5891,5929,5916,5934,5897,5868,5836,5883,5897,5966,5940,5968,5962,6003,6002,5986,5986,5921,5921,5886,5913,5969,6083,6083,6112,6046,5984,5939,5913,5920,5926,5926,5911,5884
Eucalyptus logs,586,586,583,583,583,583,583,583,607,607,607,607,607,607,592,592,592,592,592,592,584,584,584,584,584,573,573,573,573,573,582,582,582,582,582,582,595,595,595,595,595,595,608,608,608,608,608,608,639,639,639,639,639,639,657,657,657,657,657,670,670,670,670,670,670,664,664,664,664,664,664,691,691,691,691,691,681,681,681,681,681,681,681,699,699,699,699,699,699,700,700,700,700,700,696,696,696,696,696,696,712,712,712,712,712,712,723,723,723,723,723,723,731,731,731,731,731,731,731,736,736,736,736,736,736,736,756,756,756,756,756,756,776,776,776,776,776,776,776,768,768,768,768,768,768,768,780,780,780,780,780,780,780,780,787,787,787,787,787,787,787,787,772,772,772,772,772,772,772,738,738,738,738,738,738,738,755,755,755,755
Logs,238,239,246,242,241,244,237,235,231,227,230,231,233,233,230,231,233,233,233,232,233,230,230,232,227,227,225,220,216,215,217,216,218,223,212,212,215,220,221,220,215,216,217,219,217,218,223,218,224,223,230,231,231,231,227,228,231,232,228,228,225,225,233,232,240,245,248,240,237,241,238,241,243,239,230,218,212,219,220,216,211,202,209,209,201,196,200,195,193,194,202,207,214,224,236,246,259,272,286,291,283,289,289,279,285,287,295,301,311,324,336,352,363,375,381,391,395,384,370,360,355,353,356,359,361,361,360,363,370,370,365,369,365,364,374,376,386,400,402,388,368,349,343,341,334,339,346,354,368,364,374,388,388,383,386,382,385,389,385,382,386,396,387,376,371,375,378,381,386,382,384,382,382,379,376,376,381,383,382,384
Magic logs,388,389,386,390,390,388,388,389,390,390,387,386,385,382,383,385,385,383,383,384,388,391,395,397,410,417,410,407,405,400,400,397,391,384,383,387,392,394,391,391,390,389,389,388,384,383,385,389,391,397,401,396,392,391,389,390,394,398,394,392,394,394,392,390,389,384,384,388,391,398,403,409,416,422,423,421,419,416,416,407,400,397,397,408,412,418,414,410,421,427,430,433,434,435,436,434,433,428,428,424,424,422,428,428,428,423,423,421,420,421,415,405,401,397,399,393,394,401,398,402,405,409,413,414,415,412,407,403,401,405,413,417,415,414,409,407,403,401,406,405,405,405,404,405,404,405,404,403,404,405,407,407,405,406,406,408,405,403,403,403,409,407,410,407,403,401,403,404,401,398,397,397,400,406,405,404,402,404,404,403
Mahogany logs,313,311,310,301,302,309,316,315,311,305,298,306,307,312,311,302,300,298,294,305,300,296,292,301,307,308,308,307,306,308,303,303,291,288,287,289,293,297,293,289,283,284,285,279,279,276,279,283,291,297,296,294,299,302,300,301,302,301,300,299,304,308,316,319,310,309,309,313,317,321,321,314,305,297,294,289,292,285,271,261,258,268,275,283,291,300,306,313,318,327,328,332,337,346,354,357,358,350,347,339,332,324,323,320,329,337,342,340,333,331,323,318,322,331,333,334,341,347,355,356,364,360,363,371,371,378,381,388,392,389,383,387,397,397,394,389,380,384,387,387,372,361,361,361,363,355,354,356,367,365,359,360,356,354,355,356,349,346,350,360,368,378,378,382,378,374,371,367,364,368,370,363,355,357,356,358,364,364,373,379
