Adamant brutal,4798
Adamant dart,810
Adamant javelin,829
Adamant knife,867
Adamant throwing axe,804
Azure skillchompa,31597
Black brutal,4788
Black dart,3093
Black knife,869
Bolt rack,4740
Bone bolts,8882
Bronze brutal,4773
Bronze dart,806
Bronze javelin,825
Bronze knife,864
Bronze throwing axe,800
Cannonball,2
Chinchompa,10033
Cobalt skillchompa,31595
Corrupt Morrigan's javelin,13953
Corrupt Morrigan's throwing axe,13957
Crimson skillchompa,31598
Crystal skillchompa,40995
Dragon dart,11230
Dragon javelin,35115
Dragon knife,31375
Dragon throwing axe,29543
Guam tar,10142
Hand cannon shot,15243
Harralander tar,10145
Iron brutal,4778
Iron dart,807
Iron javelin,826
Iron knife,863
Iron throwing axe,801
Kebbit bolts,10158
Long kebbit bolts,10159
Marrentill tar,10143
Mechanised chinchompa,36391
Mithril brutal,4793
Mithril dart,809
Mithril grapple,9419
Mithril javelin,828
Mithril knife,866
Mithril throwing axe,803
Morrigan's javelin,13879
Morrigan's throwing axe,13883
Off-hand adamant dart,25914
Off-hand adamant knife,25900
Off-hand adamant throwing axe,25907
Off-hand black dart,25912
Off-hand black knife,25902
Off-hand bronze dart,25909
Off-hand bronze knife,25897
Off-hand bronze throwing axe,25903
Off-hand dragon dart,25916
Off-hand dragon javelin,35116
Off-hand dragon knife,31376
Off-hand dragon throwing axe,29544
Off-hand iron dart,25910
Off-hand iron knife,25896
Off-hand iron throwing axe,25904
Off-hand mithril dart,25913
Off-hand mithril knife,25899
Off-hand mithril throwing axe,25906
Off-hand rune dart,25915
Off-hand rune knife,25901
Off-hand rune throwing axe,25908
Off-hand steel dart,25911
Off-hand steel knife,25898
Off-hand steel throwing axe,25905
Ogre arrow,2866
Red chinchompa,10034
Rune brutal,4803
Rune dart,811
Rune javelin,830
Rune knife,868
Rune throwing axe,805
Steel brutal,4783
Steel dart,808
Steel javelin,827
Steel knife,865
Steel throwing axe,802
Tarromin tar,10144
Toktz-xil-ul,6522
Viridian skillchompa,31596
Wyvern spines,35989
Adamant arrow,890
Adamant fire arrows,2538
Araxyte arrow,31737
Bronze arrow,882
Bronze fire arrows,598
Dark arrow,29617
Dragon arrow,11212
Dragon fire arrows,11222
Guthix arrows,19157
Iron arrow,884
Iron fire arrows,2533
Lit dark fire arrows,29622
Mithril arrow,888
Mithril fire arrows,2537
Rune arrow,892
Rune fire arrows,2540
Saradomin arrows,19152
Stalker arrow,41575
Steel arrow,886
Steel fire arrows,2534
Unlit dark fire arrows,29627
Wild arrow,34235
Zamorak arrows,19162
Adamant bolts,9143
Ascendri bolts,31868
Ascendri bolts (e),31881
Ascension bolts,28465
Bakriminel bolts,24116
Barbed bolts,881
Black bolts,13083
Blight bolts,42748
Broad-tipped bolts,13280
Bronze bolts,877
Diamond bakriminel bolts,41669
Diamond bakriminel bolts (e),41630
Diamond bolts,9340
Diamond bolts (e),9243
Dragon bolts,9341
Dragon bolts (e),9244
Dragonstone bakriminel bolts,41674
Dragonstone bakriminel bolts (e),41631
Emerald bakriminel bolts,41654
Emerald bakriminel bolts (e),41627
Emerald bolts,9338
Emerald bolts (e),9241
Hydrix bakriminel bolts,41684
Hydrix bakriminel bolts (e),41633
Iron bolts,9140
Jade bakriminel bolts,41644
Jade bakriminel bolts (e),41625
Mithril bolts,9142
Onyx bakriminel bolts,41679
Onyx bakriminel bolts (e),41632
Onyx bolts,9342
Onyx bolts (e),9245
Opal bakriminel bolts,41634
Opal bakriminel bolts (e),41623
Opal bolts,879
Opal bolts (e),9236
Pearl bakriminel bolts,41649
Pearl bakriminel bolts (e),41626
Pearl bolts,880
Pearl bolts (e),9238
Red topaz bakriminel bolts,41659
Red topaz bakriminel bolts (e),41628
Royal bolts,24336
Ruby bakriminel bolts,41664
Ruby bakriminel bolts (e),41629
Ruby bolts,9339
Ruby bolts (e),9242
Runite bolts,9144
Sapphire bakriminel bolts,41639
Sapphire bakriminel bolts (e),41624
Sapphire bolts,9337
Sapphire bolts (e),9240
Silver bolts,9145
Steel bolts,9141
Topaz bolts,9336
Topaz bolts (e),9239
Adamantite nails,4823
Black nails,4821
Bolt of cloth,8790
Bronze nails,4819
Gold leaf,8784
Iron nails,4820
Magic stone,8788
Mahogany plank,8782
Marble block,8786
Message in a bottle,34721
Mithril nails,4822
Oak plank,8778
Plank,960
Porthole,34719
Rune nails,4824
Shark jawbone,34723
Ship figurehead,34725
Steel nails,1539
Teak plank,8780
Telescope lenses,34717
Asgarnian ale,1905
Beer barrel,8516
Carved oak bench,8566
Carved oak magic wardrobe,9853
Carved oak table,8552
Carved teak bench,8570
Carved teak magic wardrobe,9855
Carved teak table,8556
Chef's delight,5755
Cider barrel,8518
Crude wooden chair,8496
Dragon bitter,1911
Fancy teak dresser,8604
Gilded 4-poster,8588
Gilded bench,8574
Gilded cape rack,9846
Gilded clock,8594
Gilded dresser,8608
Gilded magic wardrobe,9857
Gilded wardrobe,8622
Greenman's ale,1909
Large oak bed,8580
Large teak bed,8584
Magical cape rack,9848
Mahogany armchair,8508
Mahogany armour case,9861
Mahogany bench,8572
Mahogany bookcase,8514
Mahogany cape rack,9845
Mahogany dresser,8606
Mahogany fancy dress box,9867
Mahogany magic wardrobe,9856
Mahogany table,8558
Mahogany toy box,9851
Mahogany treasure chest,9864
Mahogany wardrobe,8620
Marble cape rack,9847
Marble magic wardrobe,9858
Oak armchair,8504
Oak armour case,9859
Oak bed,8578
Oak bench,8564
Oak bookcase,8512
Oak cape rack,9843
Oak chair,8502
Oak clock,8590
Oak dining table,8550
Oak drawers,8612
Oak dresser,8600
Oak fancy dress box,9865
Oak kitchen table,8530
Oak magic wardrobe,9852
Oak shaving stand,8598
Oak toy box,9849
Oak treasure chest,9862
Oak wardrobe,8614
Opulent table,8560
Rocking chair,8500
Shaving stand,8596
Shoe box,8610
Teak armchair,8506
Teak armour case,9860
Teak bed,8582
Teak cape rack,9844
Teak clock,8592
Teak dining bench,8568
Teak drawers,8616
Teak dresser,8602
Teak fancy dress box,9866
Teak kitchen table,8532
Teak magic wardrobe,9854
Teak table,8554
Teak toy box,9850
Teak treasure chest,9863
Teak wardrobe,8618
Wood dining table,8548
Wood kitchen table,8528
Wooden bed,8576
Wooden bench,8562
Wooden bookcase,8510
Wooden chair,8498
Ale yeast,5767
Apple mush,5992
Asgarnian hops,5996
Barley,6006
Barley malt,6008
Bittercap mushroom,6004
Bread dough,2307
Bucket of milk,1927
Chocolate bar,1973
Chocolate dust,1975
Chopped garlic,7074
Cooking apple,1955
Curry leaf,5970
Dwellberries,2126
Egg,1944
Equa leaves,2128
Fat snail,3367
Garlic,1550
Gianne dough,2171
Gnome spice,2169
Grapes,1987
Hammerstone hops,5994
Incomplete pizza,2285
Incomplete stew,1997
Kebab mix,1881
Kelp,34732
King worm,2162
Krandorian hops,6000
Lean snail,3365
Lemon,2102
Lemon chunks,2104
Lemon slices,2106
Lime,2120
Lime chunks,2122
Lime slices,2124
Locust meat,9052
Orange,2108
Orange chunks,2110
Orange slices,2112
Part admiral pie,7194
Part fish pie,7184
Part garden pie,7172
Part mud pie,7166
Part summer pie,7214
Part wild pie,7202
Pastry dough,1953
Pat of butter,6697
Pie shell,2315
Pineapple,2114
Pineapple chunks,2116
Pineapple ring,2118
Pitta dough,1863
Pizza base,2283
Pot of cream,2130
Pot of flour,1933
Raw admiral pie,7196
Raw anchovies,321
Raw bass,363
Raw bear meat,2136
Raw beast meat,9986
Raw beef,2132
Raw beltfish,40291
Raw bird meat,9978
Raw blue blubber jellyfish,42265
Raw catfish,40289
Raw cave eel,5001
Raw cavefish,15264
Raw chicken,2138
Raw chompy,2876
Raw cod,341
Raw crayfish,13435
Raw crunchies,2202
Raw desert sole,40287
Raw fish pie,7186
Raw garden pie,7176
Raw great white shark,34727
Raw green blubber jellyfish,42256
Raw herring,345
Raw jubbly,7566
Raw karambwan,3142
Raw lobster,377
Raw mackerel,353
Raw manta ray,389
Raw monkfish,7944
Raw mud pie,7168
Raw oomlie,2337
Raw pike,349
Raw rabbit,3226
Raw rainbow fish,10138
Raw rat meat,2134
Raw rocktail,15270
Raw sailfish,42249
Raw salmon,331
Raw sardine,327
Raw sea turtle,395
Raw shark,383
Raw shrimps,317
Raw summer pie,7216
Raw swordfish,371
Raw trout,335
Raw tuna,359
Raw ugthanki meat,1859
Raw undead beef,4287
Raw undead chicken,4289
Raw wild pie,7206
Raw wilder pie,39887
Raw wolf meat,23058
Raw yak meat,10816
Redberries,1951
Skewered beast,9992
Skewered bird meat,9984
Skewered chompy,7230
Skewered rabbit,7224
Sliced mushrooms,7080
Slimy eel,3379
Spice,2007
Spider carcass,6291
Spider on shaft,6299
Spider on stick,6297
Sweetcorn,5986
Thin snail,3363
Uncooked apple pie,2317
Uncooked berry pie,2321
Uncooked cake,1889
Uncooked curry,2009
Uncooked egg,7076
Uncooked meat pie,2319
Uncooked pizza,2287
Uncooked stew,2001
Wheat,1947
Wildblood hops,6002
Wrapped oomlie,2341
Yanillian hops,5998
Adamant dragon mask,41928
Antlers,12204
Bat mask,13111
Black beret,2635
Black boater,7327
Black cavalier,2643
Black dragon mask,19290
Black elegant legs,10402
Black elegant shirt,10400
Black flowers,2476
Black headband,2647
Black Santa hat,30412
Black unicorn mask,19278
Black wizard robe skirt,1015
Blue beret,2633
Blue boater,7325
Blue boots,630
Blue checkered shirt,41989
Blue dragon mask,19284
Blue elegant blouse,10428
Blue elegant legs,10410
Blue elegant shirt,10408
Blue elegant skirt,10430
Blue flowers,2464
Blue hallowe'en mask,1055
Blue hat,660
Blue partyhat,1042
Blue robe bottoms,650
Blue robe top,640
Bob shirt (black),10322
Bob shirt (blue),10318
Bob shirt (green),10320
Bob shirt (purple),10324
Bob shirt(red),10316
Boots,2924
Bronze dragon mask,19296
Brown headband,2649
Cape,6959
Cat mask,13113
Christmas tree hat,26493
Citizen shoes,9644
Citizen top,9640
Citizen trousers,9642
