Adamant brutal,4798
Adamant dart,810
Adamant javelin,829
Adamant knife,867
Adamant throwing axe,804
Azure skillchompa,31597
Black brutal,4788
Black dart,3093
Black knife,869
Bolt rack,4740
Bone bolts,8882
Bronze brutal,4773
Bronze dart,806
Bronze javelin,825
Bronze knife,864
Bronze throwing axe,800
Cannonball,2
Chinchompa,10033
Cobalt skillchompa,31595
Corrupt Morrigan's javelin,13953
Corrupt Morrigan's throwing axe,13957
Crimson skillchompa,31598
Crystal skillchompa,40995
Dragon dart,11230
Dragon javelin,35115
Dragon knife,31375
Dragon throwing axe,29543
Guam tar,10142
Hand cannon shot,15243
Harralander tar,10145
Iron brutal,4778
Iron dart,807
Iron javelin,826
Iron knife,863
Iron throwing axe,801
Kebbit bolts,10158
Long kebbit bolts,10159
Marrentill tar,10143
Mechanised chinchompa,36391
Mithril brutal,4793
Mithril dart,809
Mithril grapple,9419
Mithril javelin,828
Mithril knife,866
Mithril throwing axe,803
Morrigan's javelin,13879
Morrigan's throwing axe,13883
Off-hand adamant dart,25914
Off-hand adamant knife,25900
Off-hand adamant throwing axe,25907
Off-hand black dart,25912
Off-hand black knife,25902
Off-hand bronze dart,25909
Off-hand bronze knife,25897
Off-hand bronze throwing axe,25903
Off-hand dragon dart,25916
Off-hand dragon javelin,35116
Off-hand dragon knife,31376
Off-hand dragon throwing axe,29544
Off-hand iron dart,25910
Off-hand iron knife,25896
Off-hand iron throwing axe,25904
Off-hand mithril dart,25913
Off-hand mithril knife,25899
Off-hand mithril throwing axe,25906
Off-hand rune dart,25915
Off-hand rune knife,25901
Off-hand rune throwing axe,25908
Off-hand steel dart,25911
Off-hand steel knife,25898
Off-hand steel throwing axe,25905
Ogre arrow,2866
Red chinchompa,10034
Rune brutal,4803
Rune dart,811
Rune javelin,830
Rune knife,868
Rune throwing axe,805
Steel brutal,4783
Steel dart,808
Steel javelin,827
Steel knife,865
Steel throwing axe,802
Tarromin tar,10144
Toktz-xil-ul,6522
Viridian skillchompa,31596
Wyvern spines,35989
