Adamant bolts,9143
Ascendri bolts,31868
Ascendri bolts (e),31881
Ascension bolts,28465
Bakriminel bolts,24116
Barbed bolts,881
Black bolts,13083
Blight bolts,42748
Broad-tipped bolts,13280
Bronze bolts,877
Diamond bakriminel bolts,41669
Diamond bakriminel bolts (e),41630
Diamond bolts,9340
Diamond bolts (e),9243
Dragon bolts,9341
Dragon bolts (e),9244
Dragonstone bakriminel bolts,41674
Dragonstone bakriminel bolts (e),41631
Emerald bakriminel bolts,41654
Emerald bakriminel bolts (e),41627
Emerald bolts,9338
Emerald bolts (e),9241
Hydrix bakriminel bolts,41684
Hydrix bakriminel bolts (e),41633
Iron bolts,9140
Jade bakriminel bolts,41644
Jade bakriminel bolts (e),41625
Mithril bolts,9142
Onyx bakriminel bolts,41679
Onyx bakriminel bolts (e),41632
Onyx bolts,9342
Onyx bolts (e),9245
Opal bakriminel bolts,41634
Opal bakriminel bolts (e),41623
Opal bolts,879
Opal bolts (e),9236
Pearl bakriminel bolts,41649
Pearl bakriminel bolts (e),41626
Pearl bolts,880
Pearl bolts (e),9238
Red topaz bakriminel bolts,41659
Red topaz bakriminel bolts (e),41628
Royal bolts,24336
Ruby bakriminel bolts,41664
Ruby bakriminel bolts (e),41629
Ruby bolts,9339
Ruby bolts (e),9242
Runite bolts,9144
Sapphire bakriminel bolts,41639
Sapphire bakriminel bolts (e),41624
Sapphire bolts,9337
Sapphire bolts (e),9240
Silver bolts,9145
Steel bolts,9141
Topaz bolts,9336
Topaz bolts (e),9239
