Ale yeast,5767
Apple mush,5992
Asgarnian hops,5996
Barley,6006
Barley malt,6008
Biscuit dough,47383
Bittercap mushroom,6004
Bread dough,2307
Bucket of milk,1927
Chocolate bar,1973
Chocolate cream cheese,47429
Chocolate dust,1975
Chopped garlic,7074
Cooking apple,1955
Cream cheese,47425
Curry leaf,5970
Dwellberries,2126
Egg,1944
Equa leaves,2128
Fat snail,3367
Garlic,1550
Gianne dough,2171
Gnome spice,2169
Grapes,1987
Hammerstone hops,5994
Incomplete pizza,2285
Incomplete stew,1997
Kebab mix,1881
Kelp,34732
King worm,2162
Krandorian hops,6000
Lean snail,3365
Lemon,2102
Lemon chunks,2104
Lemon slices,2106
Lime,2120
Lime chunks,2122
Lime slices,2124
Locust meat,9052
Orange,2108
Orange chunks,2110
Orange slices,2112
Part admiral pie,7194
Part fish pie,7184
Part garden pie,7174
Part mud pie,7166
Part summer pie,7212
Part wild pie,7202
Pastry dough,1953
Pat of butter,6697
Pie shell,2315
Pineapple,2114
Pineapple chunks,2116
Pineapple ring,2118
Pitta dough,1863
Pizza base,2283
Pot of cream,2130
Pot of flour,1933
Raw admiral pie,7196
Raw anchovies,321
Raw bass,363
Raw bear meat,2136
Raw beast meat,9986
Raw beef,2132
Raw beltfish,40291
Raw bird meat,9978
Raw blue blubber jellyfish,42265
Raw catfish,40289
Raw cave eel,5001
Raw cavefish,15264
Raw chicken,2138
Raw chompy,2876
Raw cod,341
Raw crayfish,13435
Raw crunchies,2202
Raw desert sole,40287
Raw fish pie,7186
Raw garden pie,7176
Raw great white shark,34727
Raw green blubber jellyfish,42256
Raw herring,345
Raw jubbly,7566
Raw karambwan,3142
Raw lobster,377
Raw mackerel,353
Raw manta ray,389
Raw monkfish,7944
Raw mud pie,7168
Raw oomlie,2337
Raw pike,349
Raw rabbit,3226
Raw rainbow fish,10138
Raw rat meat,2134
Raw rocktail,15270
Raw sailfish,42249
Raw salmon,331
Raw sardine,327
Raw sea turtle,395
Raw shark,383
Raw shrimps,317
Raw summer pie,7216
Raw swordfish,371
Raw trout,335
Raw tuna,359
Raw ugthanki meat,1859
Raw undead beef,4287
Raw undead chicken,4289
Raw wild pie,7206
Raw wilder pie,39887
Raw wolf meat,23058
Raw yak meat,10816
Redberries,1951
Skewered beast,9992
Skewered bird meat,9984
Skewered chompy,7230
Skewered rabbit,7224
Sliced mushrooms,7080
Slimy eel,3379
Spice,2007
Spider carcass,6291
Spider on shaft,6295
Spider on stick,6293
Strawberry cream cheese,47431
Sweetcorn,5986
Thin snail,3363
Uncooked apple pie,2317
Uncooked berry pie,2321
Uncooked cake,1889
Uncooked curry,2009
Uncooked egg,7076
Uncooked meat pie,2319
Uncooked pizza,2287
Uncooked stew,2001
Vanilla cream cheese,47427
Wheat,1947
Wildblood hops,6002
Wrapped oomlie,2341
Yanillian hops,5998
