Adamant arrowheads,43
Adamant bolts (unf),9380
Adamant crossbow (u),9463
Adamant dart tip,823
Adamant limbs,9429
Arrow shaft,52
Barb bolttips,47
Black stone heart,47506
Bowstring,1777
Broad arrowheads,13278
Bronze arrowheads,39
Bronze bolts (unf),9375
Bronze crossbow (u),9454
Bronze dart tip,819
Bronze limbs,9420
Crossbow string,9438
Dark arrowheads,29729
Diamond bolt tips,9192
Dragon arrowheads,11237
Dragon bolt tips,9193
Dragon crossbow (u),25478
Dragon dart tip,11232
Dragon limbs,25481
Elder headless arrow,47554
Elder shieldbow (u),29734
Elder shortbow (u),29736
Eldritch crossbow limb,47490
Eldritch crossbow mechanism,47494
Eldritch crossbow stock,47492
Emerald bolt tips,9190
Feather,314
Flighted ogre arrow,2865
Headless arrow,53
Hydrix bolt tips,31867
Iron arrowheads,40
Iron bolts (unf),9377
Iron crossbow (u),9457
Iron dart tip,820
Iron limbs,9423
Jade bolt tips,9187
Magic shieldbow (u),70
Magic shortbow (u),72
Magic stock,25483
Mahogany stock,9450
Maple shieldbow (u),62
Maple shortbow (u),64
Maple stock,9448
Mithril arrowheads,42
Mithril bolts (unf),9379
Mithril crossbow (u),9461
Mithril dart tip,822
Mithril grapple (unf),9418
Mithril grapple tip,9416
Mithril limbs,9427
Mutated vine,21358
Oak shieldbow (u),56
Oak shortbow (u),54
Oak stock,9442
Ogre arrow shaft,2864
Onyx bolt tips,9194
Opal bolt tips,45
Pearl bolt tips,46
Ruby bolt tips,9191
Rune arrowheads,44
Rune bolts (unf),9381
Rune dart tip,824
Rune limbs,9431
Runite crossbow (u),9465
Sapphire bolt tips,9189
Shieldbow (u),48
Shortbow (u),50
Silver bolts (unf),9382
Stalker essence,41589
Steel arrowheads,41
Steel bolts (unf),9378
Steel crossbow (u),9459
Steel dart tip,821
Steel limbs,9425
Teak stock,9446
Topaz bolt tips,9188
Unfinished broad bolts,13279
Unstrung comp bow,4825
Willow shieldbow (u),58
Willow shortbow (u),60
Willow stock,9444
Wolf bone arrowheads,2861
Wooden stock,9440
Yew shieldbow (u),66
Yew shortbow (u),68
Yew stock,9452
