Admiral pie,7198
Anchovies,319
Anchovy pizza,2297
Apple pie,2323
Apples (5),5386
Asgarnian ale,1905
Asgarnian ale (1),5779
Asgarnian ale (2),5781
Asgarnian ale (3),5783
Asgarnian ale (4),5785
Asgarnian ale (m),5739
Asgarnian ale (m1),5859
Asgarnian ale (m2),5861
Asgarnian ale (m3),5863
Asgarnian ale (m4),5865
Axeman's folly,5751
Axeman's folly (1),5819
Axeman's folly (2),5821
Axeman's folly (3),5823
Axeman's folly (4),5825
Axeman's folly (m),5753
Axeman's folly (m1),5899
Axeman's folly (m2),5901
Axeman's folly (m3),5903
Axeman's folly (m4),5905
Bacon cheesecake,47417
Baguette,6961
Baked potato,6701
Banana,1963
Bananas (5),5416
Bandit's brew,4627
Bass,365
Beer,1917
Beltfish,40297
Biscuits,47385
Blue blubber jellyfish,42267
Blurberry Special,2064
Brandy,2021
Bread,2309
Button mushroom,13563
Cabbage,1965
Cabbages (10),5478
Cake,1891
Catfish,40295
Cave eel,5003
Cavefish,15266
Cheese,1985
Cheese+tom batta,2259
Cheesecake,47387
Chef's delight,5755
Chef's delight (1),5827
Chef's delight (2),5829
Chef's delight (3),5831
Chef's delight (4),5833
Chef's delight (m),5757
Chef's delight (m1),5907
Chef's delight (m2),5909
Chef's delight (m3),5911
Chef's delight (m4),5913
Chilli con carne,7062
Chilli potato,7054
Choc-ice,6794
Chocchip crunchies,2209
Chocolate bomb,2185
Chocolate cake,1897
Chocolate cheesecake,47399
Chocolate Saturday,2074
Chocolate slice,1901
Chopped onion,1871
Chopped tomato,1869
Chopped tuna,7086
Cider,5763
Cider (1),5843
Cider (2),5845
Cider (3),5847
Cider (4),5849
Cider (m1),5923
Cider (m2),5925
Cider (m3),5927
Cider (m4),5929
Cod,339
Cooked chicken,2140
Cooked chompy,2878
Cooked crab meat,7521
Cooked eeligator,35199
Cooked jubbly,7568
Cooked karambwan,3144
Cooked meat,2142
Cooked oomlie wrap,2343
Cooked rabbit,3228
Cooked slimy eel,3381
Cooked sweetcorn,5988
Cooked undead chicken,4291
Cooked undead meat,4293
Crayfish,13433
Cup of tea,1978
Curry,2011
Desert sole,40293
Doughnut,14665
Dragon bitter,1911
Dragon bitter (1),5803
Dragon bitter (2),5805
Dragon bitter (3),5807
Dragon bitter (4),5809
Dragon bitter (m),5745
Dragon bitter (m1),5883
Dragon bitter (m2),5885
Dragon bitter (m3),5887
Dragon bitter (m4),5889
