Baby impling jar,11238
Black salamander,10148
Black warlock,10014
Blue feather,10089
Common kebbit fur,10121
Crystal impling jar,32272
Dark kebbit fur,10115
Dashing kebbit fur,10127
Desert devil fur,10123
Diseased kebbit fur,12567
Divine impling jar,31335
Dragon impling jar,11256
Earth impling jar,11244
Eclectic impling jar,11248
Essence impling jar,11246
Feldip weasel fur,10119
Gourmet impling jar,11242
Graahk fur,10099
Grenwall spikes,12539
Kebbit claws,10113
Kebbit spike,10105
Kebbit teeth,10109
Kingly impling jar,15517
Kyatt fur,10103
Larupia fur,10095
Long kebbit spike,10107
Magpie impling jar,11252
Nature impling jar,11250
Ninja impling jar,11254
Orange feather,10091
Orange salamander,10146
Pirate impling jar,13337
Polar kebbit fur,10117
Rabbit foot,10134
Raw pawya meat,12535
Red feather,10088
Red salamander,10147
Ruby harvest,10020
Sapphire glacialis,10018
Snowy knight,10016
Spirit impling jar,15513
Spotted kebbit fur,10125
Stripy feather,10087
Swamp lizard,10149
Tatty graahk fur,10097
Tatty kyatt fur,10101
Tatty larupia fur,10093
Wimpy feather,11525
Yellow feather,10090
Young impling jar,11240
Zombie impling jar,15515
