Abyssal orb,30828
Abyssal wand,30825
Ahrim's book of magic,25672
Ahrim's book of magic (broken),36808
Ahrim's staff,4710
Ahrim's staff (broken),4866
Ahrim's wand,25652
Ahrim's wand (broken),36811
Air battlestaff,1397
Ancient staff,4675
Apprentice wand,6910
Bat staff,19327
Battlestaff,1391
Batwing book,25660
Batwing wand,25648
Beginner wand,6908
Cat staff,19331
Corrupt Zuriel's staff,13941
Crystal orb,32216
Crystal staff,32210
Crystal wand,32213
Dormant Staff of Sliske,37624
Dragon battlestaff,29540
Dragon staff,19323
Earth battlestaff,1399
Elemental battlestaff,41885
Fire battlestaff,1393
Grifolic orb,25666
Grifolic wand,25638
Guthix crozier,10442
Imp horn wand,25642
Imperium core,39579
Imphide book,25662
Lava battlestaff,3053
Magic staff,1389
Master wand,6914
Mud battlestaff,6562
Mystic air staff,1405
Mystic earth staff,1407
Mystic fire staff,1401
Mystic lava staff,3054
Mystic mud staff,6563
Mystic orb,25668
Mystic steam staff,11738
Mystic wand,25644
Mystic water staff,1403
Noxious staff,31729
Obliteration,39057
Orb of the Cywir elders,40600
Penguin staff,19325
Polypore staff,22494
Polypore stick,22498
Saradomin crozier,10440
Second-Age staff,41875
Seismic singularity,28621
Seismic wand,28617
Slayer's staff,4170
Spider orb,25658
Spider wand,25650
Splitbark orb,25670
Splitbark wand,25640
Staff,1379
Staff of air,1381
Staff of earth,1385
Staff of fire,1387
Staff of light,15486
Staff of Sliske,37636
Staff of water,1383
Steam battlestaff,11736
Teacher wand,6912
Toktz-mej-tal,6526
Virtus book,25664
Virtus wand,25654
Wand of the Cywir elders,37085
Wand of the praesul,39574
Wand of treachery,27641
Water battlestaff,1395
White magic staff,6603
Wizard book,25656
Wizard wand,25646
Wolf staff,19329
Zamorak crozier,10444
Zuriel's staff,13867
