Blade of Avaryss,37095
Blade of Nymora,37090
Brackish blade,20671
Brine sabre,11037
Cleaver,7451
Corrupt dragon battleaxe,13973
Corrupt dragon dagger,13976
Corrupt dragon longsword,13982
Corrupt dragon mace,13985
Corrupt dragon scimitar,13979
Corrupt dragon spear,13988
Crystal dagger,32222
Crystal halberd,32219
Dragon 2h sword,7158
Dragon battleaxe,1377
Dragon cane,41889
Dragon claw,14484
Dragon dagger,1215
Dragon halberd,3204
Dragon hasta,31377
Dragon longsword,1305
Dragon mace,1434
Dragon Rider lance,37070
Dragon scimitar,4587
Dragon spear,1249
Dragon warhammer,29534
Granite mace,14679
Granite maul,4153
Gud raider axe,34828
Khopesh of the Kharidian,40312
Kitchen knife,7447
Leaf-bladed sword,13290
Meat tenderiser,7449
Off-hand crystal dagger,32225
Off-hand dragon battleaxe,25776
Off-hand dragon claw,25555
Off-hand dragon dagger,25707
Off-hand dragon longsword,25740
Off-hand dragon mace,25689
Off-hand dragon scimitar,25758
Off-hand dragon warhammer,29537
Off-hand khopesh of the Kharidian,40316
Off-hand leaf-bladed sword,25564
Off-hand ripper claw,36008
Orikalkum 2h warhammer,46565
Orikalkum 2h warhammer + 1,46568
Orikalkum 2h warhammer + 2,46571
Orikalkum 2h warhammer + 3,46574
Orikalkum off hand warhammer,46552
Orikalkum off hand warhammer + 1,46555
Orikalkum off hand warhammer + 2,46558
Orikalkum off hand warhammer + 3,46561
Orikalkum warhammer,46539
Orikalkum warhammer + 1,46542
Orikalkum warhammer + 2,46545
Orikalkum warhammer + 3,46548
Ripper claw,36004
Rolling pin,7445
Rune 2h sword,45538
Rune 2h sword + 1,46829
Rune 2h sword + 2,46832
Rune 2h sword + 3,46835
Rune battleaxe,45534
Rune battleaxe + 1,46789
Rune battleaxe + 2,46792
Rune battleaxe + 3,46795
Rune cane,13099
Rune claws,45536
Rune claws + 1,46809
Rune claws + 2,46812
Rune claws + 3,46815
Rune dagger,45522
Rune dagger + 1,46669
Rune dagger + 2,46672
Rune dagger + 3,46675
Rune halberd,3202
Rune hasta,11377
Rune longsword,45530
Rune longsword + 1,46749
Rune longsword + 2,46752
Rune longsword + 3,46755
Rune mace,45524
Rune mace + 1,46689
Rune mace + 2,46692
Rune mace + 3,46695
Rune off hand battleaxe,45535
Rune off hand battleaxe + 1,46799
Rune off hand battleaxe + 2,46802
Rune off hand battleaxe + 3,46805
Rune off hand claws,45537
Rune off hand claws + 1,46819
Rune off hand claws + 2,46822
Rune off hand claws + 3,46825
Rune off hand dagger,45523
Rune off hand dagger + 1,46679
Rune off hand dagger + 2,46682
Rune off hand dagger + 3,46685
Rune off hand longsword,45531
Rune off hand longsword + 1,46759
Rune off hand longsword + 2,46762
Rune off hand longsword + 3,46765
Rune off hand mace,45525
Rune off hand mace + 1,46699
Rune off hand mace + 2,46702
Rune off hand mace + 3,46705
Rune off hand scimitar,45529
Rune off hand scimitar + 1,46739
Rune off hand scimitar + 2,46742
Rune off hand scimitar + 3,46745
Rune off hand sword,45527
Rune off hand sword + 1,46719
Rune off hand sword + 2,46722
Rune off hand sword + 3,46725
Rune off hand warhammer,45533
Rune off hand warhammer + 1,46779
Rune off hand warhammer + 2,46782
Rune off hand warhammer + 3,46785
Rune scimitar,45528
Rune scimitar + 1,46729
Rune scimitar + 2,46732
Rune scimitar + 3,46735
Rune spear,1247
Rune sword,45526
Rune sword + 1,46709
Rune sword + 2,46712
Rune sword + 3,46715
Rune warhammer,45532
Rune warhammer + 1,46769
Rune warhammer + 2,46772
Rune warhammer + 3,46775
Swordy McSwordFace,47532
Toktz-xil-ak,6523
Toktz-xil-ek,6525
Tzhaar-ket-em,6527
Tzhaar-ket-om,6528
Wilderness hilt,39065
