Casket-salvaging scrimshaw,33901
Compressed anima,44383
Energy-gathering scrimshaw,38828
Gem-finding scrimshaw,26292
Log-splitting scrimshaw,26283
Memory-crushing scrimshaw,38823
Rock-crushing scrimshaw,26286
Scrimshaw of attack,26298
Scrimshaw of cruelty,26307
Scrimshaw of magic,26304
Scrimshaw of ranging,26310
Scrimshaw of the elements,26301
Scrimshaw of vampyrism,26295
Sign of death,31322
Sign of item protection,29287
Sign of life,29290
Sign of respite I,29269
Sign of respite II,29271
Sign of respite III,29273
Tree-shaking scrimshaw,26289
Whopper-baiting scrimshaw,33896
