Acne potion,195
Aggression flask (1),37929
Aggression flask (2),37931
Aggression flask (3),37933
Aggression flask (4),37935
Aggression flask (5),37937
Aggression flask (6),37939
Aggression potion (1),37965
Aggression potion (2),37967
Aggression potion (3),37969
Aggression potion (4),37971
Agility flask (6),23411
Agility mix (1),11463
Agility mix (2),11461
Agility potion (1),3038
Agility potion (2),3036
Agility potion (3),3034
Agility potion (4),3032
Antifire (1),2458
Antifire (2),2456
Antifire (3),2454
Antifire (4),2452
Antifire flask (6),23363
Antifire mix (1),11507
Antifire mix (2),11505
Antipoison (1),179
Antipoison (2),177
Antipoison (3),175
Antipoison (4),2446
Antipoison flask (6),23315
Antipoison mix (1),11435
Antipoison mix (2),11433
Antipoison+ (1),5949
Antipoison+ (2),5947
Antipoison+ (3),5945
Antipoison+ (4),5943
Antipoison+ flask (6),23579
Antipoison+ mix (1),11503
Antipoison+ mix (2),11501
Antipoison++ (1),5958
Antipoison++ (2),5956
Antipoison++ (3),5954
Antipoison++ (4),5952
Antipoison++ flask (6),23591
Argway potion (unf),20000
Attack flask (6),23195
Attack mix (1),11431
Attack mix (2),11429
Attack potion (1),125
Attack potion (2),123
Attack potion (3),121
Attack potion (4),2428
Combat flask (6),23447
Combat mix (1),11447
Combat mix (2),11445
Combat potion (1),9745
Combat potion (2),9743
Combat potion (3),9741
Combat potion (4),9739
Compost potion (1),6476
Compost potion (2),6474
Compost potion (3),6472
Compost potion (4),6470
Crafting flask (6),23459
Crafting potion (1),14844
Crafting potion (2),14842
Crafting potion (3),14840
Crafting potion (4),14838
Defence flask (6),23231
Defence mix (1),11459
Defence mix (2),11457
Defence potion (1),137
Defence potion (2),135
Defence potion (3),133
Defence potion (4),2432
Divination flask (6),43442
Divination potion (1),44051
Divination potion (2),44049
Divination potion (3),44047
Divination potion (4),44045
Energy flask (6),23375
Energy mix (1),11455
Energy mix (2),11453
Energy potion (1),3014
Energy potion (2),3012
Energy potion (3),3010
Energy potion (4),3008
Enhanced luck potion,39820
Erzille potion (unf),19998
Fishing flask (6),23267
Fishing mix (1),11479
Fishing mix (2),11477
Fishing potion (1),155
Fishing potion (2),153
Fishing potion (3),151
Fishing potion (4),2438
Fletching flask (6),23471
Fletching potion (1),14852
Fletching potion (2),14850
Fletching potion (3),14848
Fletching potion (4),14846
Grand attack potion (6),32994
Grand defence potion (6),33006
Grand magic potion (6),32982
Grand ranging potion (6),32970
Grand strength potion (6),32958
Guthix balance (1),7666
Guthix balance (2),7664
Guthix balance (3),7662
Guthix balance (4),7660
Guthix balance flask (6),23555
Guthix rest (1),4423
Guthix rest (2),4421
Guthix rest (3),4419
Guthix rest (4),4417
Guthix rest flask (1),29458
Guthix rest flask (2),29456
Guthix rest flask (3),29454
Guthix rest flask (4),29452
Guthix rest flask (5),29450
Guthix rest flask (6),29448
Guthix's gift (1),20038
Guthix's gift (2),20037
Guthix's gift (3),20036
Guthix's gift (4),20035
Guthix's gift flask (6),23179
Holy elixir,13754
Hunter flask (6),23435
Hunter potion (1),10004
Hunter potion (2),10002
Hunter potion (3),10000
Hunter potion (4),9998
Hunting mix (1),11519
Hunting mix (2),11517
Invention flask (6),43466
Invention potion (1),44067
Invention potion (2),44065
Invention potion (3),44063
Invention potion (4),44061
Juju cooking flask (6),23137
Juju cooking potion (1),20010
Juju cooking potion (2),20009
Juju cooking potion (3),20008
Juju cooking potion (4),20007
Juju farming flask (6),23143
Juju farming potion (1),20014
Juju farming potion (2),20013
Juju farming potion (3),20012
Juju farming potion (4),20011
Juju fishing flask (6),23155
Juju fishing potion (1),20022
Juju fishing potion (2),20021
Juju fishing potion (3),20020
Juju fishing potion (4),20019
Juju hunter flask (6),23161
Juju hunter potion (1),20026
Juju hunter potion (2),20025
Juju hunter potion (3),20024
Juju hunter potion (4),20023
Juju mining flask (6),23131
Juju mining potion (1),20006
Juju mining potion (2),20005
