Accursed ashes,20266
Airut bones,30209
Arctic pyre logs,10808
Asyn remains,3402
Baby dragon bones,534
Bat bones,530
Big bones,532
Bones,526
Burnt bones,528
Dagannoth bones,6729
Dragon bones,536
Elder pyre logs,29635
Eucalyptus pyre logs,12583
Fayrg bones,4830
Fiyr remains,3404
Frost dragon bones,18832
Hardened dragon bones,35008
Impious ashes,20264
Infernal ashes,20268
Jogre bones,3125
Loar remains,3396
Magic pyre logs,3448
Mahogany pyre logs,6213
Maple pyre logs,3444
Monkey bones,3183
Oak pyre logs,3440
Olive oil (1),3428
Olive oil (2),3426
Olive oil (3),3424
Olive oil (4),3422
Ourg bones,4834
Phrin remains,3398
Pyre logs,3438
Raurg bones,4832
Reinforced dragon bones,35010
Riyl remains,3400
Sacred oil (1),3436
Sacred oil (2),3434
Sacred oil (3),3432
Sacred oil (4),3430
Searing ashes,34159
Shaikahan bones,3123
Teak pyre logs,6211
Tortured ashes,33260
Tortured soul,32707
Willow pyre logs,3442
Wolf bones,2859
Wyvern bones,6812
Yew pyre logs,3446
Zogre bones,4812
