Air talisman,1438
Air tiara,5527
Blood talisman,1450
Blood tiara,5549
Body talisman,1446
Body tiara,5533
Chaos talisman,1452
Chaos tiara,5543
Cosmic talisman,1454
Cosmic tiara,5539
Death talisman,1456
Death tiara,5547
Draconic energy,43165
Earth talisman,1440
Earth tiara,5535
Elemental talisman,5516
Fire talisman,1442
Fire tiara,5537
Law talisman,1458
Law tiara,5545
Mind talisman,1448
Mind tiara,5529
Nature talisman,1462
Nature tiara,5541
Pure essence,7936
Rune essence,1436
Stone of binding,28628
Tectonic energy,28627
Tiara,5525
Water talisman,1444
Water tiara,5531
